,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 2, Contraceptives.stabilize hormones,Uneven skinExtreme moodiness,Have my period too early as expected,F,38,10  days,7/14/2016Email,Alesse
1, 5, Skin acne_ and bith control,I was already feeling depressed_ doctor said it might neutralize my emotions or make it worse but I need it for 3 months as assessment to know. I'm moody_ depressed_ I cry a lot_ feeling anxious about future more_ not motivated_ no appetite_ barely can taste food_don't feel hungry_ my skin terrible more acne.  Two and half months so far_ terrible bleeding 3 times month and my regular cycle is 4 days_now is 7 days_  awful pill,,F,32,2  months,2/23/2016,Alesse
2, 1, Regulate period,Caused two yeast infections within the first month_ tenderness of breasts_ irritation and loss of energy_ spotting,,F,16,1  months,1/9/2016,Alesse
3, 1, Regulate period,Caused two yeast infections within the first month_ tenderness of breasts_ irritation and loss of energy_ spotting,,F,16,1  months,1/9/2016,Alesse
4, 1, Birth control,Emotional_ sad/depressed_ irritable_ cramping (while not on period),The first 3 months of this pill wasn't too bad. I bled a little through the first 2 weeks of taking it. After the 4th month my partner had to talk to me about how emotional and irritable I was. I didn't notice how bad I was getting until he told me. I became a very angry_ depressed and all around horrible person which is very unlike me. Completely stopping this pill. Not worth the stress in my relationship.,F,20,6  months,12/22/2015,Alesse
5, 2, Birth control; Acne,At first I didn't connect the dots_ but for the past 2 months that I've been taking this pill it's been making me very easily irritated_ emotional_ out of control and it's starting to affect my life. I am not of I should wait it out. Other than that_ acne has cleared up and I have no cramping.,,F,26,2  months,11/1/2015,Alesse
6, 2, pregnancy prevention..,Depressed feelings_ sad_ emotional_ not myself_ feeling just plain weird!!!,"I can relate to many of these posts after day 6 of taking this pill. Alesse 28. Yesterday day 5 I asked  my boss to Leave because I ""felt sad_ and hungry"" LoL it was out of character for me to say this or feel this way... The next day I felt even worse I had random crying spells and just felt like life was no longer exciting. I was depressed and just not interested. Oh and the migraines I had! Oh and decreased want of sex... Yeah. Fun! Allll this just to prevent pregnancy! I'm considering stopping after readi g these posts",F,26,1  days100,10/23/2015,Alesse
7, 2, Contraception,emotional_ extreme leg pains for at least the first month and then on and off for second month so far. Headaches_ vision problems (I am prone to migraines so those two usually go hand in hand for me)_ frequent fatigue_ out of breath doing regular every day things.,I know you're supposed to give new pills 3 months but honestly_ it's not even worth it to me. At this point I feel so unhealthy and not myself I wasn't like this when I was on tricyclin lo. Would not recommend. I just finished my second pack_ won't be continuing,F,23,2  months20,4/11/2015Email,Alesse
8, 1, Pregnancy prevention,Tingling and numbness of limbs_ thinning of hair_ High anxiety issues_ sever full body pains and stiffness_ week long migraines_ Constant spotting or irregular periods_ ovarian cysts problems. Never had any of those problems before taking this pill! I've been off of Alesse for 3 months now and_ my skin is improving_ periods are becoming regular_ ZERO pains or numbness to report_ and my hair is growing again. Also increased energy levels. If you start getting any side effects_ just stop taking it please!,Tingling and numbness of limbs_ thinning of hair_ High anxiety issues_ sever full body pains and stiffness_ week long migraines_ Constant spotting or irregular periods_ ovarian cysts problems. Never had any of those problems before taking this pill! I've been off of Alesse for 3 months now and_ my skin is improving_ periods are becoming regular_ ZERO pains or numbness to report_ and my hair is growing again. Also increased energy levels. If you start getting any side effects_ just stop taking it please!,F,32,2  years30mg,4/7/2015Email,Alesse
9, 5, Clear my skin and better periods,I had no appetite and I've lost a significant amount of weight_ my skin cleared up right away and I have no mood swings.,So far my experience has been great!,F,16,5  days,3/18/2015,Alesse
10, 1, Bad Periods,Nausea_ headaches_ loss of appitite_ mood swings_ fatigue,I havent even been taking it a week and I have to stop. I am sick over half of every day and it's conpletelt unbareable I thought it would get better but it's getting worst. I now have a nonstop headache and all I want to do is sleep all day. I never had a problem with other birth control before. I feel moody_ like I could cry at any second_ and it's just honestly not worth the grief to take it.,F,18,1  days,3/5/2015,Alesse
11, 4, Birth control,NONE that were negative,I love this pill and have had no issues; surprised to hear about all of the bad experiences. My periods would come twice a month and were very heavy; Alesse  has removed all cramping and they are very light. They used to last 7 days; they now last 3 and are barely there. Over the years they are there less and less. I had spotting a few times due to missing pills. No weight gain/mood issues. I plan on taking it until I hope to get pregnant.,F,27,7  years30mg 1X D,2/18/2015Email,Alesse
12, 5, Birth Control,Gained weight quite easily when I first went on it. I've never been able to fully get rid of the excess abdominal fat and this is frustrating. Never experienced ANY PMS before going on Alesse and still do not have PMS while on Alesse. I recommend this birth control to other females because of the good experiences I've had and the horror stories associated with other types of birth control pills.,,F,21,6  years 1X D,2/3/2015,Alesse
13, 2, Prevent Pregnancy,Bloating_ Breast tenderness and increase in size_ Shortened period_ Increase in appetite and depressed,,F,18,3  months30,1/27/2015,Alesse
14, 1, birth control,Acne in cheeks,I absolutely hate Alessa. I've never used birth control pills before but my doctor recommended it. The first month i got a tiny rash on my cheek and it just kept getting worse. I've been off birth control pills for about 6 months now and the acne hasn't gone yet. In fact now i have tiny scars on my cheek. Ahhh! I keep googling home remedies for acne but nothing has worked so far. I have sensitive skin and so it's hard to try everything.,F,25,3  months,1/4/2015Email,Alesse
15, 1, Prevent Pregnancy,The two years I've been on this pill I've slowly connected the dots. Mood swings_ crying_ depressed_ thinning hair_ bald spots_ acne_ and only feeling good one week out of the whole month. I put on 20lbs over the two years because alesse made me hungry. Also_ got hot flashes on this pill. Just switched tricyclen lo so hopefully everything improves.,,F,18,2  years,10/20/2014Email,Alesse
16, 1, irregular & heavy periods,Before I started Alesse my periods were crazy and I would either have a period every 2 weeks or I wouldn't have it for five months. I've been on it for a year and a half and now my periods are crazy. I'm on my 2nd this month and it's lasted 10 days so far. Tomorrow I go to the doctor. I'm worried there is something actually wrong with me. My body should be used to this by now. It's weird that it just stopped working though.,,F,16,2  years1 X D,9/22/2014,Alesse
17, 1, contraception/acne,depression_ acne_ anxiety_ inability to sleep,I was switched to Alesse from Yasmin because I had switched GPs_ and she felt that the Yasmin was too high in estrogen. Within a few days_ I started to break out with acne (I haven't had acne in 5 or 6 years)_ and my moods were all over the place. I have had issues with anxiety and depression_ and Alesse brought them back in full force. I would be set off due to little things that never bugged me before_ and I was crying constantly. I also wasn't able to sleep at night. I'm feeling much better now that I'm off of it_ but I will never take this pill again.,F,25,45  days 1X D,8/29/2014,Alesse
18, 4, pregnancy prevention,Alesse makes you very hungry.  I take at night 1-2 hours before bed to prevent nausea etc. It works great. I took the generic brand alesena and it made me very nauseous and moody. Alesse is good.,,F,23,9  days1xD,6/9/2014,Alesse
19, 1, Cramps,Acne,,F,21,7  months 1X D,5/28/2014,Alesse
20, 1, Birth Control_ Reduce bad cramps,Did not help my cramps at all and resulted in severe emotional instability- uncontrollable fits of crying for no rational reason and severe anxiety over minor things. Had problems by the end of the first month_ but continued to take it because my doctor assured me that I was just adjusting to it and would feel back to normal after three months on it. Quite the opposite_ my mood swings became increasingly worse to the point where I felt like I had no control over myself and worried I'd gone completely crazy. I felt back to normal within three days once I discontinued use. I'm healthy and was taking no medication other than Alesse.,,F,19,4  months,4/24/2014,Alesse
21, 1, Pregnancy prevention,Breast tenderness_ SO tired( couldn't even keep my eyes open) _ headaches_ nausea_ nipple hair_ irritability_ emotional_ bloating_ weight gain..legit thought I was pregnant,,F,22,2  months,3/6/2014,Alesse
