,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Post nasl dripping,Works great on post nasal drips but has caused nightmare type dreams_ drowsiness_ loss of energy and worst of all I have gained 10 pounds!!!  Will never take it again.,,F,61,8  weeks2 times da,1/26/2016,Astelin
1, 2, Allergic Rhinitis & ETD,Drowsiness - got worse after 3rd day - could hardly stay awake at work!Dizzy!   started 3rd day and got worse each day after.   Anxiety....feeling jittery at times....legs felt weak.  Sneezing!Mild nausea feeling started after 7 or 8 days,also noticed small amounts of dried blood in nostril each morning although no nose bleeds.  Noticed muscle aches_ especially in joints and neck_ after a week. Definitely seemed to help ease the sinus pressure_ but after doesn't seem to be doing anything at all for the Eustachian tube dysfunction.,M,54,9  days2 puffs 1X D,10/28/2015,Astelin
2, 2, Allergic Rhinitis,I was prescribed Astelin after had a major allergy attack. It really did help it worked about seven days after I started it I developed chest pain. I do have a history of coronary spasms. I took my nitro four times the day it first happened. I looked up side effects and became wary. I  Took it again several days later when I was going to be exposed to something I'm really allergic to. Five hours later I was driving and had crushing chest pain. I will never take it again be wary of it if you have any type of cardiac history. I have not had any chest pain since I stopped it. By the way I hadn't had any chest pain for over year when that happened my cardiologist does believe it is connected,My dose was two sprays each nostril,F,40,2  weeks205.5mcg,9/17/2015,Astelin
3, 4, Nasal congestion,Azelastine HCI 15% (205.5 mcg per spray)_ Extreme vivid bizarre dreams.,Used 3 times. 1) Late PM.  2) Late PM.  3) Early AM.Dose 2 and 3 separated by several days.With each usage I experienced extreme bizarre vivid dream.The dream experience is distressing to the point of discontinuing its use.,M,64,2  weeks15%(205.5) 1X D,9/1/2015,Astelin
4, 1, Chronic congestion,Heart palpitation . Extreme tiredness. Sweating more. Dont take,,M,22,4  days,7/5/2015Email,Astelin
5, 1, Allergies & sinus,I'd used this previously but stopped because of taste and bp issues. Restarted because of severe allergies. Wish I had never done it! Was so exhausted and the worst was that it sent my BP way up_ 160/89. I also had an increase in heart rate that was a scary thing - 100+ beats per minute. NEVER again! It's been a miserable day and I won't repeat it!  Be very careful when you decide to use this medicine. Read the list of side effects in detail. Reviews and post marketing are the only ones that mention this as an issue. ,,F,58,1  days,7/1/2015,Astelin
6, 2, allergies,Tried this medication once in the evening. It stopped my skin from feeling itchy but it caused some pretty severe depression and then I conked out.  :P  I can't deal with depression or passing out like that and the allergies came back full force the following morning.,,F,38,1  days1 squirt 2X D,5/7/2015Email,Astelin
7, 4, non allergic vasular rhinitis,Works better than anything I have used but I am exhausted.  I have never had an issue with sleepiness from drugs_ even benedryl does not give me problems_ but this drug makes me feel like I should sleep 20 hours a day,I have had vascular non allergic rhinitis since I was young and it has gotten worse with age_ making me feel like I have a continual cold/sinus infection.   I am allergic to weather/barometer changes which causes migraines/ strong smells and I believe I also have allergic rhinitis and hayfever.  Most of the time I feel like I have a horrible cold.  This has really helped but I can't handle the sleepiness or the lack of ambition.  I take it only at night now and use flonase during the day_ but I still am tired.  If I quit taking it_ the exhaustion disappears_ but the symtoms of the rhinitis become horrible.,F,66,4  weeks30 mg 2X D,10/17/2014Email,Astelin
8, 1, rhinitis/seasonal allergies,After two squirts in each nostril_ I was immediately congested. Within an hr_ my head hurt and my nose started running. The next morning_ I felt like I ad the flu..achy_ head congestion_ diarrhea and sneezing fits. I recommend this to NO ONE and will not be continuing with this medication.,,F,52,1  days30 2X D,10/7/2014,Astelin
9, 1, vasomotor rhinitis,Terrible aching pains - deep_ unremitting muscles aches in the calves of both legs within 2 days of starting this medicine_ spreading to the backs of the knees_ the thigh muscles and the hips within the first week. It took 2 weeks for the pains to dissipate after stopping it.,It was insidious - my legs started aching immediately - a deep dull ache in the muscles - mainly the calves at first. I had driven 400 miles and thought it dehydration or just sitting for too long. And then it got worse and worse until on day 7 it was literally agony_ I thought I had a DVT but it was both legs - the calves_ behind the knees (deep in them)_ up through the thighs and into the hips. Deep_ unremitting_ terrible pain. I could hardly sleep at night.It wasn't until day 7 that the penny dropped and I realized that it might be this medicine. I came to this site and saw other people had been similarly affected. I stopped it and prayed that the symptoms would dissipate. It it took a full 2 weeks for the aching to go away. A little every day - 5-10% - until finally it was gone.The effects of the spray as a decongestant weren't so remarkable - it didn't work very well in that regard.,F,63,7  days2 squirts 2X D,9/30/2014,Astelin
10, 1, eustachian tubes clogged,1 hr after taking 1 spray in each nostril my neck would not move in any direction with tightened muscles and severe cervicogenic headache which required trip to the ER and Clinic with severe pain for 4 days so far_ that was the only medicine I used that day.,It appears to open up the ears very well but causes many other problems a bitter taste even when taken correctly_  nausea_ and now extreme neck pain imobility in any direction.,F,62,1  days 1X D,3/12/2014Email,Astelin
11, 1, Sinus Issues,Thinking/memory problem_ bad muscle cramping the painful I've had in life - event lasted about 2 hours_ I won't take this med again. Also had frequent headaches not sure of the cause,,F,54,5  days137mcg 2X D,1/18/2014,Astelin
12, 1, post nasal drip,Increased anxiety_ high blood pressure_ nasal bleeding_ muscle/joint aches_ & muscle twitches. The last two symptoms have not gone away.  Side effects were much worse than what the medicine was supposed to cure.,Worked decently for my nasal drip and I was pretty happy 1-2 days in. Then I started getting muscle twitches and soon the other side effects followed. Didn't realize that it was the Astelin causing it until later after which I ceased the medicine. The blood pressure subsided and anxiety was reduced (but not back to normal). Twitches subside but still exist.,M,,3  months 1X D,10/12/2013,Astelin
13, 2, fall nasal allergies,Headache_ rapid heartbeat_ vision impaired.,I tried this in the past and decided to give it another try. I realized the side effects I had the first time were not incidental. I couldn't read anything thenext day..and the headache forget it_ not worth it.,F,56,3  days0.15 2X D,9/7/2013,Astelin
14, 1, post nasal drip,Three months into taking Astelin I experienced anxiety_ paranoia_ and high blood pressure.  I went off for two weeks and things cleared up; I had such bad allergies I took it again for five days and the symptoms came back.  I also lost a lot of my sense of smell and taste while taking Astelin.,The FDA drug study on Astelin is a joke.  250 people took it for 30 days???  That is a study in stupidity.,M,33,3.5  months2 sprays 1X D,2/26/2013Email,Astelin
15, 1, Allergies,I experienced fatigue and joint pain after taking this medication. It got so painful that I had to stop taking it completely. Luckily the symptoms went away soon after I stopped taking it.,,F,28,21  days2 sprays 2X D,2/4/2013,Astelin
16, 5, Allergic rhinitis,Bad taste when you first use it,Works great for keeping my sinuses clear. I use it at night because it can cause some drowsiness.,M,52,3  years1 spray 1X D,9/5/2012,Astelin
17, 1, Rhinitis,Anxiety_ sweaty palms and feet_ racing thoughts_ high blood pressure_ high heart rate_ depressed mood_ facial pain_ shortness of breath_ fatigue_ drowsiness_ vivid dreams_ and severe congestion,,M,29,1  days1 Spray 1X D,8/22/2012,Astelin
18, 2, Post-Nasal Drip,heart palpitations_ extremely vivid dreams_ woke up every night feeling anxious and restless_ very hard time getting up in the morning,My PND has been quite bad for several months_ and my Doctor recommended adding Azelastine to the Nasonex Spray I was already taking. I didn't mind the bitter taste - it is a medication after all - but it felt as if my symptoms were getting worse_ including incessant coughing at night. I didn't even put the severe heart palpitations and the super-weird dreams together with the Azelastine use before I read the comments other people left here... I am not a morning person to begin with but now it is almost impossible to get out of bed in the morning. I will discontinue the use of this nose spray today.,F,42,3  days1 spray 1X D,5/4/2012,Astelin
19, 5, Sinus infection_ nasal congestion,Burns nostrils slightly right after spraying_ short-lived bitter taste in throat_ and tiredness. I only use the spray at night because of tiredness and it's just as effective.,,F,19,2  weeks137 mcg,1/16/2012,Astelin
20, 4, Allergic Rhinitis,Typical antihistamine side effect:  Made me as sleepy as chlorpheniramine does when I used two sprays in each nostril.Atypical antihistamine side effect: medicine taste in back of throat,worked for itchy eyes and runny nose,M,28,3  days2spray ino 1X D,11/13/2011,Astelin
