,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 2, Sinus pressure congestion,Benadryl actually worked ok reliving sinus pressure.  But my  white blood cell and neutrophil count plummeted! WBC 4_000 neutrophil 2_500 before taking. Took for 4 months had regular blood test and Dr's office calls back that day WBC at 1_700 and neutrophils 300!! Scheduled me for bone marrow biopsy 7 days later tells me to stop taking Benadryl. Do research on line and see where a rare but severe side effect of antihistamines is what I have just described. At biopsy I tell Dr who has never heard of this effect to redo WBC count before biopsy. He reluctantly does preforms biopsy before getting blood results back. Comes back 20 minutes later and says WBC now at 3_600 and neutrophils at 2_200!!! Can't prove that eliminating the Benadryl 7 days previous caused my WBC to dramatically increase but I believe it was the cause.  This is a rare but severe side effect and just my unfortunate luck to be one of those few people who it happened to.,,M,59,120  days25mg 1X D,8/11/2016Email,Benadryl
1, 2, allergic reaction hives and swellin,The swelling and hives went away but still 16 hours later I am like a walking zombie_ very tired aLloyd I want to do is sleep.  Can't think straight_ and zero energy.,,F,52,1  days1 liquid t,8/6/2016,Benadryl
2, 2, allergic reaction hives and swellin,The swelling and hives went away but still 16 hours later I am like a walking zombie_ very tired aLloyd I want to do is sleep.  Can't think straight_ and zero energy.,,F,52,1  days1 liquid t,8/6/2016,Benadryl
3, 3, Sleep aid,I also had just under one dose of nyquil_ but I was dizzy and couldn't stand up. I couldn't do simple things like type on my phone properly. I would almost fall asleep but the urge to move became too strong to bare so I eventually crawled to the bathroom and laid down on the floor until I felt better.,Definitely put me to sleep although I may have taken a couple more tablets that necessary. Would definitely use again. (But I recommend using the correct dosage unless you have a bit of a death wish like me),F,16,1  days150 MG,7/25/2016Email,Benadryl
4, 1, to sleep.,I am 77_ and  took Benadryl for sleep.  It has made my short term memory much worse_  I have an essential tremor_ and it has become worse also.,I am amazed that there are no warnings on the bottle about memory loss in elderly!  You can find the info on the internet_,F,77,2  days5 mg 1X D,7/23/2016,Benadryl
5, 1, Sleep aid,Holy hell I cannot sleep. Loaded up after a 16 hour shift at work to pass out. Slept for about 30 minutes now I have an urge to move all over constantly. Can't sit still for more than 3 minutes. Itchy randomly.,,M,20,1  days150,6/23/2016,Benadryl
6, 5, to go to sleep,I work 11-7am and i take benadryl every day at 3pm...to help me fall asleep...i love it_ i never had a problem with this medicine...i been on it for 3yrs straight....,,F,44,1  months1 pill,6/22/2016Email,Benadryl
7, 3, For hives/itchiness from sun rash.,Drowsiness_ numbness and tingling sensations through arms and legs_ almost in a trance_ slurred speech_ dizziness_ felt as though my heart was barely beating_ random muscle spasms_ ect.,I was left with a horrible sun rash (first I've ever had) after being in the pool for a long time. My mom_ as well as our family doctor_ told me to take some Benadryl for a few days to help with the itchiness and swelling. It helped the swelling_ and a little bit of the itchiness.. But the side effects that came with it are worse than how I was before I took the pill! It was so hard to lift my own hand_ and it was like I was an empty shell_ as I could barely feel my body. Let alone_ it knocked me out_ and I've basically been asleep for the four days I've taken it!,F,15,4  daysTwo Pills 2X D,5/27/2016Email,Benadryl
8, 3, Reaction to platelets,I feel just so out of it when I get IV Benadryl. The first time I had a reaction to it_ I couldn't even lift my arm. I also couldn't stop laughing for some reason. The nurses were quite concerned. The nurses now reduced my dose to 20mg and push it over 20 minutes. That makes every thing less severe. It makes reactions go away_ though.,Lie down if you have to take it!,F,14,10  times50 1X AN,5/22/2016,Benadryl
9, 4, To cure an ucler in my gum,After taking a liquid type of benadryl_ I felt like I wasn't myself. It felt like my stomach was constantly churning & indigested. I feel like mentally drained. I have had this nervous feeling in the pit of my stomach. I have had unwanted thoughts & feelings (Gay feelings & thougts even though I am straight.). I am still have some of these symptoms. I have since stopped taking the benadryl last Monday (April 25th) PLEASE HELP ME!!!,,M,21,1  weeks1 Teaspoon,5/4/2016Email,Benadryl
10, 4, Helped me get off of slow weaning x,I feel a general head buzz and pressure behind my eyes. I think my blood pressure goes up and I notice I have a disconnect of my hands like when I try to straighten my bed clothes..I just cant make my hand work! Its weird! I also have heightened sexual feelings and orgasms are intense!(Nice side effect)I have intense feelings of horror though when I see someone getting killed in a movie or something. I internalize it. Its quite frightening. Over all_ I would recommend it for a sleep aid as its non addictive and give quite a calming feeling.,,F,59,1  years100-200,5/3/2016,Benadryl
