,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, HBP,None really it works but now the price is out of control which is very sad. The price has increased several times over the past few years to the point where my cost has at least doubled. I have BCBS. Even with 30 day discount card of $70 provided by Benicar (which is the maximum for 30 day supply) my price is about $100/mth. If I ever have to go up to 40/12.5 my cost will increase to about $175/mth (current pricing). Absolutely ridiculous and sad for those of us that it works for.,For everyone with bad side effects like cramping lethargy etc please google dehydration. The HCTZ in the drug can cause most of the effects described so try Benicar without the HCTZ before giving up. Not everyone needs a diuretic. However_ I  will be looking for a different medication because of the price!!,F,55,3  years20/12.5 1X D,6/20/2016,Benicar hct
1, 3, make me itch,Itching  really bad_ went on line looked up all medicines I take it's benicar is only medicine that I take that said anything  about  making you  itch  not happy,Got welts on my arms  and legs like someone beat me _ scratch  wake up scratching  until you apply  cream to make it stop I figured  this out myself,F,72,1  years20,12/27/2015,Benicar hct
2, 1, Hypertension,20lbs of weight gain_ testicle pain (feels like I've been kicked between the legs.)_ unable to sleep through the night (wake up every 2hrs every night),,M,47,2  years40mg,11/22/2015Email,Benicar hct
3, 3, High Blood Presure,Weakness_ fatigue_ dizziness_ itching,,M,66,2  years40mg 1X D,7/7/2015Email,Benicar hct
4, 3, Hypertension,Although it was effective in controlling my hypertension (from BPs as high as 210/120 reducing them to normotensive readings averaging 120/65) unfortunately I experienced side effects such as GERD_ abdominal discomfort/bloating and malaise. Since the ARB class of drug proved so effective I was switched to Losartan without the diuretic and besides coming in a generic...which Benicar does not... I have the experienced the same benefits without the negative side effects! And removed the high risk of villousatrophy that is associated with Benicar...a win/win!,,F,63,8  days20/12.5mgs,7/7/2015,Benicar hct
5, 1, High blood pressure,This drug damn near killed me!  I was on a lower doseage for apx. 1 1/2 year until the doubled my medication in March of last year.  I felt crummy on many fronts from the beginning but when they doubled my medication all hell broke loose.  I was so fatigued the doctors put me on a narcoleptic medication so that I could minimally function 10 - 12 hours per day.  My GI problems  wouldn't allow me to leave the house for any significant period of time.  The urination was just terrible... had severe difficulty making it to my office each day (1/2 hour from home).  My nails (finger and toe) began to peel and breaking back into the quick.  The most troublesome by far was the tremendous hair loss.  Besides losing apx. 70%  of my hair in 11 months I constantly felt like I had fire aunts on my head.  The itching and burning nearly drove me out of my mind.  Also the ongoing Potassium drops were problematic.  I ran to every Doctor imaginable and all could not believe it was this medication.  I'm a,,F,48,1  years40/25 1X D,5/17/2015,Benicar hct
6, 5, high blood pressure,Less hungry,Loss of appetite,F,40,1  days20-12/25,4/5/2015Email,Benicar hct
7, 2, hypertension,Hair loss,,F,52,1  days40/12,3/28/2015,Benicar hct
8, 5, high blood pressure,None,,M,61,1  days,3/23/2015,Benicar hct
9, 4, High bp,None to speak of.,Was on lisinopril for three months with major side effects. Rash_ swelling_ chills_spikes in Bp. You name it. Ask doc to switch. Since on benicar feel great. All our bodies are extremely different_ just like these meds. Keep trying to you find the right one for your body.,M,60,3  weeks20mg,3/5/2015,Benicar hct
