,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Lower cholesterol,Can't walk up steps without getting winded. Legs are very weak. Hip joints and knees ache. Fatigued all the time.,,F,69,4  years10 mg,8/6/2016,Crestor
1, 1, Convinced it was beneficial,Muscle pain and extreme weakness_loss of memory_shortness of breath _croaky voice.I still have a skin lesion on my chest that won't heal. I also had jaw pain and severe knee pain.I took this poison for 21 months before the side effects hit me.,The doctor  convinced me that it was a small dose and as I was 60 and in good health it would be beneficial.I was a very active woman.I swam daily _long beach walks daily and bike rides.I can do none of that now.My life has changed dramatically.My doctor dismissed my symptoms and offered no support.My husband has been my carer.,F,65,21  months5 MG 1X D,8/5/2016,Crestor
2, 1, high blood pressure - stroke,tightness in legs_ hands_ feet_ can not walk up steps without getting windedcan't walk more than 10 steps w/o taking a break destroyed my life  I use my computer for only 5 minutes because my hands cramp up,If your Dr prescribes this please refuse taking this medication.  It can actually kill you. I hate my doctor for prescribing this medication.  Will I ever be able to walk again and lead a normal life  Will these side effects go away,F,64,2  years5 MG 1X D,7/27/2016,Crestor
3, 4, Mild cardio vascular disease,No major side effects_ just tiredness sometimes.,My Dr remanded takin co Q10 200mg.  I have been taking 10mg every other day. My  ldl was 90 before I started and I have not check yet since taking it.,M,56,3  months,6/9/2016,Crestor
4, 2, lower total cholesterol,Nausea_ vertigo_ imbalance_ disturbed sleep_ muscle aches.,Did not realize the cumulative effect of all my symptoms until stopping Crestor (5mg); pharmacist recommended stopping 4 weeks to see if symptoms better or not. 10 days off Crestor and vertigo and imbalance disappeared; nausea much diminished...,F,67,4  years5 MG 1X D,6/6/2016,Crestor
5, 3, I have 10 - 20% blockage in arterie,Mostly cramps in legs and toe when I stretch. I have not noticed any reduction in my strength or fatigue.I was on another cholesterol drug and had problems with fatigue and shortness of breath but so far I have been feeling much better.,I would like to hear from other patients concerning any side effects with crestor 10 mg.,M,76,2  months10 mg,6/3/2016Email,Crestor
6, 1, Ldl reduction and plaque stability,Muscle pain_ strength loss_ joint pain_ elevated  PSA _ lethargy.,,M,72,8  weeks5mg,5/30/2016Email,Crestor
7, 1, High cholesterol,Mostly leg soft tissue injuries and cramps to feet. The worst though has been the strange stomach and organ spasms and pain. Improved immediately I stopped the 40mg does the Dr put me on. On a 10mg dose for 18 months before symptoms returned and even worse. Have just taken myself off and immediately much improved. Not more organ spasms but still dull pain throughout upper stomach area. Seeing the Dr. tomorrow to request tests to see what this poison has done to me.,For years my symptoms of memory loss and muscle issues were dismissed as signs of ageing. I could tolerate this but the organ spasms and stomach pain has completely freaked me out. It must be causing damage and I resent all concerned. This stuff has to stop.,M,50,10  days40-10 1X D,5/30/2016Email,Crestor
8, 4, cholesterol,Lower body stiffness andlower left pain.,Is crestor causing these problems for me. Do not want to take statin. Is there any other supplements Ican take for cholesterol?,F,54,2  months20mg,5/16/2016Email,Crestor
9, 1, High cholesterol,After being on Crestor for 5 weeks I broke out in urticaria. Insanely itchy skin and lumps which started like a mosquito bite but over time spread into welts. Also the muscles in my legs started to lose their muscle tone. After three weeks working with the doctor trying to control the rash which he thought was eczema I lay awake one itchy night and read the patient leaflet about Crestor and it said a known but uncommon side effect was extremely itchy skin with raised red lumps_ said it's an ellergic reaction and stop taking immediately.,I continued with this medication for three weeks before realising I was allergic to it. I now feel like I've poisoned myself. It's only two days since I stopped taking Crestor and I'm much improved. No more feeling like hoards of ravenous ants are racing under my skin at night and the rash is diminishing. In a few more days it should hopefully be all gone. NEVER AGAIN.,F,55,2  months10mg 1X D,4/19/2016Email,Crestor
10, 1, Cholesterol,Debilitating abdominal/back pain_ exacerbated my acid reflux_ body aches_ bladder pain_ bloated_ cloudy urine_ malaise_ muscle cramps in legs_ constipation_ headaches_ loss of appetite_ nausea_ insomnia_ dry mouth_ foul taste in mouth_ pounding in the ears_ shortness of breath.,After taking Crestor for only three days and off for 3_ I still feel horrible.  Have had to stay in bed_ unable to work or function.  I am in otherwise good health; no serious medical problems. I will never take another statin again_ as quality of life is more important to me than longevity.  I will continue with a healthy diet in lieu of medication.,F,60,3  days20 1X D,4/19/2016,Crestor
11, 1, Elevated cholesterol & triglyceride,Panic attacks_ severe pain to front of ankles_ worse with activity.,,F,47,4  days25 mg,4/10/2016,Crestor
12, 1, High cholesterol and LDL,Muscle pain_ spasms and crampingLoss of appetite (to point of nausea)Cognitive dysfunction and memory issuesHeadachesUnexplained skin lesions and sebhoreic dermatitisCan't sleep and nightmares,Put on Crestor 3.5 months ago. Typical dose was ineffective so quickly raised to max dose. I feel terrible all the time_ have muscle spasms and cramping all night long_ and can barely function cognitively in order to work,F,53,3  months40 mg,4/6/2016,Crestor
13, 1, High cholestrol and triglycerides,Muscle spasm_ joint and muscle pain_ depression_ tiredness_ headaches_ stomach pain,,M,61,2  months20 1X D,4/4/2016,Crestor
