,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, UTI,Broke out in hives an hour after taking med_ then developed chest tightness and shortness of breath. Off of it since_ but have been to the ER twice since and still having a hard time breathing.,This drug is horrible!,F,40,1  days100 MG,8/6/2016Email,Nitrofurantoin
1, 1, UTI,Throbbing head_ blurry vision_  dizziness.   What makes this worst the government website says it will get worse 2 to 3 months after you finish taking this.  There was no reason this medication even have to be in the market !!!  Antibiotics been around for centuries that still does a good job !!!,This will be another class action lawsuit for sure !!!  Start making your wills !!!.,F,57,2  days100,6/21/2016,Nitrofurantoin
2, 1, UTI,THIS SH** ALMOST KILLED ME!! Within 20 minutes of taking this pill for chronic UTI_ I began an anaphylactic reaction that lasted several hours and quite nearly claimed my life!  First it started with some itchy skin and before I knew what was happening_ I had hives popping out all over my arms_ neck_ chest_ legs and face.  Then my lips and eyelids started swelling shut_ along with my FREAKING THROAT!!!!!  COULD NOT BREATHE!  ALMOST DIED!!!!I don't know if any of you have ever experienced anaphylaxis_ but it's about the scariest thing ever. The real horror in this situation was that I experienced this reaction in the middle of central Alaska_ where the nearest hospital was three hours away!  Three hours is a long time to wait for an ambulance to come and get you_ so I had to rely on on an over the counter pack of Benadryl to save my life while my terrified friend rushed me to the hospital. The Benadryl saved my life. TAKING THIS DRUG IS A TOTAL CRAPSHOOT AND YOU COULD COME CLOSE TO LOSING YOUR LIFE IF YOU ARE ONE OF THE UNLUCKY FEW WHO REACT TO THIS DRUG.  BE WARNED!!!!!  THIS NEARLY KILLED ME!!,NITROFURANTOIN = ANAPHALAXIS,F,37,1  days?,9/22/2015Email,Nitrofurantoin
3, 1, uti,I took it and got flu like symptoms_ thought it was something else till I realised I got these symptoms hours after taking the pill. It has left me with clicking joints that are painful at times. Also a heart murmer may also be related but cannot confirm. I can only guess this pill attacked good DNA_ I took it 5 years ago and still not right.,None just thought I'd try and stop someone making the same mistake.,M,35,2  days,5/2/2015,Nitrofurantoin
4, 1, ,Horrible!!!!!!!    Shaking.  Sweating.    Terrified.,Never again.,F,74,1  days100 2x da,3/14/2015,Nitrofurantoin
5, 1, UTI,PLEASE DO NOT TAKE THIS EVER. Find another drug. I took one tablet and have been left with permanent neuropathy. I am slightly numb all over with decreased smell and taste for 1.5 yrs. additionally l had dizzy spells for 6 months and was so exhausted l had to take 3 months unpaid off work then return part time. I was unknowingly anaemic and prescribed iron a few weeks later. Due to my health at that time l had a bad reaction and it messed my lungs up. I could not walk across the room without breathlessness. 1.5 yrs later l still have a stuffy weak lung_ neuropathy and am taking 20 vitamins a day just to feel normal. Extremely detrimental and l am still suffering.,,F,34,1  days,1/17/2015,Nitrofurantoin
6, 1, uti,after taking for 3 days.had shortness of breath and a heavy chest i couldn't even work. up until  now it's been a month now I'm still in pain. this drug has ruin my life. now i have a heart problem the doctor advised me to go for ecg heart test.,,M,29,3  days,1/11/2015Email,Nitrofurantoin
7, 1, UTI,Nausea_ headache_ lethargy.,These side effects happened after ONE dosage.  I took one pill and two hours later ended up with nausea and flu-like symptoms.  Next morning woke up with horrible headache.  Would never take this poison again.,F,54,1  days100 mg 2X D,10/22/2014,Nitrofurantoin
8, 1, UTI,Throbbing of head_ night sweats_ chest pressure_ shortness of breath_ great weakness.,"According to Dr. Sidney Wolfe_ no one over age 60 should ever take nitrofurantoin which he calls ""a dangerous drug"".  Also_ the World Health Organization has said that older adults should never use nitrofurantoin since people over age 60 have a high risk of harmful side effects from it.  Apparently_ our doctors didn't inform themselves about this before prescribing it to us unsuspecting seniors.",F,66,3  days100 mg 2X D,2/7/2014,Nitrofurantoin
9, 1, uti,Anxiety_ sweating_ shortness of breath_ all around loopy feeling.,,F,24,1  days100mg,5/9/2013,Nitrofurantoin
10, 2, UTI,Since I started taking this medication my joints (elbows_ wrist and ankles) are aching_ I feel extremely tired and my head feels cloudy. I feel restless and I can't sleep.,I can count on one hand how many times I've had to take medicine in my lifetime. I don't particularly care for medicine. This is my first UTI and hopefully my last.,F,42,7  days100MG 2X D,3/12/2012Email,Nitrofurantoin
