,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Terrible Insomnia,Horrific nightmares & hallucinations after only taking a few days_ continued for 1 week without positive results of any kind. Much worse than the negative side effects of Ambien's induced amnesia.,Would not recommend whatsoever.,F,50,1  weeks30mg,8/14/2016,Rozerem
1, 1, Insomnia,None_ doesn't work for me.  Will go back to Ambien.,,,76,2  days8,6/29/2016Email,Rozerem
2, 3, have insomnia_ from depakote.,I don't have any_ but feeling like I'm still not sleeping enough at night_ I have been suffering with insomnia for over six years now. From not weaning off Depakote 1000. M.g.s,What can I take along with Rozerem 8m.g.s tablets. Don't eat before taking the medications and I am on trazodone 50m.g.s once a night along with the Rozerem 8m.g..,F,37,10  days8 m.g.,8/21/2015Email,Rozerem
3, 3, have insomnia_ from depakote.,I don't have any_ but feeling like I'm still not sleeping enough at night_ I have been suffering with insomnia for over six years now. From not weaning off Depakote 1000. M.g.s,What can I take along with Rozerem 8m.g.s tablets. Don't eat before taking the medications and I am on trazodone 50m.g.s once a night along with the Rozerem 8m.g..,F,37,10  days8 m.g.,8/21/2015Email,Rozerem
4, 4, Chronic Insomnia,I never review medications after taking them 1x -you need to take something for awhile to know how it affects you ( unless you are allergic /have adverse reaction ) _ but I have tried Rozerem a few times in the past and had the same experience. It helps me sleep soundly w/o vivid dreams like I have on Melatonin. I was woken up once in the night by my dog and found it was a little hard to walk at first-like being drunk-but after a minute or two it was ok. I went back to sleep easily -never happens for me. I was tired the next day. I do remember now that when I used this med in the past I often cut it in half and I wasn't tired the next day that way. I know it is not Melatonin_ but I am very sensitive to Melatonin and it has a similar reaction on the brain_ so if you are too_you might want to ask your Dr for a lower dose or if you can cut it in half.,,F,51,1  days8mg,5/1/2015,Rozerem
5, 1, yes and ii didn't work at all,Insomnia_ hallucinations_ vivid dreams_ droggy feeling_ tiredness nausea..,It's terrible_ made my problem even worse_u feel b exhausted didn't sleep at all....,F,35,3  days8 mg,4/25/2015,Rozerem
6, 3, Sleep,,,F,27,10  days8mg,3/17/2015Email,Rozerem
7, 1, insomnia,Severe headache and horrible nightmares.,,M,52,10  days8mg,8/27/2014Email,Rozerem
8, 1, Insomnia,Anxiety_ restless legs_ upset stomach_ fatigue,,M,25,1  days8mg,6/18/2014,Rozerem
9, 1, insomnia,,This was like taking a placebo.  Go no good or bad effects.  Did not work whatsoever.,F,38,3  days8 1X D,6/5/2014,Rozerem
10, 1, Insomnia,Headache_ insomnia_ muscle weekness,,F,47,2  days8mg,3/27/2014,Rozerem
11, 2, ,,,,,1  days,12/30/2013,Rozerem
12, 1, To help me sleep,Horrible sleeplessness because I started itching and itching and itching.  It was like being hypnotized but my mind would not shut off.  I did eventually fall asleep but would wake up every 15 -30 minutes.  Horrible experience. now it's 1:30 a.m. and I am wide awake!,,F,59,1  days 1X D,12/24/2013Email,Rozerem
13, 1, Insomnia,Sleep paralysis.  It felt like my body was asleep while my mind was fully conscious. So frustrating!  And it prevented me from falling asleep.,I can't remember what the dosage was.Why is this crap so expensive?!  It was a worthless waste of big money!  Months after the first try_ I tried it a second time_ just to make sure it wasn't just a fluke_ but the second try was just as bad as the first.I only tried it because it's touted as non-addictive - well_ of course you won't get addicted to something that DOES NOT WORK!,F,42,2  times 1X AN,11/2/2013,Rozerem
14, 1, insomnia/fibromyalgia,drug would not help falling asleep_ when i did sleep_ it was light and patchy_had awful dreams_ woke drugged up_ dry eyes and mouth_ slept too late,,F,54,6  days8 mg,6/26/2013Email,Rozerem
15, 1, Insomnia,Nightmares_ anxiety_ severe headaches_ nausea_ flu-like symptoms,Have tried several sleep medications with some side effects_ but this is the worst.  Doctor said to stay on it for at least 7 days to start working.  Calling Dr. tomorrow_ cannot take this another day.  Thank God she gave me samples and I didn't have to pay for it.,F,65,6  days8 mg 1X D,2/26/2013,Rozerem
16, 4, Insomnia,This isn't a quick fix but it sure got me slowly bak on track.  I take itbNone,Its not q quick fix bit it sure helps.  I been taking it for 14 days along with 10mg melatonin.  I stll wake up during the nite and will be up for 2 hrs sometimes.  I hope it continues to get better.  I have to take it for 30 days.,F,51,14  days8 1X D,6/25/2012,Rozerem
17, 5, Sleep,Well Rested,,M,55,5  years8 1X D,6/24/2012EmailHistory,Rozerem
18, 3, Insomnia,Took rozerem for the first time last night. Will also (most likely) be the last. Did its job_ was sound asleep in 15 minutes. Also had nightmares. Woke up every hour or so_ but easy to fall back asleep. When sleeping it was sound sleep. Also was very paranoid about 5am that somebody was breaking into my home. Quite groggy today as well. Not sure of paranoia is a common side effect or not. I am normally somewhat paranoid so it may have just increased that. But it did its job in putting me to sleep right away!,,M,26,1  days8mg,6/18/2012,Rozerem
