,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, Acne scars and active acne,Peeling/irritation for the first 3 weeks_ sun sensitivity_ burned when I cried (my tears irriated my skin for some reason).,Currently 9 1/2 weeks in and my skin is improving a ton. I apply Tazorac .05% at night an hour after moisturizing_ and Aczone 5% in the morning after moisturizing as well. The important thing to remember with retinoids and basically any acne medication is patience. It was extremely discouraging about two weeks ago when I read all of these stories of people showing clear skin after only a month of Taz and here I was 7 weeks in and my skin wasn't improving_ but after reading other success stories of people sticking it out for months I decided to keep going.My skin isn't 100 % clear but it is so soft to the touch and the acne that I still have is very small scars that have faded tremendously.Finally feeling confident in my skin after struggling with moderate acne and overall greasiness for the past year_ and after trying every OTC acne treatment out there from Clearasil and Noxzema to make brands such as Dermalogica_ I've finally found something that helps my akin_ and I can't wait to see what my skin looks like by week 12 ( knock on wood),F,17,9  weeks.05%,7/6/2016,Tazorac
1, 5, Very mild acne_ pores & blackheads,Red irritated_sensitive_ preeling and flaking of the face.,Just like the other reviews on here I too was hesitant to try a product that would cause all those side effects. My dermatologist prescribed it to me and warned me to make sure I use moisturizer before applying TAZ. I didn't listen which was a big mistake. I think had I moisturized the side effects would not have been as bad. The first two weeks were the most embarrassing weeks. My skin looked like it was sunburnt and it felt that way. I wanted to quit but I stumbled upon this website and listened to what everyone said. STICK TO IT! I'm in my third week and although there is still some shedding going in small areas this medication is GREAT! I already see a difference. My pores look great the blackheads on my nose gone and even the small fine laugh line that even my plastic surgeon said Botox or juvederm could not fix is near to hardly visible. I hope that this review helps someone whose about to start or is going through what I went through. Your face will thank u for it. ; ),F,31,3  weeks0.05%,8/30/2015,Tazorac
2, 3, Acne,My skin has been dry the past few days_ not nearly as bad as other reviews have said but I'm avoiding dryness by putting on lotion before I use Tazorac.,I'm 15 years old and have been using acanya and Tazorac for about 2 weeks. My acne isn't that bad but it still bothers me since I'm the only one of my friends who has acne. I've had acne for a little over a year now and I've been to three different dermatologist which nothing they gave me helped. When I first started to use Tazorac and acanya I only had acne on my left cheek and tiny bumps on my forehead. The first few days I saw improvement but now after using this product for 2 weeks I've gotten more acne all the right side of my face!! And I'm so angry about it!! So far these products have done nothing but dry out my skin and cause more acne in places I've never had it. My dermatologist did say it will get worse before it gets better so maybe this is just a phase. When I read other reviews _ people saw improvement right away which really disappointed me when the same didn't happen to me. If you want to see improvement in your skin fast_ I wouldn't recommend either of these products.,F,15,2  days10,4/16/2015,Tazorac
3, 5, Teenage Acne,I absolutely love the way my face looks when I wake up after putting it on my face before I go to bed. At first_ it made my face extremely dry_ but that stopped when I started putting a little less on. I love this stuff!,,F,19,2  years30 MG,10/27/2014,Tazorac
4, 2, moderate acne_ whiteheads_ blackhea,Horrible dryness_ redness_ burning_ itching_ increased acne,,F,19,1  months0.1%,8/8/2014,Tazorac
5, 5, Adult acne,I've heard a lot about the burning and itching of Tazorac on the face. Believe me_ it's worth it! My derm recommended that I only use it every other night for the first week in order to give me/my face a chance to get accustomed to it. I started using it every night during the second week. I have to admit -- on the first night_ I washed it off because the itching and burning we as so bad. For those who are just beginning this medication_ my take on it is that it dries out blemishes WHILE SLOWLY BURNING OFF LAYERS OF DAMAGED AND SCARRED SKIN EVERY NIGHT. I only use it at night. In short_ the burning and irritation are worth it! My skin is velvety soft! So_ hang in there...it's worth it!!!,,F,43,6  weeks.05,7/23/2014Email,Tazorac
6, 3, acne,I've been taking .1% tazorac every night along with aczone and an antibiotic twice a day.  I also use the aczone during the day after washing with BP.  It's been OK_ I haven't really noticed any changes in my skin in the two months I've been using it_ I still have zits here and there.  I'm hoping to see results hopefully in the next couple of weeks.,,M,23,2  months.1% 1X D,4/15/2014,Tazorac
7, 2, Acne,At first it helped with my acne a lot but in the end....my acne still came back and my face is so dis colored and red all the time without makeup. People always ask why my face is always so red and it's EMBARRASING. Tazorac also made my skin a whole different texture and i look awful when I put makeup over my skin. I have a lot of hyper pigmentation on my forehead and I never had any before I started using tazorac. Honestly...my skin looks worse then what it looked like before.,,F,16,6  months0.05%,12/1/2013Email,Tazorac
8, 5, mild to moderate acne,Mild itching_ redness_ skin flakiness.,After being plagued with moderate adult acne_ including painful cystic acne flares_ I finally went to my derm to be put on a regimen. She prescribed Solodyn 105mg daily_ Acanya mornings after cleansing and before moisturizing _and Tazorac 0.05% after cleansing and after moisturizing at night 3-4x a week and working up to every other night. After using Solodyn my breakouts_ including cystic flares reduced dramatically. After 1 month I started weaning off Solodyn and stopped it entirely 2 months after starting. All the while I continued using Tazorac at night_ every other night. After 2.5 months use_ skin had become clear_ bumps and scars smoothed out_ hyper pigmentation from past flares and pimples were minimized. And I had this glow. And everyone who hadn't seen me thought I had lost YEARS in age_ as it also is well-known for anti-aging affects.  Only minor irritations for me because_ I think Solodyn kept the initial purge effects in check. And I apply Neutrogena sensitive skin moisture before apply Tazorac_ only at night and only every other night. I had pretty bad Acne_ blotchiness_ dark spots in April when I started and by July_ little to no acne_ spots_ blotches_ bumps cleared up_ skin looked radiant and everyone was commenting on how young I looked. For me_ all three worked together_ but Tazorac I continue to use as maintenance. May not work for everyone_ but for me an absolute miracle.,M,34,5  months0.05% 4X W,9/22/2013Email,Tazorac
9, 5, Acne. A lot of it,Peeling & Burning when applied,,F,12,2  days30MG,9/21/2013,Tazorac
