,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 2, ,,,M,,1  days,8/13/2016,Transderm scop
1, 4, Pregnancy complications,Skin irritation,Based on reading the majority of the reviews_ I've never experienced any blurry vision_ dry mouth_ etc. Sorry it didn't work out for the others_ but for me it's a miracle. Im diagnosed with HG_ a severe case in a pregnancy_ and out of the 8 medications that I was taking daily_ The patch seemed to work the most. I discontinued the 7 medications and stuck with the patch. However_ I did have one problem..Since Ive been using this for about 6 months now_ my skin behind my ears are very irritated. Looks like someone burned me. It did feel like a burning sensation everytime I put a new one on_ but it's just a side effect_ Its embarrassing to have my hair up_ people tend to think I have a bad skin rash/infection. The color of the skin behind my ear is a reddish-purpleish. I did take it off once to see how it goes_ and I ended up being back in the hospital_ severely vomiting and vomiting up blood. As much as my skin itches a lot and burns_ I just cant take it off. It?s a nightmare everytime I take a trip to the ER. HG is the worst to have during pregnancies.,F,20,6  months10 mg 2X W,7/31/2016,Transderm scop
2, 1, Travel,Wore when traveling to Africa.  Had to keep on pretty much the whole trip because of motion sickness.  Returned home and took the patch off as soon as we landed.  With 24 hours was horrendously sick.  Fatigue_ nausea_ light headed_ anxiety_ super depressed_ depersonalization_ and looking/acting completely drugged.  For 4 days couldn't pull myself off the couch or out of bed.  Day 5 started to see slight improvement with using Dramamine_ zofran_ and Ativan.  Still have a long ways to go to get back to my normal!,,F,35,10  days,7/11/2016Email,Transderm scop
3, 1, Post surgical nausea,Dry mouth blurred vision headache dizzy PVCS itching dilated eyes.,After removing patch worn for 3 days post op had terrible headache nausea Pvcs dilated pupils equilibrium was off dizzy still having issues after 4th day.  Terrible drug!,F,50,3  days,5/31/2016,Transderm scop
4, 2, Post-op nausea and vomiting,Long history of post-op nausea (PONV) here. Excellent care team applied patch about an hour before surgery (along with IV Zofran) to stop the nausea. Really hoped it would help. The dizziness & blurred vision & very dry mouth made me feel worse--dying of thirst. Drank too fast post-op and had some of the worst PONV ever. CRNA said to wear it 3 days; I took it off after about 36 hours; my doctor switched me from oral promethazine (did not stay down) to meltable Zofran_ which was much better. Hope it works better for others.,,F,50,2  days1 mg patch 1X W,5/18/2016Email,Transderm scop
5, 3, 8 Day Cruise,While on the patch severe dry mouth_ blurred vision_ and swelling in legs_ feet_ hands_ and face.  Once I took the final patch off_ I had a severe sore throat that lasted over a week_ and continual blurred vision.,I would probably use this again.,F,31,8  daysstandard 3X O,4/26/2016,Transderm scop
6, 1, Surgery,Extreme dizziness_ disorientation_ dialated pupils_ fast heart rate_ high blood pressure. HORRIBLE drug!! I will NEVER take again! 3 days after taking off patch_ I feel slightly better but still dizzy and winded just by walking or talking.,,F,35,3  days,4/7/2016,Transderm scop
7, 5, Multiple sclerosis symptoms,No side effects were more noticeable then my MS symptoms in general. It helps every day with my constant vertigo_ dizziness_ and my nausea. If the patch stops working after 3 days I need to put on another because my symptoms come back in full force and its unbearable. I have a hard time leaving the house without one that is actively helping to control my symptoms,I really wish there were more studies about the long term effects of regular usage,F,20,90  days1.5mg 1X D,3/17/2016Email,Transderm scop
8, 1, Nausea during anesthesia,Ugh the patch was put on me prior to surgery so I wouldn't get sick from the anesthesia. The next morning I woke up and couldn't see anything up close. It's now 4 days later and I still can't see up close. No one told me that blurred vision was a side effect. This is awful. I had to go back to work. I will never use this again!,,F,37,1  days30,3/12/2016Email,Transderm scop
9, 1, prior to surgery to prevent nausea,Dry mouth_nausea_extreme dizziness_dialated pupils_ blurred vision_ constipation_ trouble urinating the first 24 hrs.,I was directed to put patch on evening before surgery. Upon waking (10 hrs. after applying the patch) I was extremely dizzy and very blurred vision. Couldn't read my phone_ couldn't see paperwork I was signing at the hospital.The Dr. Said I did the right thing removing it. I had all the above symptoms the first 3 days. I'm on day 4 and I'm still very dizzy at times with bouts of nausea and headaches. Im worried how long it's going to take to clear my system. I would advise no one to take this drug_ very unsafe_ I don't know how it's even allowed to be prescribed. Scary stuff!,F,44,1  days1.5 mg,2/8/2016Email,Transderm scop
10, 1, Motion sickness,While wearing patch dry mouth_ blurred vision_ fatigue. When removed patch headache_ nausea_ dizziness_ fatigue_ chest pain. Do not take this drug!!!,,F,49,4  days,12/16/2015,Transderm scop
11, 1, I was trying it out before a trip,I put a patch on in the evening on a Saturday. By Sunday late in the day I began to feel very dizzy.  I kept it on for about another hour or two and couldn't handle the dizzy feeling anymore and took off the patch.  The next day and a half I felt fine.  By that night though I began experiencing dizziness off and on that progressively got worse.  I also have vision issues_ confusion_ headaches_neasua_ trouble with speech_and severe ear pain.  My doctor put me on a steroid_ meclezine_ zofran_ Zyrtec.  Feeling some relieve but not all the way yet.  So this is day 4 of symptoms.  I did this for an up coming trip.  I'm trying to find out how much longer this will last,,F,43,1  days1.5 mg,12/11/2015,Transderm scop
12, 1, 8 day cruise,I used one patch every 72 hours as directed. I experienced extreme dry mouth and drank water constantly during my cruise. The patches really worked for seasickness which troubles me badly_ but from the moment I removed the last patch_ I was deathly ill.  Severe nausea and headache as well as vivid_ disturbing dreams were my reward for a nausea free cruise. The aftermath of the patches lasted longer than the 8 day cruise.  I have been fatigued_ but unable to rest soundly and once awoke to my heart flipping around in my chest like a fish out of water.  I will never request this poison again.,,F,63,8  days 1X D,10/31/2015,Transderm scop
13, 4, to prevent sea sickness,I used this patch to prevent sea sickness while going deep sea fishing and it did keep me from getting sea sick. The only side effect I've had is the eye on the side I wore the patch_ the pupil keeps dialating. The other pupil is normal. It's been one week now since I removed the patch and the one eye is still dialating. Weird!,,F,59,1  days,10/23/2015,Transderm scop
14, 1, Surgery,Should've learned my lesson the first time I used this for surgery as it made me extremely nauseous as soon as I took it off and the nausea lasted for days. I thought this was because I took it off after 24 hours and did not wait the 72 hours as I was instructed. Just had surgery last week and used it again this time following instructions and removing after 72 hours. The side effects were horrible. Headache_ dizziness and nausea also broke out in a horrible rash. Used meclizine to try and lesson the withdrawals I was experiencing. It took a few days and a few doses of activated charcoal to start feeling normal again. Still suffering with this rash though. I would NOT recommend this drug to anyone! This drug is toxic and should not be approved for use!,,F,46,1  days30,10/20/2015,Transderm scop
15, 1, vertigo,Unexplainable and weird feeling.  I stayed in bed for 2 days unable to sleep.  My heart was pounding and bp got so high.  I used meclizine 25 for two days which helped.  I told my doctor about the side effects and he laugh at me.  He said the drug is non-addictive.  I can just remove it and that should be it.,I tried Transdem Scop because it works with a friend and my meclizine gets me sleepy.  I'm back with Meclizine and am glad that it helps me when I needed it.,,67,3  days,9/26/2015,Transderm scop
16, 3, Motion sickness on a cruise,It really helped to keep any motion sickness in check during the cruise_ but hours after I removed the patch I REALLY started feeling the negative side effects:  swollen ankles_ dizziness_ heart pounding_ sweating....all to the point that I was thinking about going to the ER. This is the day after I removed the patch and still feel ill due to the side effects. I won't use this medication again.,,F,53,3  days 1X D,7/31/2015,Transderm scop
17, 1, Surgery,i have my right eye blurry vision i can not read in my phone dry mouth i went to eye doctor all test was negative almost 10 days i have still problem .,Please Do not use this drug ad also inform FDA please  i dont know when my vision will be back.,M,33,3  days 1X D,7/30/2015Email,Transderm scop
18, 5, Going across country in RV.,Actually wore patches for almost a month. When I removed the patch I could not get up for two days and after a week am experiencing severe nausea and dizziness.,I wish I would have know about the withdrawal affects after wearing the patch for so many days. I have used the patch many times before for shorter trips and did not experience the withdrawal symptoms.,F,41,10  days1.5 MG,7/28/2015Email,Transderm scop
19, 3, for a cruise,I just got back from a cruise yesterday morning. This patch worked for motion sickness however after I took it off yesterday I instantly had bad dry mouth and confusion. I had felt like I had burned my tongue eating something hot but I couldnt remember what I had eaten (a banana and orange juice) I then began to feel nauseous and was having blurred vision and double vision. I instantly started drinking tons of water thinking that it would flush it out of my system and I took a shower to really wash the area where I had the patch. I totally zoned out in the shower and knew I was there to wash the patch away but could not remember if I had washed it or not. I then laid down and tried to text my friend but I was seeing double vision again almost impossible to text. I actually fell asleep into a deep sleep for a long time. This is not common for me_ I never take naps during the day. Well today i'm on day 2 and was supposed to pick up my husband from the airport but I do not feel confident,I was prescribed to take one patch for 72 hours and then swap it out with a patch on my alternating side. I followed instructions.,F,39,  1X D,7/24/2015Email,Transderm scop
20, 1, Vertigo,extreme blurry vision. Haven't been able to go to work for 3 days now. Wife has to drive me everywhere. I've been feeling confusion. It's been 3 days since I took off the patch_ and still have some blurred vision.,i don't recommend anyone taking this drug. Not safe!!,M,41,3  days1.5mg,7/21/2015,Transderm scop
21, 1, Vertigo,Dizzy extreme nausea weak tired loss of apitite,Horrible drug.  Took it for 1 day and next morning I ripped it off felt like I was having a heart attack.  Could not control my thoughts my actions.  This is not a safe drug.  It has been 3 days since I had taken this drug off and nothing helps.  I would rather deal with a vertigo attack than these side effects.  Please do not take this drug it is very unsafe,M,30,1  days,6/30/2015,Transderm scop
22, 1, Vertigo,Extreme dry mouth_ dizziness_ extreme fear_ insomnia_ emotional_ unusual thoughts and behavior_ shaking_ anxiety. I thought I was going crazy.,Please never take this medication. Worst experience of my life. Went to the ER twice doctors in ER did not believe it was side effects of medication. They keep telling me it was the Vertigo and to keep taking the medication. Thank goodness for this website. It's been five days and still having side effects. It come in waves. Sometimes I'm fine and then all of a sudden my heart will start beating fast_ or I get nauseas_ or begin sweating. STAY AWAY FROM THIS DRUG.,F,32,5  days1.5,6/19/2015,Transderm scop
