,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, GERD,It was the worse medication I have ever taking.  So glad I am not alone bad cramps. Worse stomach ache    Joint paint. Headache. Body twitching.veritgo burning stomach. Lethargic.  Felt instant relief as soon as I stopped the medication. Never again..... ,,F,54,5  days,3/31/2016,Aciphex
1, 2, reflux/gerd,constipation_ trouble trouble sleeping_ lack of energy_ apathy,By itself it hardly did anything for my reflux but with 2 Zantac a day and a strict diet it actually worked pretty well.  I might try and drop the Aciphex to see if those things work fine without this drug as I'm not too keen of the side effects: constipation_ trouble falling asleep and trouble waking up in the morning_ complete apathy which includes no sex drive which is the main reason I want to get off this drug.,M,44,30  days20 1X D,1/27/2016Email,Aciphex
2, 5, Reflux,None,Helps me extremely,F,40,2  years1 daily,11/4/2015,Aciphex
3, 5, Gerd and stomach acid.also great fo,None! I used to be able to eat almost anything in moderation. When we switch to Generic. Helps but does not work like true aciphex.,It is october 24 2015_there is no doubt in my experience_ this is an excellent choice for me.I have taken this medication for years and it works very well_ the generic works okay but not as well as a true aciphex. I just wish it wasn't so expensive to buy the real stuff_ and why is so hard to find right now. thank you_ Marguerita,F,56,5  years40,10/24/2015Email,Aciphex
4, 1, Barrett's Esophagus,Headaches_ blistering rash on scalp_ and chest_ foggy hearing_ very sleepy_ severe abdominal cramping_ inability to pass gas.,I was on the brand name meds years ago and has trouble with it. Thought I would try the generic. Not worth all the suffering will try another route to heal. I can't function!,F,49,9  days20mg,3/28/2015Email,Aciphex
5, 2, acid reflux,Joint pain and unsteady gait,Will stop taking it,F,80,3  days20mg,2/13/2015Email,Aciphex
6, 3, GERD,Lite headed_ Dizziness_ Severe hearing loss_ Chest Pain_Lethargy_ Severe Weakness,"My mother took ONE pill of the generic_ Rabeprazole and the effects were instantaneous! She normally has slight hearing loss but now i'm having to yell just for her to hear me. She is having chest pains_ is severely lite headed and dizzy and keeps falling asleep while talking to me. Pharmacist says ""oh we've never heard of this before_ but don't go to the ER unless she has swelling of the tongue or throat"".........She couldn't even get off of the toilet on her own. Do not take the generic! She has taken the Aciphex before with zero issues but this generic is awful!",F,63,1  days20 mg 1X D,2/1/2015,Aciphex
7, 5, GERD,This drug is underrated..I've taken every PPI and over the counter reflux med and Aciplex is the only one that helps me.  I have had trouble getting insurance to cover it in the past but there is a generic now so I am happy I can take it again.  Love it_ if you have trouble getting relief for your reflux_ definitely ask to give this one a try for a few weeks.  It's good.,,M,39,8  years20 MG 1X D,12/26/2014,Aciphex
8, 3, GERD,I have almost constant hip/pelvic pain_ worse at night_ elevated liver enzymes and scarring in liver_ sinus problems_ headaches_intermittent nausea_constipation_brittle nails and thinning hair_mood swings_ metallic taste in mouth.,"This drug works very well for my GERD but I feel constantly ""under par"" and if I try to come off the medication the rebound reflux is so severe i have no choice but to take it again. my main concern is my liver_ I had severely elevated enzymes and ended up having a biopsy which showed fatty liver and mild fibrosis (scarring) I took another PPI_ Omeprazole for a while prior to the Rabeprazole_ when I came off the Omeprazole and had a break from medication_ taking another type of drug (not PPI) my liver enzymes returned to normal.",F,54,13  years20 1X D,8/29/2014Email,Aciphex
9, 1, reflux,Feeling I'll every day didn't know why_aches in shoulders under armpits hip pain headache fuzzy head shall I go on trying to get off it but very slowly as reflux rages without it Since lowering dose hip pains have gone _working on controlling reflux in other ways.,,F,57,2  years20,8/26/2014,Aciphex
10, 4, GERD_ reflux,switched to aciphex from dexilant (which worked great but gave me pain during the night)_ Gerd and reflux still gone_ but terrible acid buildup at night.,doctor prescribed 150mg zantac at night for acid_ but doesn't work. am vomiting every morning for a year now_ mostly acid sometimes bile. tried taking extra aciphex at night_ no effect.,F,53,1  months20mg 1X D,7/21/2014Email,Aciphex
11, 1, acid reflux,About 2 weeks after starting the drug_ I began to feel very_ very tired_ had shaking of extremities_ loss of appetite_ lost 11 lbs.  Went to MD for shortness of breath.  She thought I had asthma.  Took blood and called that night to go to the ER because my BUN and creatinine were elevated and I was going into renal failure. Became anemic_ and immunosuppressed. In hospital for 1 week.  Took 2 years to get my baseline kidney function back.  Diagnosis was hypersensitivity reaction to aciphex.,,F,62,5  weeks1 tablet 1X D,4/22/2014,Aciphex
12, 5, acid reflux,None,,F,64,10  days40mg,12/1/2013,Aciphex
13, 4, Acid Reflux,Where do I start???,I have been on and off Aciphex for such a long time. I was put on it after having a scope done and they found a little sore in my esophagus. I never really had reflux much before taking this drug. When I have attempted to stop taking it I end up miserable!! I am going through this now. The Dr. didn't ok my refill because of the holiday I guess. I have been off completely now for 3 days. I have so much acid_ basically can't eat because EVERYTHING is making it worse. I have had diarrhea_ cramping. My left leg and foot plus my left arm and hand feels tingly. I have a dizzy head and slight headache. After searching for help online I stumbled on this posting. OMG! I am realizing that after reading all the posts that others have had horrible side effects. I am shocked! I have had irregular heartbeats for years. My previously thick hair is now thin. My skin is always dry_ my nails are brittle. I am always tired and feel like I have the flu. I have been to the Dr. with these symptoms for years. Never find a thing. Could it really be this drug??? I don't think he has ever considered the side effects of this drug and especially being on it for so long. I had one Dr. tell me I would have to be on it the rest of my life. Just like a diabetic has to be on a life long med. I just don't know how I will be able to get over these terrible withdrawal symptoms. But I can not go back on this medicine!! I am going back to the Dr. this week and give him the link to this website. Praying you all can,F,61,10  years20 MG 1X D,12/1/2013Email,Aciphex
