,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, Anxiety due to alcohol and cocaine,Side effects were minor or almost non existant. It's when you try to stop taking this benzodiazepine that the real problem begins_ because your CNS depends on it_ in order to function.,Take Ativan only for a short period of time if necesarry. It is a drug (OPIOID) just like what you find on the streets_ only legal because it is prescribed by a Dr. Don't let any Dr. tell you that this is a maintenance drug for you_ it is not. It is a powerful drug that start at low doses and your body and mind want more..this is why it is a controlled substance. SHORT TERM USE 7 DAYS MAX AND YOU SHOULD BE OK...SAY NO TO BENZOS!!!,M,44,1  years2 mg a day,8/12/2016Email,Ativan
1, 1, Severe anxiety and panic attacks,Worked well in the beginning.Then began to have rebound anxiety_Felt worse than ever and now trying to withdraw which is Hell,Outlaw this drug,F,68,3  months3 mg,8/1/2016,Ativan
2, 1, anxiety take as needed,Add on to last message I took it first time and felt hot flash and internal like shaking. It felt like coffee jitters and I can not drink coffee or have stimulants due to my heart Tacacrdia. The second time hot flash again.,I hate it hate it hate it. Makes my anxiety more intense and threw the roof. Not every body is the the same my body hates it makes me feel worse.,F,35,2  days.05,6/25/2016Email,Ativan
3, 1, Anxiety,At first it was great_ made everything better. Eventually the honeymoon is over and you need more. I decided to quit not knowing about the dangers of cold turkey. Everything was fine for about two weeks_ than my life fell apart. No sleep_ headaches_ extreme panic_ pains. I'm trying to taper now and it's not easy_ still experiencing hell. This pill gets a hold of you and doesn't want to let go. Poison.,,M,50,7  months1.5 MG,6/11/2016,Ativan
4, 5, Anxiety,None other then the physiological urge to take the Ativan.,Due to some health issues_ I was having a high level of anxiety daily which also led to some depression. Ativan was fast acting and helped calm me down when the anxiety felt unbearable. It did not really help me sleep. I started taking Melatonin for sleep and then I was able to stop taking the Ativan. I'm glad I never started taking the antidepressants the doctors had prescribed.,M,62,2  months.5mg 1X D,6/6/2016,Ativan
5, 3, Poststroke insomnia and anxiety,Not effective for insomnia_OK for anxiety.Taken in the evening_ morning anxiety and depression.At 1_5MG confusion_brain fog.,,F,68,3  months1-1_5 MG,5/25/2016Email,Ativan
6, 4, ,Ativan works really great for my anxiety. I'm leaving my house more.  I'm working part time again.,The only problem that I have ran into has been my regular Pharmacy all of a sudden decided they would not fill the prescription even after calling the  psychiatrist. My regular psychiatrist decided to move away and I started seeing another psychiatrist but with the same group. The pharmacist called this doctor shopping.,F,61,7  months0.5 3X D,5/22/2016Email,Ativan
7, 5, Panic attack,"I experienced panic attacks severe at about 30. Worked very well. I am now 68. So I have taken this med for over 35 years. I have over 500 scuba dives_ jumped out of air planes_ made over 200 speeches and worked on ambulance for two years. No side effects at all. I take 1 mg x day. The only problem is getting off fast. I was on 3 Mg a day now 1 mg. it caused my heart to skip withdrawing.  My cardio Doc said ""why quit"".  Really. I have probably been on this med as long as anyone. No ill effects. It does have a bad effect I have seen in about 1 in 10 people I know. They became very agitated. Also I don't use this for sleep. I have no other illness and take no other meds.  If you can't sleep try over the counter Unisom. This is an over the counter med and works very well. Give it a chance.",,M,68,10  years2,4/19/2016Email,Ativan
8, 3, panic Attacks.,For the last 24 years it worked great. Then this year it just stopped working. It causes like a hot flash and brief ill feeling_ then a mild depression.,Been taking it for 25 years for panic attacks as needed. Worked well until last 6 months or so. The manufacturer changed and now it simply quit working. My doctor gave me 10 Xanax to try to see if I like that better.,F,45,10  years2mg/3x/day,4/19/2016,Ativan
9, 5, Cancer anxiety,None to think of.,2 treatments for cancer... Anxiety was brutal. Panic attacks_ lack of sleep_ fear of cancer return_ unable to enjoy my life. Took various ssnri_ ssri_ off label 8 different ones_  only did they do nothing for anxiety but had numerous siicidal ideations_ thought I wax crazy_ stomachs problems_ nausea created more anxiety 4 different psychiatrists 3 of which were not helpful at all except for CBT did help somewhat with aid from Ativan. Without it I'd be gone by now.,M,71,4  years2 mg,4/8/2016Email,Ativan
