,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 3, Severe stomach pain,Dry mouth_ dizziness_ blurred vision_ anxiety_ etc.,I was prescribed bentyl on Saturday after I came out of the ER. I've been having this pain in my stomach for so long and the last time I went to the ER_ they prescribed percocets. Let me just say_ i'd rather be high off of the percocets than bentyl. I literally just took it about an hour ago since I'm at work alone so I'm worried I'll get the pain after I eat. I was literally freaking out about 10 mins ago. I got super dizzy and nauseous. I felt like everything was going in slow motion and felt like I was going to collapse on the floor. I'm pretty sure it gave me anxiety because I felt like I was about to die. I had to call my mom and have her talk to me so I could relax. I started getting customers walking in to my job and I felt like I couldn't keep up a conversation. I don't recommend it but I guess since we're all different_ we won't all have the same side effects. Be careful and make sure you're at home taking it.,F,24,4  days20 mg,7/6/2016,Bentyl
1, 1, Ibs perscription,Side effects are as ppl say..,"I want to comment that this drug has been perscribed ""to my knowlage"" since the 70s-- I was surprised by the medical world that this drug still exists in 2016/ is that how far medicine has come in 45 yrs??  Pathetic don't let ur doc give u something like this_ research ur drugs! My aunt that used to take this ended up with serious psycosematic issues_ and bad ocd",F,45,0  days20mg 3X D,5/7/2016,Bentyl
2, 5, Chronic radiation enteritis,Bentyl has been a life saver for me!  I developed Chronic Radiation Enteritis 2 1/2 years after radiation to the small bowel & chemotherapy. I would have episodes of absolutely to worst pain i have ever felt. My episodes started w severe upper abdominal pain_ then went to 12 hours of vomiting_ nausea_ diarrhea. I would sleep on the bathroom floor_ alternating from so hot that i had to take all of my clothes off_ to freezing. My doc told me to take this drug the minute i felt like it was coming on & then don't eat or drink anything until it is gone. This drug is awesome! It has saved me from at least 2 episodes & significantly lessened another. I don't have any high feeling that some say they experience. I do have dry mouth but i just drink more water. I will take that any day over throwing up all night! I don't leave home without it.,,F,49,4  weeks,4/17/2016,Bentyl
3, 4, diverticulitis,extreme drowsiness,Except for the drowsiness_ this is a miracle drug.  I would get severe diarrhea and nausea/vomiting for days and end up in the er on IV fluids.  Have had several 'outbreaks' since I started this med_ but haven't gotten anywhere near that bad.  Just need a day of rest and I'm ok.,M,37,18  months10 mg 1X AN,3/16/2016,Bentyl
4, 4, severe abdominal pain and spasms,Dry mouth_ blurred foggy vision_ numb feeling throughout my body_ delayed physical responses_ everything feels like it's going slower when I take this medication_ constipation,"I have been dealing with severe constipation and hemmorhoid and stomach spasms and bad pain for years. Had tried everything Google had to offer to combat ibs_including dieting_ probiotics_ eliminating gluten or dairy_ increasing fiber_ intense excercise...etc... with no relief_ my dr prescribed this bentyl. I don't like the ""high"" feeling because I don't feel completely in control_ but it passed after being on it continuously for two weeks_ and I cut my pills in half instead of taking the full thing every 8 hours like my Dr wanted. I force myself to drink half a gallon of water by noon and another half by 6pm. To make sure I stay hydrated and help with the dry mouth. Sometimes I feel as though I'm not urinating enough for as much water as I'm drinking_ but haven't had any major signs of problems from that so no worries. I only use this medication when my stomach begins hurting. Not as preventative even though I'm directed to. It works for its intended purpose beautifully and have finally after years_ found some sort of relief..",F,29,1  months,1/24/2016Email,Bentyl
5, 4, IBS,It worked wonderful for my IBS. On the 2nd day_ I felt  like I  had partied for a week. Dizzy_  nauseated_ headache. Stoned.,I may continue to use it and see if the side effects ease up.,F,51,2  days10 mg,1/10/2016,Bentyl
6, 5, IBS/abdominal pain,Dry mouth_ drowsiness_ dizziness.,This medication had controlled my horrible twisting_ stabbing_ gut feeling. It is very calming and has a Valium feeling to it. I've been on every anxiety medication_ and frankly this has worked better than the others. My pain is gone_ my mood is better_ and it even helps me relax to fall asleep at night.,M,24,1  months40,12/26/2015,Bentyl
7, 5, I b s and diverticulitis,Relaxed,Helps so much,F,48,2  days10mg,11/29/2015,Bentyl
8, 5, I had terrible pain in my abdomen,Had terrible pain for almost 3 years in my abdomen after I had a bowel movement. Bentyl is the medicine that has helped me. I take B&O suppositories for pain as well,,F,59,1  months10 4X D,10/15/2015,Bentyl
9, 5, Moderate ibs,Foggy_ drowsy/drunk feeling. Dry mouth and appetite decrease.,A miracle for me! Helps so good with my IBS pain. I can actually eat and not be in pain.,F,22,3  weeks40 mg,10/7/2015,Bentyl
10, 1, Ibs,Sent me to the ER via ambulance. After one dose my heart went into tachycardia_ gave me tremors_ etc. literally thought I was dying.   Will NEVER take again.,,F,34,1  days20,10/5/2015Email,Bentyl
11, 4, Ibs,"Very dry mouth. Relaxed but drowsy feeling.. Aniexty suffers may not like the ""high""",,F,27,1  days10,10/2/2015,Bentyl
12, 4, Ibs,"Very dry mouth. Relaxed but drowsy feeling.. Aniexty suffers may not like the ""high""",,F,27,1  days10,10/2/2015,Bentyl
13, 3, discomfort in the stomach,I didn't see any effect until 3rd day when I itch in different part of my body. Also dry mouth.,It calm me sometimes_ but sometimes I always doubt if it works for me_ but those times are the time I have to use metformin.,F,41,4  days10mg  3x d,9/20/2015Email,Bentyl
14, 5, Severe IBS,"Dry mouth is really the only side effect that I have to deal with. It does make you feel a little euphoric_ but not ""high"". After dealing with such severe digestive problems I have no problem with a medicine that calms my bowels and makes me feel a little happy_",This medicine has saved me from complete and utter agony.,F,,4  months20 mg 4X D,9/15/2015,Bentyl
15, 5, Crohns and IBS,After literally wanting to tear open my skin and rip out where the pain is_ Bentyl has been a blessing. I had been weak and in bed for a month_ unable to even eat or walk more than 10 feet. I experience drowsiness and cotton mouth first day but I was able to get out of bed on the second day.,Everyone is different and their bodies react different but I would recommend it all day to anyone.,F,44,4  days10 mg,9/8/2015,Bentyl
16, 5, for addiction,i think it is not good for heavy dose,take this in little dose heavy dose fucu very bad,,23,1  days60,7/18/2015Email,Bentyl
17, 2, crohns disease,Well it does work.  It slows things down and this helps alot.  But it gives you a cheap high.  The hangover affect the next day is just awful.  It is very bad.  It is just not worth taking.  I only took Half of a 10mg and it was nasty.,It works but so do nuclear weapons.,M,41,2  days10mg,6/21/2015Email,Bentyl
18, 3, IBS,"I have been taking Bentyl on and off for the past two years to medicate severe abdominal pain due to IBS. I'm not a fan of this drug AT ALL. I gave it 3 stars because it does alleviate the pain somewhat_ but even a minimal dosage gives me very uncomfortable side effects. There is nausea_ but what even more detrimental for me is dizziness and cognitive malfunction. I feel like I'm in a ""fog""_ I can barely concentrate on any reading material (which is VERY BAD for my work)_ I can't drive (also bad for work!)_ and most weirdly I completely lose my short-term memory - for example; constantly forgetting what I'm talking or thinking about_ forgetting something the second someone tells me_ etc. I can barely even focus enough to watch TV! Sadly real pain medication is hardly ever given to IBS sufferers (""it's all in your head"") so that is what I am stuck with.",,F,31,2  years40 mg 2X AN,5/10/2015,Bentyl
19, 4, spasms and diarrhea after g surgery,Feel high and blurred vision,It's definitely worth taking but not sure how I will be able to work on it_tough to concentrate.,F,54,5  days10mg,4/13/2015,Bentyl
20, 2, abdominal discomfort,I think it helped my stomach_ but it made me feel crazy!!Been suffering with some kind of stomach stuff since November on and off. I was hoping this was going to help but oh well I can't stand feeling crazy in my head,,M,43,1  days20mg,2/19/2015Email,Bentyl
