,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, Autoimmune ensuphalitis,Not many side affects with it but occasional headaches.,I have felt faint and almost passed out 2 times_ don't know if that is related? But otherwise very effective. Probably will continue it for 2 more years.ive had no relapses_ after I started taking cell-cept.,F,,1  days1000MG,5/25/2016,Cellcept
1, 5, Birdshot uveitus,Burning_ itchy pus filled rash across forehead every few months. Tired_ insomnia worsened. Problems with stomach. Had hoped for weight loss_ but no....,Happy to have it_ hoping it helps with eyes!!,F,53,1  years3000mg/day,4/30/2016,Cellcept
2, 5, Myasthenia Gravis,Hair loss,Helped me a great deal and I will probably be on this for many years.,M,22,8  months2500mg,10/26/2015,Cellcept
3, 4, PIC,Fatigue_ joint pain_ hair loss_ depression_ crabbiness,The med seems to have stabilized my condition,F,39,7  months1000 mg 2X D,8/11/2015,Cellcept
4, 3, Atopic dermatitis,Helped clear my skin a bit. Small headaches so dropped down to 250mg twice a day. Then severe hairloss. Still experiencing hairloss even after stopping cellcept last week.,,F,41,6  weeks500mg,5/1/2015,Cellcept
5, 1, autoimmune deficiency attacking my,Severe hair loss. Have had shingles twice. Urinary Trac infections.  Sores on neck and scalp.,Liver functions are back to almost normal.,F,71,1  years1 pill,1/10/2015Email,Cellcept
6, 5, Mctd,No,,M,15,1  days1000,12/8/2014,Cellcept
7, 5, lupus/lupus nephritis,hair loss,I tolerated this medicine very well despite the significant list of side effects. At first I did have a lot of issues with some hair loss_ thin hair_ etc but over time I think my body adapted and I started taking hair_ skin and nail vitamins which helped. This medicine has basically cured my lupus nephritis and I have been weaned down to only 500mg /day after 2 years.,F,30,2  years1000 2X D,11/18/2014Email,Cellcept
8, 5, Lupus _Hypertension,Nausea_ fatigue_ small headaches_ loss of appittite_ weight loss.  This medicine has helped a lot but I hate the side effects I gained weight 120-155 then loss weight 155-106 ;( with the help of (water pills) but its kept me at106 and with a rocky appittie it just seems to be going down more and more I getting ready to start dialysis soon and I'm on a kidney transplant list so I know I will be taking a lot more cellcept but I wish I could avoid a few side effects,,F,24,2  years1500,6/29/2014Email,Cellcept
9, 2, Kidney Transplant,Abdominal pain_ bowel urgency_ VERY loose stools_ so loose I couldn't control my bowels.,Kidney function was great while on it.  After several EMBARRASSING accidents_ including one when I was wearing boxers and blue jeans and what seemed like a gallon of liquid poo ran down the leg of my jeans onto my shoes and the floor_ I started wearing adult diapers whenever i left my house in case I pooped my pants (which I often did). Finally after begging and pleading with the doctor_ he took me off Cellcept_ and put me on another medicine (Immuran) and my GI side effects are much less severe.,M,21,6  months1000 1X D,6/14/2014EmailHistory,Cellcept
10, 3, systemic lupus,Nausea_ acid reflux_ fatigue_ headaches_ scalpsores,,F,44,1  months2000 mg,6/12/2014,Cellcept
11, 5, Systemic Lupus,significant hair loss; weight loss (went from 130 lbs to 120 lbs),Cellcept is an amazing drug - my anti dsDNA went from very high to negative on this drug and I got my life back. nerve pain went away_ energy came back. I did lose a lot of hair and weight but for me it was worth it,F,28,1.5  years1500 2X D,1/10/2014Email,Cellcept
12, 4, Primary Sjögren's Syndrome-systemic,This is the third DMARD I have tried after Plaquenil and injectable Methotrexate. I asked my rheumatologist if I could try CellCept next because my condition has a lot of features of lupus_ and this medicine seems to be effective for many patients with sle. My disease was controlling my life prior to starting this medication. I was very depressed and always felt awful. I'm beginning to feel subtle improvements_ such as having more energy. I've never responded this way to any of the other treatments I've tried_ so I'm feeling very positive about making this choice. So far my labs are great and the only side effect might be a bit of nausea. I would recommend this medicine to anyone who has an autoimmune disease that is not under control.,,F,26,1  months500 mg x 2,12/22/2013,Cellcept
13, 2, Undifferentiated Conn Tis Disease,Loose stools; horrible breakout in scalp and back (itching_ burning_ painful)_ insomnia,I switched to this from Imuran_ which didn't seem to be doing much.  Since I've been on this I haven't noticed improvement except in my anemia.  Inflammation markers have gone higher.  With the skin issues_ my doc has told me to stop taking it to see if it improves.,F,58,7  weeks1500 2X D,7/25/2013Email,Cellcept
14, 5, Part of anti-rejection regimine,None that I can point to.,Kidney transplant from living donor 16 years ago.  Cyclosporin_ Cellcept_ and Prednisone are my anti-rejection drugs for rest of my life.  Was originally on Serolimus study after transplant_ but found I was having severe water retention in arms and legs to get off it and be put on Cellcept.  Wish I didn't have to take any drugs_ but I feel privileged to be here.  In excellent health otherwise.,F,62,8  years500 2X D,5/21/2013Email,Cellcept
15, 4, Dermatomyositis,fatigue_ severe headache,,F,38,2  weeks500 mg 2X D,3/10/2013,Cellcept
16, 5, Kidney Transplant living Donor,I have not noticed any side effects really has been an excellent medicine for me..... Would love to get off it just cause the less medicine we take the better .... Kidney transplant soon to be 9yrs Cellcept_ prograf_ predinisone is my rejection meds.... Have a  Blessed day...,,F,43,8  years500 2X D,1/31/2013Email,Cellcept
17, 5, Autoimmune Hepatitis,Hair loss_ fatigue_ insomnia_ neuropathy.,I hate the hair loss and insomnia the most_ but I have not had a flare since taking Cellcept.,F,59,4  years500 MG 1X D,1/30/2013Email,Cellcept
18, 5, Severe uveitis and ? Lupus,"None yet_ joints are ""popping""like crazy but no other side effects. My doctor is telling me it takes apps 7 weeks to take effect. And I have no insurance and the generic  ost is apps 100.00 a month. I really hope it works.",,F,53,5  months1500 twic 2X D,10/8/2012Email,Cellcept
19, 5, heart transplant,I had no side effect what's to ever also on prograph and they work well together,,F,22,3  years,12/8/2011,Cellcept
20, 3, Mutiple Sclerosis,   Large amount hair loss,  I guess my neuro exams better but really upset about hair loss. Not due to my age as I am on estrogen. Does anyone else notice this?,F,65,2  years1000mg 2X D,10/28/2011Email,Cellcept
21, 3, kidney transplant,anemia_ neutropenia (low neutrophil count)_ leukopenia (low white blood cell count),Hemoglobin is stuck at 12_ most likely due to cellcept. The drug seems to have caused sudden crash in low WBC around the 3-mo mark. Doc is still trying to figure out how to correct this. Bone marrow seems to be struggling with upping WBC counts.,M,35,4  months250 mg 2X D,7/20/2011Email,Cellcept
22, 5, To help me get off of Prednisone,Fatigue in the beginning,My original post was on 6/26/10 when I'd been on Cellcept (Mycophenalate) for 3 weeks. I was prescribed Prednisone in Nov. 2008 for Bullous Pemphigoid and had several attempts at weaning off of the steroids without success.  Finally success....I took my last Pred. on 11/20/10_ thanks to this drug!  I've been slowly tapering off of the Cellcept since Jan. 1 and am now taking 1 Cellcept every other day......April 9th will be my last one.  I am optimistic that the BP is now in long term remission and I can put all of this behind me finally!,F,73,9  months250 mg. 1X D,3/25/2011Email,Cellcept
23, 5, Behcet's Disease,Obviously I am now more susceptible to secondary infections_ since this is an immunosuppressant.Also_ diarrhea - worse with higher dosage.,I have previously tried several different immunosuppression medications (ie Imuran_ Trental)_ and found CellCept not only to be the most helpful (reduced major flares requiring weeks in the hospital from every ~7 months to every ~2 years)_ but also had the fewest and most tolerable side effects of anything else I've tried.,F,32,3  years1.5G 2X D,1/17/2011,Cellcept
24, 4, Lupus Low Platelets,I started a low platelet (7) flare 11 months ago and Predniose 80mg & 750 to get count up to 40 then 20mg tired to taper steroids and then platelets drop to back to 40 platlets so back to 130 and trying to taper 2mg every two weeks. I keep asking if the cellcept is causing a new area for flares.,Have noticed an increasein flourscent light(WalMart Boxstores) get wonderful splitting headache. Pamelor helped with migraines and sleep deepth. Any ideas for keep platlet counts up to normal? Could it be the Cellcept? Or just a new chapter in Lupus,F,45,11  months1000 mg 1X D,8/25/2010Email,Cellcept
25, 4, Bullous Pemphigoid,Fatigue,I've only been on Cellcept for 3 weeks today so it could be a bit early for my evaluation.  Nevertheless my Dr. put me on it in an effort to get me off of the Prednisone_ which I've been on for 19 months.  I've already been on Dapsone for over 3 months and did not help at all....actually I was getting worse while taking it.  Then we tried Imuran which was working fantastic with my Prednisone taper but was causing some potentially serious side effects.  The Cellcept is helping me with my taper_ maybe not quite as good as the Imuran but I am hopeful that this will be the drug that helps me get off the Pred!  In just 3 weeks I've discovered that if you don't follow the directions about 2 hours after or 1 hour before a meal it makes a difference with the drug absorption in your system.  I messed up with that twice in a 2 day period and started having problems....now I am paying close attention to taking it on an empty stomach and am doing well.,F,72,3  weeks500 mg. 2X D,6/26/2010Email,Cellcept
26, 5, lupus,,I also wanted to comment that I used to get upper respiratory infections (URI) 3 to 4 times a year that took forever to clear up in the five years I suffered before taking Cellcept.  In the five years since I started taking Cellcept_ I have had only 3 URIs_ only one was really bad that required a trip to the doctor's office.  If you have not responded to other drug therapies_ TRY tHIS medication.,F,53,5  years1000 mg 2X D,6/9/2010,Cellcept
