,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, Hot flashes radiation dried up my o,,Use your hair dryer after you apply the patch  turn it on the patch for a few seconds and it will make the patch adhere,F,74,10  years,8/5/2016,Combipatch
1, 3, osteopenia_ vaginal dryness,mild headache_ fatigue_ weight gain/bloating in mid-section_ breast soreness_ bleeding,I started menopause in my mid-30s and am taking this primarily because it is said to improve bone density_ and I was deathly afraid of fosamax.  Since yesterday I've been experiencing more than breakthrough bleeding. I'm not sure if I should be concerned about this. I'm not thrilled about the weight gain_ and am concerned about reading all of the comments about hair loss.,F,46,14  dayslowest 1X D,7/22/2016Email,Combipatch
2, 4, hot flashes and mood swings,Hair thinning loss_ heart palpitations_ extreme vaginal wetness.,It was great for my hot flashes & mood swings!  I had problems  with the patch irrating my skin.,F,60,1  years50/250 2X W,7/18/2016Email,Combipatch
3, 3, HRT,Sadly @ this age there can be SO many issues. I have some food intolerances_ makes me flush. I also think it's really questionable as to the reliability of the dispensing of a patch_  especially when you consider what we're doing to try to make them work...Thought I had the WORST hot flashes; not so. Flushing from allergies.   SPOTTING! Weight gain? or inability to lose weight? some skin issues_ thinning hair_ hard to say if that's from the patch_ occasional headaches_  hard to put that on the patch.  Overall anything is better than suffering extreme hot flashes_ which I'm starting to think are from a myriad of other things along with menopause . To experience the feeling that you're going to spontaneously combust!!  It's hard to believe that other women went through this in the 20s & the 30s .  Of course_ conveniently we get to blame big Pharma for everything . Ideally what it would be great to know about is how some women function who have NEVER HAD THEIR hormones FUSSED with ! Starting at the ages of 13 14 15 and 16.  And now we have the morning after pill_ and another IUD!!! These companies are just looking for trouble aren't they ?  So when you have stats that I can use to compare what it's like to be a woman who hasn't had her body completely contorted by the time she's 25 then I guess I'll know exactly what the real side effects are !,The patch doesn't stay on! NONE of the patches stay on!  The ONLY way to get the patch to stay on; get yourself what is known as a sterile clear window bandage_ take the patch apart put it in the center of the window_ then put the bandage on with the patch . Only the manufacturers will know if this is changing the effects of the distribution of the patch. Maybe they should look at the window bandages and figure out how to incorporate a patch into it (duh) because the damn patches are expensive! Having them come off  is pretty much enough to stop using them_ when you consider the cost of the bandages and the patch .  I guess we women are always supposed to spend more money_ suffer a little more_ get a little less out of life! we can thank the manufacture for this one this time COME ON FIX THE STUPID APPLICATION!',F,59,3  months30 mg,6/13/2016,Combipatch
4, 3, Hot flashes_ night sweats..,"WEIGHT GAIN_ my hair has been changing (ticking me off!) Didn't think I was loosing it but I'll pay more attention now after reading all the reviews. Spotting. Recently I seem to be having ""break through"" bleeding. (Frequently!) Slight headache.",It took about 3 weeks for me to get relief from those damn hot flashes and night sweats_ but when the patch finally kicked in all the menopause symptoms stopped. My biggest issue is the patch peeling up around the edges. This happens not too long after I put it on. I clean the area first with alcohol and dry it completely (with my blowdryer!) This is my biggest complaint. Maybe if it were made of a more Band Aid like material it would stay on better. Its like putting a hard piece of contact paper on your skin without getting bubbles! I've already had more of an issue with the weather getting warmer and my skin getting sweaty. It peels right up around the edges.,F,53,6  monthsLeast amt.,6/7/2016Email,Combipatch
5, 4, constant hot flashes_ mood swings,Initially headaches and very swollen tender breasts. Stopped patch to allow  breasts to settle down.  hot flashes returned with a vengeance two months later_ so started patch back    Cured hot flashes_ have some ups and downs with mood_ maybe patches are not quite all the same dose?,I use a waterproof band aid to cover my patch_ sort of like the ones that go over IV's in the hospital. Works like a charm. No leaking of water on patch and it stays on for the whole 3 days.  for those with weight gain_ I was gaining weight through the middle without the patch_ age related_ menopause symptoms I believe_ so I dont think the patch makes that worse.  Just have to eat less sugar_ and exercise to curb that.,F,54,12  months0.5-.14 2X W,5/19/2016,Combipatch
6, 4, Hot flashes_ osteoporosis,None so far,I started going through menopause in my late thirties_ recently went on osteoporosis medication and doctor thought combo would work better. After 15 years still suffering from hot flashes and some hair loss and thought hrt may be beneficial for these symptoms also. But now think it may make hair loss worse.,F,55,7  days2 x 50/140 2X W,5/13/2016Email,Combipatch
7, 5, Menopause,,,F,55,1  days,4/9/2016,Combipatch
8, 4, Hot flashes_ heart protection_ bon.,Not sure but doctor is requiring me to stop said the risks outweigh the benefits at my age and I'm back to having hot flashes and I'm not a happy girl,,F,66,6  years30mg,4/5/2016,Combipatch
9, 2, menopause anxiety thats all,Went on it a few months back wore it for about 6 weeks started with heavy bleeding went off for 2 months still bad anxiety went back on for 8 days started with weakness and dizziness so took it off again just don't like it.,,F,57,1  days50/250,3/29/2016,Combipatch
