,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, PCOS. Spotting in between periods,Acne to chest and back. Bloating. Mood swings,I've been on many bcp since I was 16 due to PCOS. I kept spotting in between my periods so my doctor put me on demulon. Since being on demulon_ I've had acne to my chest and back and getting large pimples on my face which I never had before. There's been no change in my periods. I still get them for 7 days and they are heavy. I am very short tempered and moody on this bcp. Not a fan of demulon,F,23,3  months,2/26/2015,Demulen 1/35-28
1, 1, Birth Control & Acne,Severe Anxiety_ Moderate Depression_ no libido_ chronic yeast infections_ dizzy spells_ nausea,,F,26,2  years30,10/28/2014,Demulen 1/35-28
2, 4, Acne/Pregnancy Prevention,First four months on Zovia 1/35E it improved my mood swings_ I gained weight_ about 8 pounds_ boobs increased about a cup size_ I felt very bloated all the time. Acne got really bad up until the four month mark.  Acne completely cleared with the ocassional pimple here & there near the end of my fourth month on the pill. Weight went back down a bit (about 5 pounds but I also exercise almost everyday) and I didnt really have much of a bloated feeling after that. And I have had no pregnancies on the pill.,Everybody is different you have to give it time before it adjusts to your body. I almost stopped taking the pill on the fourth month until I saw it started clearing up my acne majorly.,F,19,6  months 1X D,4/15/2014Email,Demulen 1/35-28
3, 5, birth control,No noticeable side effects_ may get moody around period time_ lighter periods(1-3 days)_ can miss periods up to 3 months in a row.,I started taking Demulen 9 years ago. I never had any side effects_ except noticing that a few days before my periods_ I may get moody_ depresss_ but it only last about 2-3 days. No weight gain_ clearer skin_ don't feel any different_ no babies!,F,30,9  years 1X D,6/30/2012,Demulen 1/35-28
4, 4, Birth Control,Worst - heat rash_ sensitive skin_ extra hair. Some bloating and possibly mood swings :)_ sore nipples. Some periods missed consecutively_ screw up on the pills at all and get spotting.,I just recently discovered that this is probably what has been giving me sun sensitive skin_ easily getting heat rash and burning quicker. I just now read that it can increase hair growth and am pretty sure that has happened too_ my arm hair is LONG and everywhere_ and I get lots of mutant long hairs on my back_ face and arms frequently. Plus I have hairy hands and feet. But no kids_ so it worked that way_ and I had tried many other kinds in a couple years with always bleeding through. Demulen did give me 3 day barely there periods which was nice_ but worrysome when it didnt come for 3 months. Stopping because I want to see if I notice any difference in myself not on it_ hoping for no more heat rash_ its itchy and ugly.,F,29,12  years30 1X D,6/28/2012,Demulen 1/35-28
5, 4, POF_ Early Menopause,Main complaint: no Libido_ didn't even want to be touched by my husband. I am no longer on this pill because of the libido problems.Sore breasts_ bloating a few days before periodAcneGood symptoms (for me): increased breast size_ increased appetite_ increased weight.,I was put on this to help me get my periods back and stop my ovaries from dying. I have Premature Ovarian Failure and Early Menopause symptoms. This pill brought back my periods and made me gain weight (I was very underweight).This BC pill is the first one that hasn't given me severe mood swings or depression. Wayyy better than Alesse that way.PS: If you're just starting this pill_ give it some time!! The first 2 or 3 months can be rough until your body adjusts.,F,25,1.5  years 1X D,2/29/2012,Demulen 1/35-28
6, 1, Birth control,Severe depression_ incressed acne_ heavy breakthrough periods_ mood swings.,This pill was recommnded to my doctor because i am plus size and could not take have the patch. She said it would help my acne and lighten my periods. Although it did indead lighten my period_ the side effects were so harsh over time I had to switch. Over time i became severly depressed during random parts of my day. I cried for no reason_ and could not seem to lighten my moods. My acne was twice as bad as it had been_ especially around the time of my period. I had stopped taking this pill for two months when i was very stressed over work and having 2-3 periods a month_ and within a week of not taking Demulen my face seemed much cleaner and my moods better. I did go back on this pill_ and the side effects came back just as bad. I have now switched and feel much better.,F,19,8  months30 1X D,6/17/2011Email,Demulen 1/35-28
7, 1, Regulate persiods,Gained 13lbs_ swollen breasts_ acne_ mood swings_ cramping and heavy flow periods,,F,30,3  months 1X D,5/2/2011Email,Demulen 1/35-28
8, 2, Acne,More acne_ tender/enlarged breasts_ emotional_ fatigue,I started taking demulen for my chest/back acne_ and it has not gone away in 3 weeks. It has progressively gotten worse. I don't know if this is because it's flaring and THEN will go away but I am unhappy.,F,20,3  weeks 1X D,3/30/2011,Demulen 1/35-28
9, 4, To regulate flow_ and Birth Control,Have experienced breakthrough bleeding_ especially in the week before my period. My breasts have became larger. Had to go up a full cup size.,,F,27,6  months35 1X D,12/13/2010,Demulen 1/35-28
