,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, High Blood Pressure,Thinning hair_ horrible leg & feet cramps_ muscle weekness_ shortness of breath_ hip & back bone pain_ arm & hand numbness.,"Generic didn't work_ horrible dizziness! Brand works well for BP_ had no side effects for years but have had them now for at least 2 years. Thought it was just ""old age"" until I didn't take it for a week_ most side effects went away!!! Have asked Dr. for something new without the side effects today!!!!",F,53,10  years 1X D,8/16/2016,Diovan
1, 5, High BP,None. 80 mg for 20 yrs120 mg for 5 yrs,Generic did not work for me.,F,71,10  years129 mg,8/14/2016,Diovan
2, 5, High BP,None. 80 mg for 20 yrs120 mg for 5 yrs,Generic did not work for me.,F,71,10  years129 mg,8/14/2016,Diovan
3, 2, Blood Pressure,Because my insurance company refuses to let me continue with Diovan_ I jave been on and off Valsartan for the past couple years. With it I have nausea_ insomnia_ blurry vision_ am dizzy and fall asleep at work. The generic is NOT the same as Diovan. Yes it does work to keep my bp down.,I want the insurance company to stop trying to save themselves money at the expense of my health.Give me back my diovan.,F,61,2  years80,8/13/2016Email,Diovan
4, 2, Blood pressure,I'm taking Valsartan the generic for Diovan every since I have been taking it feel like my legs are crippled getting off of it ASAP,,F,63,10  days,8/11/2016,Diovan
5, 3, Blood Pressure,Loss of breath_ watery eyes_ blurred vision & serious weight gain.Help_ !,Can anyone suggest a drug that is of the same class without the weight gaining_ vision loss and heaps more side effects including etc ...!?,M,44,5  months80 - 160,7/23/2016Email,Diovan
6, 1, High blood pressure,Unbearable pain in my legs and feet. Chronic fatigue. Back pain. Head aches. I got sick a week ago and did not take my meds for a week and I've had more energy in the last 5 days than in the last several years. I not taking it again. Had a blood pressure check today and it was 139/70. Good enough for me?,,F,48,5  years80mg,6/22/2016,Diovan
7, 1, Valsartin _ I hurt all over _ severe,,,,,1  days,6/11/2016,Diovan
8, 2, Had developed a cough with lisinopr,Taking 80 MG Vasartan for 9 days. Insomnia_ hot flashes_ lack of energy_ sinusitis_ mild diarrhea_ anxiety.,Was on lisinopril for over a year and started developing a bad cough. Doctor switched me to VASARTAN (Diovan). First week was okay_ but then started having insomnia_ shortness of breath_ anxiety_ panic feeling_ feeling poorly. GLAD I found this website where others listed their experience with it. Have decided to quit taking it as of yesterday. Will go back to lisinopril if I have to or something else. Will also work on diet and exercise to lose weight.,M,52,9  days80,5/30/2016,Diovan
9, 2, Hypertension,Severe joint and bone pain and muscle pain. Itching and rashes among others,Does not control bp even in combination with verapamil. Poor results,F,74,1  years160 mg,5/19/2016,Diovan
10, 5, Hypertention,Severe itching and eczema periauricular around the nipple,I like it but i think i will stop it because of this itching,F,48,1  years160/12.5,5/13/2016Email,Diovan
11, 3, High Blood Pressure,Sick and feeling emotional,,F,51,1  days160,5/6/2016,Diovan
12, 3, High blood pressure,Extreme depression_ sadness_ impending doom_ crying spells_ insomnia_ joint pain_ light headed_ dizzy_ feeling separate from the real world_ hopelessness.,It does bring my blood pressure down but a high price. .. I'm crying now as I write this I feel sick each and every day I isolate myself from the world.. how could one pill do this to you,F,44,1  months160 mg,5/1/2016Email,Diovan
