,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 3, ,The drug itself worked wonderfully! But putting it through my IV was the absolute WORST HORRIFIC PAIN I HAVE EVER FELT! It felt as if they were putting fire in my arm! My arm felt like it was going to explode! I could tolerate pain I've had two kids and I'm a pretty quiet person... I told the doctor it's burning and it just kept getting worse I ended up screaming and crying begging them to stop! Finally the doctor went to the opposite arm and gave me another injection that did not hurt and put me out.. I have never experienced pain like that in my life.. I did hear the doctor say it was because it was a small vein... I have huge veins.. I'm always told when I take blood how wonderful my veins are this was shocking to hear.... Other then that I remember crying falling asleep and then remember waking up and just so happy it was all over... I'm definitely scared out of my mind to ever be put under for the reason of the burning sensation! It's been 5 days since surgery and I feel Iike I have a Charlie horse in my arm and numbness... And a black & blue nasty bruise..Pain from a 1-10  was 10+++++++,,F,36,1  days,7/13/2016,Diprivan
1, 1, cts,I'm the 60 year old. and to update my last post_ now 62 and have ulcers and scars up and down my arms.  The pain is like shingles for the last 4 years total. Say no to propofol and enjoy your last year's,I've never felt pain like that and I've had cancer_ broken bones_  and more. Worse thing I've ever felt_ scary toooo,F,62,1  days,7/7/2016Email,Diprivan
2, 1, sedation for teeth extraction,Terrible rash all over body_ looked like I had very bad sunburn!Itching worse than I have ever experiencedWill never take again.,,F,72,1  days,5/28/2016,Diprivan
3, 5, S.I. Steroid Injections,No side effects. I was concerned about a hang-over effect like I experience with Valium (dopey for 3 days after only one 5mg tab)_ but I woke up clear headed :-),I'll ask for it instead of Versed (which was an absolute nightmare),F,52,1  times10mg IV,12/17/2015,Diprivan
4, 4, Cardioversion,Very sedated. For 24 hours_ wobbly_ _ woozy for several hours_ still dizzy 24 hours later_ loose bowels,,F,68,1  days 1X D,12/3/2015,Diprivan
5, 1, Colonoscopy,Woke up crying and cried hysterically on and off for a day or two afterwards_ plus I was highly anxious and agitated. I was definitely not myself.,I took Diprivan because I woke up crying in pain during the last part of my first scope under the usual Fentanyl-Versed combo and the procedure could not be completed. Needless to say_ after having nothing but trouble both times_ I will never have another scope for screening purposes.,F,54,1  days,10/12/2015,Diprivan
6, 1, carpal tunnel surgery,Nothing like the doctor said. I wouldn't of went for this ever. I have bad nerve damage on both arms with ulcers for 3 years now and it looks like forever. Have hot spots shocks,Ask your doctor to explain the not remembering the pain you felt when you woke up on the table and he put propofol in . He will be surprised you know they do that to everyone who wakes .jp during surgery and the pain is unbelievable_ first hand experience,F,60,1  days?,10/10/2015,Diprivan
7, 4, Colonoscopy,I was out within 5 seconds of the propofol being injected into the IV. Woke up in recovery extreme tired and zombie like. Slept the majority of the day afterwards_ felt so tired and drained. But now it's been 8 hours since I left the doctors office and I'm experiencing the worst join pain in every joint of both legs and arms.  I feel like I was either running a marathon all day or am getting the flu. The pain is excruiating but other than that no other side effects so I'd say it was a decent experience,,F,23,1  days,9/29/2015Email,Diprivan
8, 1, Colon Screening,Given Diprivan for a colon screening_ within 24 hours had flu like symptoms chills_aches_ fever. Ended up in ER testing my blood and checking my stomach for tenderness.,Dr said take two tylenol to manage the pain and it will wear off,M,53,1  days1XD 1X D,9/18/2015,Diprivan
9, 5, Surgeries_ EGD and colonoscopy,None.,I've had 6 surgeries since 2010-an endometrial ablation_ bone spur removal on both feet which was 2 separate surgeries_ a 2 level ACDF on my cervical spine(major surgery) knee athroscopy for a torn meniscus and bilateral eye muscle surgery and I just recently had a colonoscopy and EGD during two visits to the endoscopy center in the last 2 months. I had propofol for all of those procedures-one minute you're awake_ the next thing  you know you're in recovery and thinking how easy it all went. Propofol is such a wonderful drug.  When I had my epidural steroid injections and my liver biopsy I had fentanyl and versed/ or just versed. I remember both procedures and even though I don't recall any pain I do remember the needle and biopsy needle. Unlike the propofol I have no clear memories of the rest of day for both procedures.,F,54,  1X D,9/3/2015,Diprivan
10, 4, Sedation for colonoscopy,Emotional lability for three days following procedure (crying_ unusual anger_ depression)_ dry throat and cough for one day_ extreme fatigue.,I went out quickly_ was a little groggy in recovery for about 10 minutes and then all effects of the sedation passed. Now that I'm aware of how diprivan affects me_ I wouldn't heistate to use it again despite the emotional side effects.,F,47,1  days 1X D,7/20/2015,Diprivan
11, 1, Colonoscopy,"Disassociation for about 3 days post procedure_ it's happened before_ I informed everyone involved_ I was promised a small dose of fentanyl with versed_ had not consented to gem. Anestesia only twilight which I've had before with zero issues_ my patient rights and civil rights were violated as well_ it's criminal _ I was screaming ""no"" don't give that to me she smiled creepily and pushed it anyway I was out almost mediately woke up disassociated again missing more work_awful!'",,F,51,1  days???,7/2/2015,Diprivan
12, 1, Colonoscopy,Extreme burning and pain in hand and radiating up arm. It got worse and worse and was becoming excruciating. 3-days later my hand and arm still hurt. Woke up with headache. Prickly and itching all over body. Intense pin prick feelings. What is it doing to the rest of your body if it hurt so bad in the arm?,Why is this damaging poison being administered to us and why are we being told it is so great!??? It is not! Is it because it is cheaper than other options? Highly urge avoiding it at all costs!,M,55,1  days 1X D,6/25/2015,Diprivan
13, 1, carpal tunnel surgery,Woke up on table in extreme pain then propofol was injected and the real pain began and up my arm burning like acid. This left me with ulcers up my arms and shoulders that are still covering my left arm for 3 years now.,The doctor's both told me they give us enough dope when that happens and very few remember it. The blood blisters up my arm the next day would of scared me into thinking they operated on the wrong arm and messed it up bad.,F,60,1  days?,6/16/2015,Diprivan
14, 1, I had a Tennis elbow Op.,It felt like Acid being injected into my veins. Felt dizzy for hours after.,I have had a number of Ops before but never ever experienced anything so traumatic. It feels like a combination of acid and fire in your veins. Last only a few seconds but am traumatized for life !!!,M,67,  1X D,6/8/2015Email,Diprivan
15, 5, LEEP,No side affects. Anesthesiologist administered through IV and I told him I had light tingling sensation in my face and then I woke up laughing..relieved..in a good mood. The Nurse told me I was talking about winning the Lottery while I was under...I do not recall saying this...nor do I play the lottery. Overall...good experience.,,F,45,1  days,5/25/2015,Diprivan
16, 1, Colonoscopy,I was told I was coughing during procedure.  Afterward I suffered acute  sinus attack.  My throat was sore and swollen.  Worst of all_ I STILL have laryngitis--5 weeks later.,i will not use again.,F,64,  1X D,4/22/2015,Diprivan
17, 5, general anesthesia for circumcision,This was my first general anesthetic.I was nervous so my main concern was i would be out fast and i was.i didnt expect to have no after effects from it.They hooked up the line_it was warm tho not painful_i had a strange taste_felt momentarily dizzy then woke in recovery room.Didnt have hangover_knew exactly where I was. Its now three days after.Im extremely tired and expected that.Had sore glands in throat-ok now.Was very wheezy for two days however I do have asthma and i had the end of a chest infection on day of op.Had a brief heart flutter last nite_beat fast for few seconds_then fine.Tiredness is on real issue tho hey it beats seeing someone take a scissors to your penis.Now thats another story...,,M,43,1  days,3/21/2015,Diprivan
18, 5, colonoscopy,When injected_ I felt a cool spreading sensation rising within my chest area...rising up like a wave...then felt like I was just letting go into sleep. Woke in chair after procedure in good mood_ no side affects.,Was a strange sensation in chest but not uncomfortable,M,62,1  daysnot sure,2/27/2015Email,Diprivan
19, 2, epidural injection in my lower back,An IV was placed (so I thought) was given propofol but never fell out. I was awake the whole time. When done_ my arm was so painful at the IV site I couldn't move my arm up or down. Lasted 4 days.,I've had diprivan many times before with NO problems. This girl just don't know how to insert IV!,F,55,1  days30cc,2/20/2015Email,Diprivan
20, 5, EGD/ UPPER ENDOSCOPY,As soon as this was injected into my IV_ I could feel myself losing consciousness_in what seemed like slow motion. It probably only took 20 seconds for me to black out_ but I don't like the feeling of losing control. I have had many surgeries and have never experienced this panic with anesthesia. Next time_ I will tell the anesthesiologist to make sure I black out without warning. I don't remember the EGD and that's the important thing. I know I yelled out several times before it worked.,I was already anxious about this procedure_ so maybe I should have been given an anti-anxiety med beforehand. I don't like the feeling of losing control_ and that's how I felt suddenly after being injected. I was also trying to breathe through the bite block and that may have made the anxiety sensation worse. In fact_ every other surgery I've ever had_ the bite block was placed after I was unconscious. I was injected with Robinal beforehand and my mouth was dried out from it. I don't know if this may have had an effect or not.,F,38,1  timesunknown,2/11/2015,Diprivan
21, 4, Upper endoscopy,"I have had  a few operations requiring general anesthesia and also had procedures done where I am breathing on my own (no need for general anesthesia).  I have never had any side effects from any of the drugs given to me during these procedures except for the usual grogginess. But I do confess I tend to get nervous prior to been put out. This time I went in for and EGD. The anesthesiologist told me you should fall asleep in about 20 seconds and might feel a burning sensation on your arm. It felt like the longest 20 seconds in my life.  I closed my eyes and started paying. I did not feel any burning but I did feel when the drug went into my brain and remember thinking_ oh there is goes_ then I felt it again. This time it was a little bit stronger sensation than the first. I remember thinking ""again"". I do not recall anything else.  I had not in my life experienced anything like that before. I was like I felt the drug cross the brain barrier and in two heartbeats get into my br",,F,48,0  daysNA 1X O,11/3/2014Email,Diprivan
22, 1, Colonoscopy,Woke up in recovery with sore throat_hoarseness_coughing...flu like symptoms...a month later voice still raspy...what's wrong with my voice?,,F,65,1  days,10/15/2014Email,Diprivan
23, 1, Colonoscopy,I appeared to wake up fast at first_ but after three days_ I feel like I have the flu_(without the coughing and congestion). I'm very dizzy_ I have absolutely no energy_ very easily agitated and very emotional. NEVER AGAIN!!!!,,F,44,1  daysDon't know,10/6/2014,Diprivan
24, 1, Colonoscopy,I have laryngitis like symptons after having procedure a week ago.  My nose literally dripped for a day_ I am coughing continually_ and I can hardly talk.  My throat feels raw_  and I feel like I have a bad cold.  Dr. said call him if I start to run a fever.  When is this going to go away? And my lower abdomen still hurts_ and I am constipated.  I don't want to do this procedure ever again_ and am now afraid to be anesthitised.,,F,65,1  days,9/27/2014,Diprivan
