,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, IC,Change in taste buds and weightloss.,,F,24,3  weeks300 mg,7/9/2016,Elmiron
1, 5, IC,I haven't really experienced any side effects. About four years ago I had a period of hair thinning_ but I cannot say it was related to Elmiron as there was no change in my dosage or anything.,It was a lifesaver for me. I got my life and career back. Before the diagnosis I was made to feel like I was either imagining my symptoms or making them up. Early treatments were with over filling the bladder and later with DMSO. Both were horrible and not very effective. I do have to avoid soda as it irritates my bladder even with Elmiron.  I only take Elmiron twice a day_ rather than the 3 times it is prescribed_ and that seems to be sufficient. I am wondering about long term effects and hope that I can continue taking it for the rest of my life as I cannot imagine going back to the pain and poor sleep I experienced before finding it.,F,70,20  years100 mg 3X D,4/29/2016,Elmiron
2, 2, For severe intisistial cystitis,I was put on this without any omoprazole to protect my tum_ had severe reflux heart burn and couldn't eat. Then took off_ put on insulations then put bk on pentosan with omoprazole but the damage had been done I've ended up with a hiatus hernia which is up in my chest cavity_ very painful and waiting surgery.Can't believe I was prescribed them knowing that the tum wasn't protected!,Good at the start after the side effects wore off but pls don't take without omoprazole etc,F,,2  years100mg 3day,4/23/2016Email,Elmiron
3, 2, For severe intisistial cystitis,I was put on this without any omoprazole to protect my tum_ had severe reflux heart burn and couldn't eat. Then took off_ put on insulations then put bk on pentosan with omoprazole but the damage had been done I've ended up with a hiatus hernia which is up in my chest cavity_ very painful and waiting surgery.Can't believe I was prescribed them knowing that the tum wasn't protected!,Good at the start after the side effects wore off but pls don't take without omoprazole etc,F,,2  years100mg 3day,4/23/2016Email,Elmiron
4, 1, Doctor recomended for IC,Hair loss_ bad hemorrhage in back of left eye.,Retina doctor advised me not to take elmiron due to hemorrhage in back of left eye. Caused severe floaters & blurred vision. Will take between 2 to 3 months to get my vision back.,F,47,10  days300mg,4/13/2016,Elmiron
5, 1, I C,Shortly after taking Elmiron I started having major hair loss as well as joint pain. Liver test showed my liver enzymes were extremely high so my does was lowered & still high enzymes levels. That was 8 yrs ago & I am still having issues with my liver I have not had a normal liver test result since taking Elmiron.,I know of other people having the same exact issues as myself. I wouldnt recommend it to anyone. Its not worth it I dont care how bad it is its better to have a sick bladder then a sick bladder & liver!,F,38,2  years200mg. 2×,3/26/2016Email,Elmiron
6, 1, I c,Extreme headache and anxiety,,F,40,1  weeks300,3/5/2016,Elmiron
7, 1, IC,Hair loss_ depression_ anxiety_ elevated tryglicerides_ abdominal pain_ and recently_ fatty liver disease_ diabetes_ and sleep apnea,This drug worked well in the beginning but now I'm a 33-year old worried about liver failure! This drug should be taken off the market!! I can no longer take it_ and I'm struggling with the pain everyday,F,33,3  years300mg,2/25/2016Email,Elmiron
8, 4, intersistal cystitis,bloating_ some hair loss,keeps my IC under control_ so well that when I forget to take it because I have no symptoms_ symptoms come right back.,F,63,3  years100 mg 3X D,2/13/2016Email,Elmiron
9, 5, Ic,Bloating,Elm iron is very effective. It gave me great relief from the symptoms of IC. I know it is very expensive but what price should I put on the quality of my life?,F,63,16  years 2X D,2/12/2016,Elmiron
10, 2, IC,High blood pressure (138/95) and steadily increasing resting heart rate according to my fit bit.  I would walk around the block and be doing cardio. Emergency stop on the Elmiron.  Really helped my pain when I took it before.,Took elmiron for years before and it really helped.  I could feel this was starting to help by my heart responded really poorly this time.  I tend to get tachycardia off of tricyclics as well.  I would recommend people give it a try_ and see.,F,33,7  days100mg 3X D,12/31/2015Email,Elmiron
11, 3, ic,Joint pain,I never needed injections or packs of steroids prior to taking elmiron.,F,39,2  years100 mg 3X D,12/28/2015Email,Elmiron
12, 1, IC,Started taking this drug on Thursday morning. Took one tablet in the morning then at night then again Gtiday morning. Mid morning started passing blood. Stopped taking it. Don't trust it.,,M,49,3  days200mg,11/13/2015,Elmiron
13, 1, Interstitial cystitis,Severe abdominal pain_ nausea_ arthritis_ my normal liver (as proven on CT scan at start of Elmiron treatment)_ became fatty liver diseased with my AST and ALT liver enzyme levels in the mid 400's. Within 10 days of stopping Elmiron_ the liver damage stopped and my liver enzymes went back to normal. Within one month_ the arthritis_ stomach pain_ and nausea went away. Hair loss stopped 2 months after stopping Elmiron.,It never helped my IC symptoms anyway.,F,31,1  months300mg,9/24/2015Email,Elmiron
14, 3, IC burning_ frequency,hair loss_ IBS_ gastritis_ feeling low_ bloat,"I open capsules & pour contents on 1"" square of buttered bread. per urologist.",F,60,9  years400 mg/day,7/7/2015Email,Elmiron
15, 5, IC,None noted until today. I  have had no elmiron since Friday_today is Sunday_  due to a delay in mailing on my pharmacy's account. So today I have noted lots of extra heart beats or flutter as my momma use to say. Have had these on very rare occasions but this has been all day and frequent. This is the only thing I can attribute it to_ since there have been no other changes.,Extremely expensive_ ridiculously so.,F,62,10  months100mg. TID,6/14/2015,Elmiron
16, 4, urinary pain ic,Hair loss snd gi. Distress.,Scared of long term usages.,F,56,5  days3oo mg gd,6/10/2015,Elmiron
17, 3, Intercystial cyatitis,Was doing ok on it.  Insomnia _ and severe anxiety has started and depression,It works wonderful doe the cystitis but would rather go through the pain of that than anxiwrty,F,44,9  months400 mg,5/4/2015,Elmiron
18, 5, IC,The only side effect I had was hair loss. I slowly started to try to wean myself off the drug completely this year after 3 yrs on. First 2 a day then 1_ then every other day etc. Now I take Vit e and biotin only . I still have the rx and take it for a day / week here or there if I start to get symptoms .,,F,43,3  years2xd,4/24/2015Email,Elmiron
19, 3, IC,Extreme fatigue_ depression_ itchy skin_ rash,While the medication has worked well for my IC (having seen results in about 2 weeks); I've come to the conclusion that I rather have bladder issues than be depressed and tired. Hopefully_ there is some other medication that can help me with my IC other than Elmiron,F,40,1  months100mg 2X D,3/27/2015,Elmiron
20, 1, interstitial cystitis,This medication gave me Crohn's Disease,There is nothing in the literature that I have read that alerts patients of the possibility of acquiring Crohn's Disease. Now I have this awful disease that I will have to deal with for the rest of my life. It affects me on a daily basis and has the potential to be deadly. I would rather put up with the pain from the Interstitial Cystitis than deal with the effects of Crohn's Disease. Now I have to deal with both.,F,52,2  years200mg 2X D,3/5/2015Email,Elmiron
21, 4, IC,None initially but I have developed significant health problems over the past 10 years that I now suspect are due to this drug. I took 300mg/day when I started for horrible pelvic pain_ bladder spasm_ frequency of 20-50 trips to the bathroom per day to pee. It took about 3 months for improvement with few side effects_ it gave me my life back. I also began taking 75mg of Elavil per day and the combo worked well. I had two lower GI Bleeds prior and this was likely due to Accutane I was taking at the time. I now have a lot of symptoms_ I think are due to Elmiron but I am scared to death of the IC - which had me on disability unable to do anything - getting worse again.,I now have: abnormal bone growth (coccyx and spine_ pelvis causing bilateral hip impingement) pathologic fracture tailbone_ progressive scaring/clouding of corneas_ intermittent blurred vision_ profound sensurineural hearing loss in one ear with tinnitus (happened last year suddenly) I now need hearing aids and can only hear in certain environments. I began to suffer from severe hemiplegic migraine with aura_ skin rash - face and body_ joint pain_ elevated CRP and SED Rate_ I have gained 50lbs and look swollen_ my face shape has changed_I have had cerebellar dysfunction_ changes in nails &skin_ rectal intussuption_ numbness in thigh_ numbness and tingling in feet and one hand_ enlarged lymph nodes and salivary glands and so on. Recent research leads me to believe Elmiron may be causing a build up of GAG ( glycosaminoglycans ) in healthy tissue causing similar symptoms as those who suffer Lysosomal storage disease due to genetic mutations where they lack the enzymes needed to break down GAG's so they don't build up. Recent rat studies with Elmiron showed this phenomena_ including significant GAG in the tissue of the rectum (we all seem to report GI issues)_ clouding of corneas_ heart valve issues and more. I am still researching but have a feeling Elmiron has the capacity to cause this build up and create a non-genetic lysosomal storage disease. This needs to be investigated further. I have yet to mention my lysosomal storage theory to a doctor_I just discovered the resea,F,39,19  years100 mg 1X D,2/28/2015Email,Elmiron
22, 1, interstitial cystitis,explosive diarrhea_ bloody stools_ anixiety_ depression_ high choloesterol_ insomnia_ lymphyicitic colitis_ neuralgia,After going through two urologists and then being placed on Elmiron by the third_ I thought that Elmiron was a life-saver. I would tell myself_ thank god for Elmiron; ignoring the horrible side effects_ constant search for a bathroom_ and made to see a gastroenterologist every 3 months.  Year 7 I started to feel horrible.  Problems sleeping_ depression_ anxiety_ significant weight loss and then a horrible pain in left lower quadrant. Expensive medical tests_ and diagnosed with lymphacitic colitis.  I went off of Elmiron in December of 2003_ I was put on by a mental health professional low dose of effexor_ and eleavil.  Later a pain specialist added gabapentin and it has helped reduce the pain of i.c. Now that I am in menopause_ I notice some flares.  I just talked to a gastroenterologist that told me that Elmiron does cause lymphocytic colitis!,F,51,7  years100 3X D,2/24/2015,Elmiron
23, 1, IC,I lost all feeling in my left arm. Nausea all day long.Didnt feel like myself.,It should be taken off the market.,F,51,5  days100mg,2/16/2015,Elmiron
