,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 3, Hysterectomy,Pain under left breast shortness of breath and lower back pain. And high blood pressure,At first it worked great no side effect no hot flashes and for the past 2 months have been horrible... Did all kind of test ecogram ultrasound of my heart stress test name it and then finally I put it together it's the estadol and after reading comments I kno its the estadol.... My primary care doctor said your health,F,42,2  years5mg,7/4/2016Email,Estradiol
1, 5, Mood swings_ vaginal dryness _hot flash,None  of any significance,Saved my life_ job_ marriage. Taking with progesterone. Mood swings gone! No hot flashes anymore. Everything is better.,F,55,3  months1mg 1X D,6/29/2016,Estradiol
2, 2, hot flashes and disequilibrium,abdominal pain_ headaches_ worse hot flushes,It did help with my disequilibrium problem_ but not worth it to be constantly in pain under my right ribs; am now weaning myself off it but wish I could come off faster without risking major hot flushes.  I'm on the Estradot patch.,F,45,2  months50mcg 2X W,5/18/2016Email,Estradiol
3, 3, Hysterectomy,Extremely tired _ wanted to sleep all the time and experienced. Joint pain,,F,49,1  days2mg,4/29/2016,Estradiol
4, 5, for hormonal issues,,,,,1  days,4/1/2016,Estradiol
5, 1, HRT after hysterectomy,MIGRAINES_ hot to cold flashes_night sweats_rage_depression_emotional rollercoaster_pain in joints and back_sharp shooting pelvic pain_foggy head_memory problems_constant food cravings,I had been on PREMARIN 1.25 until my insurance company decided to switch to ESTRADIOL thus forcing me to change. I had been on ESTRADIOL at the very beginning of my hysterectomy and had problems with it then_that being the reason I was put on PREMARIN.After 14yrs of PROBLEM FREE HRT_I have been forced back on ESTRADIOL and the problems are the same if not worse. I started getting a migraine 3 days in and have been having them on and off with a constant headache in between since. my mind is foggy all the time_I'm always from one extreme emotion to the other_and the constant hot to freezing  flashes and sweats is enough to drive someone insane_not to mention the never ending food cravings! I will NEVER recommend this drug to anyone_much less anyone who is switching from PREMARIN for what ever reason!,F,42,3  weeks1MG 1X D,3/26/2016Email,Estradiol
6, 4, sweating_  v-dryness_  mood swings,no side effects,relaxed my nerves;works for me. did not want take so happy i did. my mood improved_ enjoy sex with hubby again_ no hot flashes/sweating while its cold outside.,F,44,7  days1 mg,3/1/2016,Estradiol
7, 1, severe nightsweats_ hotflashes,I never have headaches_ however as soon as I put the patch on I developed a headache. I had shortness of breath and nasal congestion which I attribute to fluid retention. So that is very uncomfortable. I am athletic and I had gained weight prior to taking the patch and I am certain that if I keep this patch on for the month I will have 30 lbs to take off. My hot flashes and night sweats have not diminished and the worst side effect which I felt immediately was an apathetic mood... depression ( bitchy) absolutely horrible! I take antidepressants and I believe this patch cancelled out their beneficial effects.,Basically I have a lot of really bad side effect and no benefits _ so I am not happy. I couldn't wait for a week. I ripped the thing off last night. I will find other ways to deal with this. I am scheduled for blood tests and I had her check off basically everything! Cortisol   is something I believe that is having a negative effect on my hot flashes and night sweats just due to the timing of cortisol release in the blood stream.,F,49,6  days.025,2/4/2016,Estradiol
8, 4, menopause symptoms,A bit tired initially. .but wonderful  next day.  I take alternately. Every second day. No more flashes ..and feeling normal.again,,,53,1  days.05,9/6/2015,Estradiol
9, 1, Mild Menopause Symptoms.Memory loss,Do not recommend this for anyone that is sensitive to drugs.  I did not go in to doctor with any vaginal dryness_ I only had mild menopause symptoms.  My uterus felt like it swelled_ felt like I might have a yeast infection_ which I didn't.  Nausea and belly was hard_ but I was not constipated.  Doctor gave prescription for 1 pill just in case I did get yeast infection from the Estradiol_ but that didn't really help.  Then I started to get lower back pain and cramps off an on.  I haven't had any symptoms like this for YEARS!  Why did I start taking this?  This was only after use for one week!  Two weeks later and I am not completely better!  I went to another doctor they said be very careful when doing Estradiol cream!!!,,F,51,7  days1mg 2X D,10/25/2014Email,Estradiol
10, 1, HRT 41yrs old complete hysterectomy,Extreme hair loss & weight gain help need something else ! Premarin 2mg makes me a big Bword !,,F,41,4  months1 1/2 pill,9/29/2014Email,Estradiol
11, 1, HRT,Took Premarin for 30 years. Insurance stopped covering. Insurance suggested I switch to Estradiol_ which was equivalent. NOT TRUE. Had No side effects with Premarin. With Estradiol_ I have severe joint pains_ am lethargic_ ache all over_ excessively hungry_ feel fat/blotted_ am having continual hot flashes.,,F,69,30  days1mg 1X D,9/6/2014Email,Estradiol
12, 1, Vaginal dryness from menopause,Severe bloating_ pain in my abdomen_ weight gain_ water retention_ dry eyes_ and muscle pain.,My gyn told me to use the Estrace Cream internally.  I took two doses.  The first dose I took on a Tuesday_ the 2nd on Thursday.  By Saturday_ my abdomen felt like I had a belt on that was way too tight.  I couldn't get my pants to button that are usually plenty big on me.  My hands were so swollen that I couldn't get my rings on without effort.  I visited my primary care dr on Monday and told him what was going on.  He said that the does was way too high and just to use a tiny bit topically and not to use the plunger.  He said that once the estrogen levels start dropping the symptoms should go away.  The swelling in my abdomen and fingers have gone down_ but my eyes were so dry last night that they were throbbing.  I woke up this morning with severe muscle and joint pain and can't turn my head.  Hopefully_ in a couple of days_ things will level out again.  Amazing what fluctuating hormones can do to our bodies.,F,53,2  days2 mg 3X W,3/5/2014Email,Estradiol
