,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, High BP,Severe allergic reaction - Throat swelled shut and was hospitalized. Extreme upset stomach_ dizziness and flu like symptoms.Never though it was my med as I was taking Cozaar before and I was fine.,This drug should come with a big warning label!,F,43,3  months100mg 12.5,3/4/2016Email,Hyzaar
1, 1, High Blood Pressure,Increased blood sugar_ headaches_ extreme chest congestion_ loss of voice_ coughing_ constant fatigue_ mental cloudiness_ irritability_ malaise_ I just don't feel myself_ horrible stomach aches_ disruption of normal bowel habits and unbelievable dehydration,I have not had blood sugar problems until I started taking this horrible medication.  I have a family history of diabetes so I have the dr check my A1C once a year.  My A1C prior to going on Hyzaar was 4.0.  My A1C after being on Hyzaar for 6 months was 8.5.  I feel this med has caused diabetes and I hope a class action law suit gets fired up for this drug and I want to be a part of it.  I am also so dehydrated it is crazy.  I drink 5-6 bottles of water a day and I drink Smart Water so I am getting 23.7 oz per bottle.  There is no reason I should be as dehydrated as I am.,F,38,9  months12.5/50 1X D,2/12/2016Email,Hyzaar
2, 1, hypertension,Constipation fatigue joint pain,Years ago have a intestinal blockage living with life style change,F,30,4  days30,1/10/2016Email,Hyzaar
3, 1, hypertension,Extreme dizziness_ headaches_ nausea_ anxiety_ dry eyes_ joint pain_ leg and back pain_ insomnia_ ringing ears_ congestion_ coughing_ palpitations,,M,43,3  years50mg,10/23/2015,Hyzaar
4, 1, High blood pressure,extreme lung congestion,l had constant congestion & extreme mucus build-up that got worse over the years. The Hyzaar did not lower my bp under 150/80 at best. I was put on an additional bp medication. At that time I took myself off Hyzaar & I immediately started to improve. But I've had lung problems ever since.,F,69,10  years100 mg,8/2/2015Email,Hyzaar
5, 1, High blood pressure,Terrible heart palpitations dizzy lightheaded I have no energy and just feeling sick and nauseous all the time and just not myself I have to push myself to do anything,It did lower my blood pressure but too low a lot of the times 85/52 more side effects then I want to deal with Im stopping this drug today I'm miserable and don't feel like myself anymore doctor will have to put me on something else I refuse to take this anymore!! I'm done!! I can't deal with this just called and made an appointment,F,55,2  weeks50mg,5/28/2015Email,Hyzaar
6, 1, high blood pressure,Hair loss_ weight loss_ weakness_ unable to have a bm_ have to take a laxative now. Overall it make me feel terrible. I don't feel like myself anymore. I can't wait to go to my heart doctor to tell him that_ i don't want to take this medication ever again. In my opinion. This medication shouldn't be prescribed for anyone. It should be taken off the market. ,,F,60,3  years100mg,4/18/2015Email,Hyzaar
7, 2, Hypertension,Tired dizziness tightness on my left side numbness in both arm heart palpation weak feeling etc..,It really suck,M,35,2  years150/12.5,4/7/2015Email,Hyzaar
8, 3, Hypertension,Joint pain_ dehydration_ severe constipation_ ears ringing_ and unable to concentrate,My blood pressure was extremely high 13 years ago_ and this medicine regulated it_ so I attribute saving my life to this medicine.  However_ after years of taking it_ I now see symptoms that have crept up on me_ and I must now address those. I am unable to think critically_ I am prone to falling_ my joints are painful_ and I must take a laxative in order to have a bm.  Last year_ I had a VSG and have lost over 60 pounds this far.  My blood pressure is actually a bit low now_ so I plan to cut my dosage in half for awhile and hopefully_ I can effectively wean myself off of this drug.,F,48,1  days100/12.5,3/28/2015,Hyzaar
9, 1, High Blood Pressure from SLE lupus,Put on Losartan hct Genetic due to SLE lupus induced HBP that old med Inderol was not controlling. Experienced severe Exhaustion. Today trembling_ especially in hands. Woozy weakness in legs_ nearly fell. Severe knotted cramps in feet_ over and over for nearly an hour. Spread to sharp stinging shooting pain and cramps in calves. Then spread up to butt. Also same in back_ spread to arms. Then to neck and head. Sharp stinging pain and cramps_ tightness around head like giant rubber band. If it spreads to chest_ I'm going to the ER. All this in just 2 days. Am mad it was prescribed! Dangerous drug!,Read pamphlet while talking on the phone with Pharmacist short time ago. It suggests caution before prescribing to a patient with SLE lupus_ Athsma_ lung issues (I tend to get Pneumonia easily)_ and prior Kidney and Liver issues_ and joint issues (I have Osteo_ and Arthritis_ beyond the lupus joint problems). Am furious it was prescribed to me when it obviously should not have been!,F,58,2  days50-12.5,3/20/2015,Hyzaar
10, 1, blood pressure,Bad stomach ache..sore muscles..dizziness...boating....bad bad medication...on it for more than year ..... Reported it reported to my Dr.until I refuse to take any more.,,F,66,10  days50mg,3/16/2015Email,Hyzaar
11, 1, high blood pressure,Dizziness not sleeping can not eat.headache.i fill crazy,,F,40,1  years100/25,2/20/2015Email,Hyzaar
12, 1, hypertension,Blood pressure lowered too much eg_ 101/65_ dizziness_ loss of concentration and memory_ hair loss_ right shoulder pain_ neck pain_ frequent urination_ high thirst_ heart flutters_ sweating. Finally realized that it is the medication that is making me depressed and suffering from anxiety. It has nearly ruined my life. Should be taken off the market!!!!,,F,62,7  years50/12.5 1X D,10/2/2014,Hyzaar
13, 1, High blood pressure,dizziness_ nausea_ dry mouth_ flushing_ bloody diarrhea,The side effects became so bad that I ended up at urgent care.,F,64,37  days50 mg 1X D,9/28/2014,Hyzaar
14, 1, High Blood Pressure,Weight Gain_ Ankle Swelling _ Fatigue_ Weekly Painful Bouts of Diarrhea_ Elevated Blood Sugar_ Elevated Liver Enzymes,Doctor said to continue despite all issues. Switched to a different doctor and was taken off Hyzaar. Finally losing weight! All symptoms have subsided. My health gradually declined over the 10 years I was on this. I never tied it to Hyzaar until I started reading about others having the same issues.,F,52,10  years100/25 1X D,5/16/2014,Hyzaar
15, 1, blood pressure,Weight Gain_ anxiety_ hair loss_ low energy_ hypertension_ weak muscles_ extreme fatigue_ etc.,After reading other reviews on this site_ I immediately took myself off this 'bad' drug. I'm taking the natural way to better health. Better eating habits_ walking_  OMEGA 3 (fish oil)_ and 500 mg of MAGNESIUM  to lower blood pressure. Please read about magnesium benefits. Most people don't get enough. And_ don't let a doctor control the quality of your life. Be informed!,F,62,3  years25mg 1X D,5/12/2014,Hyzaar
