,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Migraines,Hasn't had any effect in preventing migraines. I'm so thirsty but feel so bloated I feel sick just thinking about drinking. Also_ my nausea has intensified_ my head nods for no apparent reason_ my body rocks backwards and forwards_ vomit has been more acidic_ difficulty sleeping_ when I do sleep I wake up suddenly as if someone is breaking into the house.,I wish I hadn't started taking it_ I would advise not to use,M,38,10  days40 2X D,4/2/2015,Inderal la
1, 4, Migraine prevention chronic,Extreme fatigue_ insomnia_ depression_ apathy. Did great job in controlling chronic daily migraine. Was having greater then 15Per mon now maybe 1 per week less servere. At times cold hands and feet. Best control of migraine in 20 years. Hoping side affects get better. Also hair loss even onInitial dose of 60 mg LA. Will try to decrease Dose down To 120 LA to see if less side effects. Also weight gain. Trying to see if can stick it out longer to see if I can break migraine cycle. Also nausea and anorexia. Just forget to eat at times due to not being hungrey. ,,F,63,1  days160 LA,2/12/2015,Inderal la
2, 4, migraines,I took this for migraines and later found it helped with palpitations_ too.  I didn't realize this caused dehydration - until I saw reviews - which I've had almost as long as I've taken this drug.  I worried it might be diabetes_ which tests always came up negative.  My doctor never suggested it was the Inderal.  Hmm.  The other side effect is impotence_ total lack of interest_ which really didn't start until my early 50's.,It definitely helped my migraines_ which were severe.  The last 10 years_ I've only had 2 when I missed a dose of Inderal.,F,63,22  years60 mg. 1X D,12/12/2014,Inderal la
3, 2, in the morning,Alright in the morning but sick at night,,M,32,4  days80,6/19/2014,Inderal la
4, 5, High blood pressure & headaches,I do not have any side effects_  maybe vivid dreams_  though.  Satisfied with this medicine.  Took away headaches and lowered BP.,,F,54,2  years80mg,5/29/2014,Inderal la
5, 1, Headaches,Headaches every day_ anxious_ tired as not sleeping more than 4 hours a night. Weight gain.,,F,34,1  months60 MG,3/13/2014,Inderal la
6, 3, Migraine,Weight gain_ insomnia_ dreams_ tiredness_ dizzy spells_ lack of concentration.,I think it has helped in the fact that most times pain killers will now have some effect on my migraine where they were having none_ but I now cannot sleep at all without sleeping tablets. I still have chronic migraine everyday of my life so I am now considering not taking it anymore as the weight gain is so depressing. I am going to look for another solution_ the side effects are just too high a price to pay for the minimal benefit.,F,55,365  days80mg 1X D,9/26/2013Email,Inderal la
7, 3, Migraines,Excessive weight gain_ fatigue_ dizziness_ feeling feint_ pins and needles in hands,In the two years I have taken Inderal I have gained 3 stone.  I have tried every diet and I excercise a lot.  The weight gain has really got me down because I was always skinny before this even after having a child.  I was diagnosed with acute migraines by a neurologist and put on the tablets and I have not had an aura migraine since_ however_ I have had a lot of migraines where I am sick and see wavy lines regularly.  No doctor seemed to want to admit that inderal was the cause for the weight gain but finally I saw one last week who is going to prescribe me an alternative. The fatigue is also a nightmare if you lead a busy life.  I would advise anyone who is thinking about taking these tablets to take the side effects into account as they really have made my life miserable and it has taken me nearly a year to get a doctor to listen to me!,F,26,2  days80 1X D,10/14/2012Email,Inderal la
8, 4, Migraine prevention,none really,helped reduce the frequency of my migraines. also helped with physical symptoms of anxiety.,F,25,3  months120 mg 1X D,9/29/2012,Inderal la
9, 3, Inappropriate Sinus Tachycardia,I did not notice it initially_ but looking back_ this drug has made it impossible to lose weight.,I used to take this for migraine headaches from the age of 5 to 17 when they calmed down.  Then in my late 20's I was diagnosed with Inappropriate Sinus Tachycardia.  I started the drug to slow my heart down so it wasn't always racing.  I learned that it is a non-selective beta blocker and inhibits the ability for you to burn fat.  I gained 30 pounds and I can't even lose 10 on this drug. I tried every diet and I have NEVER been overweight.  I asked my cardiologist to take me off it.  I am now weaning off at half the dosage.  Hopefully the heart rate issue is gone_ because I have tried everything to lose weight.  I eat healthy_ work out 6 days a week for an hour and the weight should be coming off. I'm only 30 years old!,F,30,3  years80 1X D,9/13/2012Email,Inderal la
