,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, Depression,Tried to stop taking for awhile and the side effects were really horrible...felt like electric shocks going through my body and i had low energy for 2months Soo..I started back with my dosage and I felt 100%,Lexapro helps me function on a daily bases...I cannot live without it...no side effects only when I stop taking my dose,F,50,3  years10mg,8/10/2016Email,Lexapro
1, 3, Depression and anxiety,Insomnia_ aniexity attack _ dilated pupils _ glassy eyes _ sleeping all day_ nausea _ crying episodes,Cutting my starting dose from 10 mg down to 5 mg taking it in morning instead of night if I continue on I will wean off I was on this meds years ago and did very well .. I was put on other SSRI that didn't help I'm starting fresh on generic Lexapro,F,56,6  days10mg,7/29/2016Email,Lexapro
2, 3, For depression and anxiety,Jittery and nervous taking 20mil,How long does this last?,F,68,7  days20,7/26/2016Email,Lexapro
3, 2, Major Depressive Disorder,Decreased libido and emotional numbness,All antidepressants can affect libido_ but Lexapro killed the little bit of sex drive I had left.  The biggest issue_ though_ is that it's made me totally numb_ emotionally.  I don't feel sad_ but I don't feel anger_ empathy_ or love either.  I just feel empty.  I'm so done with this medicine.,F,37,2  months30mg 1X D,7/11/2016Email,Lexapro
4, 1, GAD,dizzy_ headache_ felt in a fog_ agitated_ nausea,My GAD hasn't been terrible over the years.  Overall I handled it without requiring drugs.  Infrequently took .25 alprazolam for tougher events.  Having a particularly rough year with many stressful events occurring at the same time.  Saw my doctor about this and the increased anxiety and he suggested I try Lexapro (alprazolam OK as needed).  So I haven't had such a difficult time with anxiety under normal circumstances over the years.  Felt so terrible with only two days of Lexapro (way worse than any anxiety I've felt) that I knew that it wasn't for me.  I stopped taking it and will try to manage without drugs.... step up exercise... try meditation/relaxation techniques.,F,63,2  days10 1X D,7/10/2016,Lexapro
5, 1, depression,Reduced cognition_ fatigue_ addiction,The med was okay until side effects had negative impacts and it was extremely difficult to get off of.  After becoming addicted to a second Lundbeck med I refuse to ever use one of its products gain.  It might be worth use by others but it is very hard to stop taking it; not a plus.,M,50,1  years60 1X D,7/4/2016Email,Lexapro
6, 1, depression,Burning eyes_ burning stomache_ laziness_ crying spells etc. Ive been so paranoid Im having a stroke or heart attack ive been wating aspirin and drinking olive oil. After reading these reviews I now see what it going on. GENERIC...poison!!! Ive taken the brand before and it worked fine. Sick of theses high healthcare cost with cheap a.. medicine!!,Cheaper generics just keep being prescribed to us...they are not equivalent. Quit selling us junk,F,42,1  months10mg,7/2/2016Email,Lexapro
7, 5, IBS_anxiety_stress_light depression,The only problem with this medicine is makes me a bit tired_but I swear this side effect I can deal with any day rather than to be like crazy. It is very goooood.,Amazing pills.,M,29,2  months10 mg,6/25/2016,Lexapro
8, 2, fibromyalgia and anxiety,fatigue_ drowsiness_ fogginess of the mind_ laziness!,It just made me want to sleep. It completely zapped me of energy. It was very effective for the fibromyalgia pain and anxiety_ but I had to get off of it so that I could actually function at being a mother with a full-time job. All I wanted to do was take naps. Not good.,F,45,10  months20 mg 1X D,6/12/2016,Lexapro
9, 5, Anxiety_ panic attacks_ OCD,Slight nausea the first week (transition period),Really helped me. I had chronic anxiety and would have panic attacks_ random crying spells_ migraines from the stress and vomiting due to the anxiety. Pretty much since taking this pill I noticed a HUGE improvement in my daily life. I still have worries but it is about normal things. I rarely get migraines now_ nor have I vomited from stress in months. I also sleep way better at night. I haven't had any side effects apart from the first week.,F,22,6  months10mg 1x D,6/4/2016,Lexapro
10, 1, Depression_ Anxiety,"My sex drive went into the drain. I no longer felt emotions. it helped me not ""Feel"" Depressed but it also helped me not feel fucking anything. completely tanked my ability to think critically about myself and actually develop and grow as an adult",If you are prescribed Lexapro you are better off not taking f**ing anything at all. which i am doing. and my life is 1000x for the better. i've been off for 1 year now and i've learnt to naturally cope with my depresssion. I started this sh** drug when I was 11.,F,21,10  years50-70 1X D,5/15/2016Email,Lexapro
11, 2, Anxiety and OCD,Leaves me restless at night_ and made me nauseous for the the first few weeks,I've been on it for over a year_ increasing from 5 mg t0 20 mg (I've been at 20 for about 6 months) and it has yet to do ANYTHING! Might work better for less severe anxiety/OCD but hasn't done anything to relieve me of my panic attacks or ritualism.,F,16,1  years20 mg 1X D,5/13/2016Email,Lexapro
12, 1, Anxiety and Panic Attacks,Hearing things_  weak_ anxiety_ panic attack_ general malaise,I took Lexapro right before bed at 10pm. Woke up at 3am in the middle of a panic attack. Have never had a panic attack at night before. I've never had a night terror before. My aunt had to calm me down. I was hearing things like ppl walking or jingling keys and no one was awake. Got up this morning to go to the restroom and felt really off balance. I don't think I can do this pill.,F,33,1  days10mg,4/28/2016Email,Lexapro
13, 5, Bipolar type 2,Nausea (particularly in the 3hr period after taking the dose)HeadspinsTiredness (10+ hours of sleep a night is not enough),Feel so much better within myself. The side effects do suck_ but worth it to be 'normal'.Started on 5mg_ went up to 20mg at one point_ but now happily sitting at 10mg.,F,32,3  years10MG 1X D,4/27/2016,Lexapro
14, 5, Depression_ Anxity,Been a great help_ way better than anything else I tried.,,F,57,3  years10mg 1X D,4/18/2016Email,Lexapro
15, 4, Depression,Nausea that got better with time_ but still had waves of it every few days.After 22 mo I developed horrible acid reflux and cough.Dry mouth and throatBlood sugar higher with diabetes and slight weight gain (5 lbs)Problem achieving orgasm,Aside from the nausea this was a great drug for the first 20 months. It took a long time to figure out what was causing the horrible acid reflux that come on suddenly and cough_ but I'm convinced it's a side effect of the Lexapro. It's a great drug for short term As in a year_ but I would be cognizant of side effects.,F,56,22  months5 mg 1X D,4/17/2016,Lexapro
16, 5, anxiety panic attacks,decrease sex drive slightly elevated afp (9) and tsh(6),,M,43,4  years10 1X D,4/14/2016,Lexapro
17, 2, To treat depression,I had vivid dreams that I could not distinguish from realitity and memory. I had to use logic to come to understand that these dreams Did not happen. This is a side effect my therapist didn't even know was possible. It meant I wasted a lot of time looking for things that didn't exist. But the worse episode for me was when I had a dream that my younger brother had been dead for a decade. I was alone in my dorm room at the time and so it took me an hour to realize he was still alive.Also_ the medication only has an affect on my mood if I am taking caffine as well. This was an accidental discovery for me as I have worried I am caffine sensitive like both my parents are.,,,19,5  months5mg - 20mg,4/6/2016Email,Lexapro
18, 4, ,,,,,1  days10,4/4/2016,Lexapro
19, 5, Panic attacks,Initially had insomnia_ loss of appetite_ increased anxiety.,Having great success with escitalopram for panic and anxiety!  My symtoms have improved tremendously in the past few months after panic attacks had started to ruin my life. I sought help quickly because I recognized I needed it. Have never taken meds before and was quite scared...but was more afraid of the anxiety! First 10 days were difficult with increased anxiety_ insomnia and loss of appetite.  Thereafter_ I noticed subtle improvements each day_ and now at 3 months I feel normal again....sleeping and eating well with no anxiety!,F,53,3  months10 mg.,4/3/2016,Lexapro
20, 3, Anxiety,Foggy head_ insomnia_ headache_ EXTREME JITTERYNESS,I look like I'm going through crack withdrawal!  I can't stop shaking my leg and cannot think.  I'm only on day three but I'm having second thoughts.  Not sure yet about sex drive.  Day one I had stomach upset with some diarrhea and then I started to shake my leg pretty bad.  Day two still pretty bad leg shaking_ foggy-head_ and slight headache and bad insomnia.  Day three_ really foggy-headed_ cannot concentrate_ still shaking dang leg_ poor appetite_ and bad insomnia.  Going to keep on going for a while and see if it stops.  I read the reviews and most people seem to say the same thing - just stick to it.  So we'll see.,F,38,3  days10 1X D,3/11/2016Email,Lexapro
21, 4, Depression,My anxiety has increased. a little bit of insomnia_ some constipation.,A lot better than Prozac and Zoloft. I'm going to wait another week to see if the side effects go away.,F,21,3  weeks10 1X D,3/6/2016Email,Lexapro
22, 4, Depression,My anxiety has increased. a little bit of insomnia_ some constipation.,A lot better than Prozac and Zoloft. I'm going to wait another week to see if the side effects go away.,F,21,3  weeks10 1X D,3/6/2016Email,Lexapro
