,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Chronic sinusitis,Extreme suicidal thoughts. After reading this for 3 days I had severe suicidal fantasies and stopped taking it. I refuse to ever take it again.,I took this for 3 days_ suicidal ideation began on day 2 of taking it_ and took about 2 days after I stopped taking it for the side effects to go away.,F,23,3  days,8/16/2016,Medrol
1, 1, Back and hip pain,On the 2nd day of the dose pack I experienced horrible headache_vomiting_weakness_ shakes_ no appetite  and could not get out of bed.,stopped taking it on day 2 - took another two days to get out of my system,F,57,2  daysdose pack,8/2/2016,Medrol
2, 1, Herniated discs,My face broke out really red and was burning for 2 weeks...my hormones became out of balance and I had hot flashes really bad with increased sweating......it made my period late 2 weeks....it has been 8 weeks since I stopped taking medrol and I have been having continuous side effects that I have never had before.....missed periods_ severe anxiety_ blood sugar fluctuations_ depression_ sweating and a severely bloated stomach....,,F,,1  days,6/29/2016Email,Medrol
3, 5, Severe allergies_ eczema on palms,None,all itchiness vanishes/cured!,F,60,1  weeks4 MG 1X D,6/23/2016,Medrol
4, 5, Severe scoliosis,A little sleeplessness and overall depressed feeling.,I take a medrol dosepak when the pain from my scoliosis is too much to handle. I wish it wasn't so bad for you_ because it works better than any narcotic pain meds_ which I have to take daily. Without medrol I would spend at least a few weeks every year in bed_ missing out on life. After the six day pack I feel like a teenager. No pain anywhere. ,F,40,6  days4mg taper,6/20/2016Email,Medrol
5, 1, Allergic reaction,Insomnia_ anxiety and GI upset.,Took it for one day and was not able to sleep at all. Felt super anxious and was not willing to see what day 2 was to be like.,F,26,1  days,6/14/2016,Medrol
6, 5, Serenoma,No sleep,,F,56,3  monthsYes,6/13/2016Email,Medrol
7, 3, Viral Rash,Nearly Instant: DEPRESSION/MOOD SWINGSDay 2: Indigestion_ stomach crampsDay 3-7: Frequent BM - NOT diarrhea. Fatigue. Change in taste perception (things tasted salty). General malaise. Down moodDay 7-14+ : GI upset lingering,I wasn't ready for the depression and mood swings. I took two in the late morning since I started work late that day. By the time I got at work_ I was a brooding_ depressed mess. I ended up getting sent home bc my supervisor noticed that something wasn't right with me. I was hostile_ absolutely exhausted_ didn't want to be consoled_ touched_ talked to_ anything. By day 3 the depression was in a manageable state but the gastrointestinal side effects were in full force. I was being woken up in the the middle of the night for very small bowel movements (solid_ not diarrhea) _ and the second I left the bathroom and got back to my bed I had the urge to do it again. This continued throughout the day and was very hard to manage at work but I noticed some days were worse than others. I would say at its peak I had about 10 bowel movements a day while on medrol. Pepto and tums do nothing_ the only symptomatic relief I found from this is Gaviscon antacid (containing aluminum/magnesium). These symptoms lasted 5 days AFTER I was done with my dosepack.Be VERY careful taking this_ especially the first couple doses_ if you have never taken it before and have a history of mental illness/depression. Seriously. I have had bouts with depression in my past but I was totally caught offguard by how quickly and intense those feelings came back after taking my first dose. In hindsight_ was NOT worth the side effects for the small benefit it had on my rash.,M,23,7  days4MG 1X D,5/29/2016,Medrol
8, 1, Shoulder pain,Racing heart_ anxiety_ severe muscle pain like being stabbed_ hot flashes_ trouble sleeping_ shaking_ head ache_ increase appetite,It's been nearly 3 weeks after taking this and symptoms have improved still have muscle weakness and anxiety and missed period. How long can these side effects last,F,29,6  days,5/11/2016Email,Medrol
9, 1, sore throat_ ears hurt_ bronchitis,This is the second time that this has happened after taking my full pak. The skin on my upper body and tops of thighs are sore to the touch. Then I got shingles twice. NEVER TAKING THIS MED AGSIN EVER.,,F,52,1  weeks4 MG,4/29/2016Email,Medrol
