,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 3, Colonoscopy Prep,WHY does it taste SALTY?  And it is somehow a thick or slimy sensation going down.  I have zero gag reflex issues and I never vomit but this stuff gagged me and made me wretch.  Half of this concoction may be realistic_ but the entire JUG? My gut bloated and burgled and it made me belch long before it started clearing me out.   And what is this FLAVOR PACKET others mentioned? My jug said lemon lime on it. I got no flavor packet or choice of flavor. I tried putting Apple flavor mio drops in it. That's the only way I have gotten 2/3 down. It's 1 a.m and I doubt I will get any sleep tonight.,Someone PLEASE come up with something that isn't salty!!,F,50,1  daysHuge Jug,5/17/2016,Nulytely
1, 3, Colonoscopy prep.,Tastes disgusting. I thought I was going to throw up.,,F,46,1  days,4/27/2016,Nulytely
2, 1, Colon surgery,This is my first time taking this; I have used miralax in the past for colonoscopies and have not had any problems. I began taking nulytely at noon and it is now 4:34pm and nothing. It tastes awful; have a headache and cramping. I haven't had anything to eat for 2 days,,F,45,1  days,3/29/2016,Nulytely
3, 5, colonoscopy prep,Bloating_ feeling full_ shivering.,"I mixed mine with lemonade drink mix.  I Was told to drink 8oz every 10 min....I did 8oz every 15 or so to try and ward off possible nausea.  Got very bloated feeling until it ""kicked in"" (about an hour and a half in).  I opted to go on a low residue diet for 3 days before prep so I became cleared out pretty quick...only my first bathroom trip had solid matter.  Worst part of it for me is still having the rest to finish and the shivering like I'm cold.  To anyone who is facing this prep keep a positive attitude and don't stress too much!  It's not the most fun I've ever had but it's a necessary evil.",F,32,1  daysgallon,11/19/2015,Nulytely
4, 2, colonoscopy procedure,I've experienced chills_burps _gas and headaches.,I having very bad constipation _sometimes laxatives don't work for me _this fluid I am drinking is wasted my time.,F,54,1  days420 grams,8/16/2015Email,Nulytely
5, 5, Colonoscopy,"this is my 3rd colonoscopy. Before I took go lightly which seemed thicker and tasted salty. So far this solution seems lighter and easier but takes longer to work. I sip a little 7up before and after each glass_ more like a mouthwash really I'm not done and I was scared too even had some ""D"" this morning from nerves but this seems ok. Also use A&D ointment often find in baby section_ very soothing. Some day they'll have an easier way we can only hope😛",,F,68,1  days8oz every,8/5/2015,Nulytely
6, 1, colonoscopy prep,Absolutley Horrible! The taste is disgusting and iit is so nauseating.  The only reason doctors use this vile chemical is because in the case of Medicare_ that is what they approve. Guess why?  It is all about MOney! The insurance companies dictate what meds we can and cannot have_ not the doctors...Drank this most horrific solutions_ cleaned out_ lost 6 pounds in less than 24 hours_ vomited_ had a migraine headache and a full blown Meniere's attack.  My gut was completely robbed of all good flora. I have been taking pharmaceutical probiotics for a month and my gut  and stomach still feel as though they are being eaten from the inside..  I have had 7 i.vs trying to replace the fluids I lost. Tuesday will be exactly 4 weeks and I am still very ill.  I did call the company but all they wanted to know was what color is the label?  they didn't seem concerned at all. Adding that I am 74_ female and weigh 110-112. I have had 5 previous colonoscopies with no problem what so ever with the prep,,F,74,  1X D,8/2/2015Email,Nulytely
7, 5, Colonoscopy prep,The taste is almost nothing; it was very easy to get down_ even without the flavor pack. It tastes vaguely like ocean water_ no aftertaste. If you've ever taken cod liver oil_ this experience was far better than that.,,F,50,1  days,7/23/2015,Nulytely
8, 4, Colonoscopy,Bloating_ distended belly,"I felt the need to review because I read so many reviews that scared me beforehand that I was ridiculously nervous. I'm an anxious person who hates all things medical and I've suffered from chronic and painful diarrhea and intestinal spasms_ hence this colonoscopy. I hope I can assure someone else via my review NOT to get nervous and worked up over this prep. If it's true that this is the worst part_ I am a happy camper. (procedure tomorrow). I mixed my solution with Glacier Cherry Frost Gatorade per the pharmacist. (note that even though it's ""cherry_"" it's white.) The taste was FINE!! No_ I don't love it. But it did not make me gag or vomit or any such thing. It get's sickening 12-13 glasses in_ but so would anything and chasing each glass with some cold ice water and lemon was enough help to get through it. It took me about 2 hours for it to produce movement. I felt bloated and a bit uncomfortable_ but no big deal. The diarrhea was not at all crampy or painful like my normal problems. It's very mildly uncomfortable due to the bloating. The worst part was honestly having to stay up all night! Mine was split into two shifts_ 2 liters at 8:30 pm and 2 liters at 2:30 a.m. but due to the spacing and the diarrhea it basically meant no sleep at all. In the end hopefully that helps with my anxiety actually going in to the procedure. I'm tired! I hope my review helps someone else relax over this stuff.",F,37, 4 liters 2X D,1/30/2015Email,Nulytely
9, 5, Colonoscopy,Ok guys I'm the biggest wimp on the planet. I'm post chemo for stage 3C colon cancer_ I also have Crohn's disease & a bunch of other things wrong with me & a TON of allergies. This is my first colonoscopy post chemo. Here's the secret_ the CHERRY flavor packet. I hate all the other flavored (lemon-lime_ orange_ pineapple). I have to do it slower than norm because of my issues. Cold_ cold_ cold. Then put it in a measuring cup_ hold your breath_ drink thru a straw (I'm doing 4oz every 15 mins). I can get 4 oz down in 3 drinks_ the chase with cold Mt. Dew. So far so good. I'm 1.4 liters into it but have only gone twice. I've got a headache & I'm cold but it's also cold outside. This is NO WHERE near as horrible as I thought it was going to be. Esp the taste_ I've had to take worse. The after taste reminds me of a cherry zinc lozenge. Kinda gross but not unbearable. I honestly thought I'd be miserable & going nothing but water by now. So we'll see. If it gets unbearable I'll post again. But I'm used to going a lot more than this with having the whole right side of my large intestines gone & the Crohn's.,,F,44,1  days,1/15/2015,Nulytely
10, 5, Colonoscopy,None,It was a piece of cake! No problem with taste at all (like Gatorade with no sugar). I kept it chilled. I measured out 8-10 ounces every 15 min_ and drank it down I was cleaned out in less than two hours. I drank 4/5th's of the solution...I could have drank it all_ but no reason too.. I read all of the horror stories from people on the site.......really people_ suck it up_ it wasn't that bad! This is coming from a 5 foot_ 105 pound male that doesn't have a lot of space for all of the fluid. Positive attitude people. It was so much easier than most people lead you to believe.,M,50,1  days1 gallon 1X D,1/12/2015,Nulytely
11, 4, Colonoscopy,None,My doctor ordered it with Lime-Lemon flavor.  The key was to get the taste out of my mouth after each sip by taking a small sip of White Grape Juice.  And I also held my breath and drank it_ as someone suggested on this website.  I started drinking this at 04:30pm and finished it by 11:55pm.  Initially I drank a glass of it every 10 to 15 minutes_ but I had to take longer breaks as I was feeling full.,M,38,1  days 1X D,11/24/2014,Nulytely
12, 4, Colonoscopy,Bloating and chills until I started eliminating.,Taste is not horrible to me - I don't have a strong gag reflex either. (actually the last three or four portions were horrible) Drinking a little warm or hot water after each glass helped me to relax and took some of the chill of me.It didn't begin working it's magic until I had drunk well over half the jug.This is my 3rd colonoscopy_ the first time I waited until my bottom was sore to apply any ointment - big mistake. 2nd time I applied Desitin before starting and kept applying it until I was done. Desitin is very messy and got through my shorts onto my trousers. This time I used A&D ointment_ baby wipes with aloe and put on some Depends.,M,72,1  days4L 1X D,11/21/2014,Nulytely
13, 4, colonoscopy,"Overall the medicine has been working so far. However_ I think that for someone my size 4 liters is a bit extreme I am 6-8 glasses in and already have liquid stool with no particles. The hardest part is getting ""used"" to the taste. One thing that I've found that helps me is chewing mint gum before and after drinking it. Drinking through a straw helps. And I've learned that if you focus on your breathing it is almost impossible to gag. Best of luck to everyone going through this and remember it's only one day you have to take it. (:",,F,20,1  days4 liters,10/5/2014,Nulytely
14, 4, Colonoscopy,Stomach gurgled and I felt really full_ but no bad effects from drinking a gallon+ over 3.5 hours.,After reading a bunch of the current reviews on Nulytely I came to the conclusion that we all react similarly_ but each of us is different. The flavor packets add nothing from what I could tell and the liquid is more viscus than regular water_ and slightly salty. This was not a pleasurable experience_ but now it's over and it worked. Hallelujah_ I'm clear at last!,M,67,  1X D,9/8/2014,Nulytely
