,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, Prevent Pregnancy_ Lighten Periods,Weight gain of about 5-10 pounds_ moodiness/crying for a couple months_ breast growth_ lower sex drive_ vaginal dryness,I don't totally mind the weight gain_ as I hadn't been exercising lately anyway_ and it wasn't a whole lot. I have not had cravings for fast food at all. For the first couple months_ I was pretty moody and easy to upset_ but I attribute that mostly to it being a tumultuous time in my life. Things have smoothed out recently_ and I feel great. My breasts are definitely bigger_ though I originally attributed that to weight gain. However_ I've begun working out again and the boobs have stayed_ so that's nice. I suppose my sex drive_ though low to start with_ is kind of lower_ and I have to use lubricant for comfort. However_ it's not a huge problem to me_ so all in all_ I'm a fan. I mean_ I've taken it every day and haven't gotten pregnant.,F,20,9  months 1X D,5/19/2016,Ortho-novum 7/7/7-21
1, 1, heavy periods,had a blood clot that caused a HEART ATTACK,this drug has permanently damaged me.  I had a blood clot that went to my heart_ causing a 99% blockage and heart attack.  i nearly died and now have a stent and permanent damage.  i had no other risks factors and drs did a test that show i am not genetically predisposed to clots,F,42,8  months 1X D,3/21/2016Email,Ortho-novum 7/7/7-21
2, 1, help balance my hormones,Total and complete exhaustion. Took naps everyday for 2 weeks. Did not want to leave house.  Emotional wreck. Cried everyday. Lack of drive for everything,Stopping bcp today.  I have had enough.  My children have seen me depressed enough!,,50,10  days30mg,8/17/2015,Ortho-novum 7/7/7-21
3, 2, Contraceptive,I started taking ortho ovum 777 when I got  together with my fiance (4 years ago) when I was a junior in high school and started becoming sexually active.  I noticed weight gain slightly about 5 pounds but my diet hasn't changed and it seems the longer I take it the more I crave.  I crave pop and fast food_ greasy foods like a mad man.  I have gained probably 30 pounds in the past year because of it.  I stopped taking it a week ago and I have noticed that I sleep a lot better and do not have to constantly eat or want food.  I noticed that my sex drive wasn't great while I was on it.  I am 21 years old and so is my boyfriend so I feel that it is kind of important.  I need to get my birth control changed though ASAP.,I do not recommend.,F,21,4  years 1X D,2/18/2015,Ortho-novum 7/7/7-21
4, 3, Not to get pregnant,Heavy smelly discharge. Extreme anxiety. Bleeding if I missed a pill.,,F,20,5  years,12/1/2014,Ortho-novum 7/7/7-21
5, 1, irregular cycles,This drug caused a mini stroke . I experienced a mini stroke after the first seven days _ then hand-knobbing_ blurred vision migraines in 7 day intervals until I stopped. I was driving during one. I still . migraines because I took this drug. I took it in 1986,I learned triggers for migraines _ and no drugs later_ am now 45 and every period_ and ovulation brings on a new set of  migraines. This drug kick started migraines therefore ruining my hormonal balance for life.,F,45,60  days 1X D,11/14/2014,Ortho-novum 7/7/7-21
6, 4, Birth Control,I have had NO side effects unless I missed a dose such as  Breakthrough Bleeding.  However_ after taking it for 16 years I am getting side effects for the last 6 months or so... Acne & Very sore breast... I think I am gonna change to something else.,I actually recommend it.  I have a light 3 day period or none at all.  I am really happy but_ now that I for some reason getting acne and sore breast. I am thinking of changing.  Otherwise_ I would be a happy camper..,F,36,16  years777 1X D,11/2/2014Email,Ortho-novum 7/7/7-21
7, 2, Protect from pregnancy,Extreme anxiety_ nauseous all the time_ headaches_ uncontrollable sobbing.,,F,18,2  months,7/8/2014,Ortho-novum 7/7/7-21
8, 5, Prevent pregnancy,Headaches and nausea at first. Mixed with a little more anxiety than normal. But after a few months I had short light periods and I haven't gotten pregnant so it's good so far :),,F,21,9  months,3/5/2014,Ortho-novum 7/7/7-21
9, 1, period,Worse migraines I could ever imagine that caused violent shaking_ loss of vision_ and passing out. (Never had migraines before taking this pill) depression and high levels of anxiety. Hair loss. Lumps in breast.  I will never ever take this pill again.,,F,23,3  months,2/19/2014,Ortho-novum 7/7/7-21
10, 1, prevent pregnancy,Increased heart rate(already have high BP) _ feeling very very depressed and not motivated at all(on celexa for depression & it usually works great) . Bad nausea and cramps. Hungry but no appetite :-/ I really don't like this pill at ALL.,,F,23,2  weeks,5/16/2013Email,Ortho-novum 7/7/7-21
11, 2, prevent pregnancy & lighten periods,My periods are way heavier_ i have horrible cramping and very low sex drive. Also every time i start the dark orange section of the pill cycle i break out horribly. I just woke up with it the first morning after the first orange pill. I hadn't experienced acne like that since back in middle school. I also lack the motivation and confidence i had prior to this birth control pill. Before this contraceptive_ I was taking Loralyn 3mg birth control for 2yrs and it was AMAZING but then insurance stopped covering it (almost $90 a month..prob why it worked so well). I highly recommend that versus this drug.,,F,18,2  months1x day,4/7/2013Email,Ortho-novum 7/7/7-21
12, 3, prevent pregnancy,my pharmacy changed me bc from novum 777 to nortrel 777. My boobs are super sore_ bad anxiety_ no sex drive. Not happy. Only good thing is that it lightened my period. I was soooo much better off with ortho tri cyclen low.,,F,34,1  months,11/21/2012,Ortho-novum 7/7/7-21
13, 1, ,After my first month on nortrel777 i developed blood clots in both lungs and had to be hospitalized for 9 days.,,F,27,1  months,10/20/2012Email,Ortho-novum 7/7/7-21
14, 1, PMS_ cramps and Migraines,Nausea_ weight gain_ SEVERE depression and anxiety_ rage_ extreme fatigue_ intense cravings for fast food_ uncontrollable sobbing,My doctor thought this pill might help with my severe cramps and menstrual migraines.  Within 2 days I was nauseous all the time but the worst part was that I am usually a positive_ social_ happy_ motivated and active person and I felt heavy and exhausted and I was so depressed that I started having suicidal thoughts and felt completely hopeless.  I gave it a few more days_ hoping my body would adjust_ and had to stop because I felt like I didn't want to live anymore and my outlook and perspective were purely pessimistic.  I was extremely anxious_ my heart was racing and I felt nervous and uncomfortable and didn't want to leave my house or talk to anyone.  Also I eat a micronutrient-dense diet_ always healthy_ don't eat grains and suddenly I had crazy obsessive cravings for McDonalds and Taco Bell_ neither of which I've visited in about a decade!  I stopped taking the pill yesterday and I'm still very depressed and tired.,F,39,4  days 1X D,10/19/2012Email,Ortho-novum 7/7/7-21
15, 1, Birth Control,increase in anxiety_ loss of sex drive_ vaginal dryness_ yeast infections,I was on Necon 777 for two months as a primary form of birth control.  During that time_ on the third week of the pill (highest dose)_ I would feel an increase in anxiety_ extreme vaginal dryness and I got a pretty bad yeast infection.  This happened twice in a row.  The symptoms drove me crazy until I figured out it was my BCP_ so I hope this helps any woman who may experience these same symptoms on this formulation.,F,29,56  days 1X D,10/17/2012,Ortho-novum 7/7/7-21
