,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 4, Cancer_ loss of limb due to cancer,Good pain relief. I've been on many different pain killers due to 39 surgeries so I know pain pills. Good energy for me_ no opioid constipation_ however it's the one pain med that I can crave and get addicted to so my Dr and I switch up the pain meds when I feel I'm having trouble getting relief or that I'm craving it. As soon as I feel like I'm desiring it and not just for pain_ I change medications. I've unfortunately been on some kind of pain med for decades and I've tried everything alternative to drugs as well. Oxy works but you better know your body and not get addicted to it. I'm always in pain_ 24/7 but Oxy does help a lot.,Just be careful with this drug. It's a wonderful drug_ yet it can kill you too. -,M,54,5  years60 MG,7/18/2016,Oxycontin
1, 2, Back pain,,,F,38,4  years100mg,5/8/2016,Oxycontin
2, 1, pain,Flashes daily_ suicidal thoughts; depression_ can't sleep_ constant pain; worse than when was on short acting oxycodone,A living he'll since changed to this drug; pain is worse. .Hot flashes are driving me crazy. .nightmares are bad and suicidal thoughts and sudden depression. .get me off this nightmare drug. .I was fine on previous medications. .and took my previous Dr's so long to stable me to be taken off my stable meds to go through he'll now,F,52,10  days40 mg,3/26/2016Email,Oxycontin
3, 4, broken leg resulting in amputation,Constipation_ itchy skin_ tooth decay_ weight gain_ constantly tired sleep up to 2hrs per day_ hot flushes_ increased eczema_ swollen leg & cellulitis_ but no pain BONUS!!,I was prescribed oxycontin & oxynorm for breakthrough pain relief after falling & shattering my ankle resulting in an external fixator & finally amputation_ by the hospital pain clinic. I was unlucky enough to get compartment syndrome in my foot which caused horrific pain so was given oxycontin as morphine didn't work. I've now been taking oxycontin for over 10yrs_ remarkably without realising the amount of side effects I've been living with until filling in this review_ which has somewhat alarmed me. I will be contacting my doctor for a referral back to the pain clinic to seek other alternative treatments to manage my pain. In the last 6mths I've started to suffer more & more with phantom pain & sensation so need help with this also. Oxycontin has controlled my pain for the last 10yrs but sadly also my life to a degree_ this I need to change.,F,44,10  years40mg 2X D,1/12/2016,Oxycontin
4, 1, To help with extended pain relief,No pain relief! Headache   Skin patches that itch n split open. Problems urinating. More pain than before taking them. Sleeping disorder   List goes on   First time taking it n don't want again.,,F,62,2  weeks20 mg,1/7/2016,Oxycontin
5, 5, Severe back pain,None I take two pills a day and I feel a lot less pain has helped me function and make it through the day without the fatigue other pain pills do,It's good painkiller but take it the way your doctor prescribes no more,F,60,3  months,12/21/2015,Oxycontin
6, 4, Metastatic tumors whole body ..,Controlled and managed pain well..then other pain killers..but i was a ulcer patient it caused me too much acidity..even i was not able to eat,,M,44,2  months40mg,11/16/2015Email,Oxycontin
7, 1, I have a cyst on my L5-SI very pain,In the past two weeks I feel like I have gotten sicker with each day and no relief I'm done with it !!!!,,F,45,2  weeks10,11/10/2015,Oxycontin
8, 2, ,Makes me sick to my stomach_ gets me to throw up and makes me very tired. Terrible stuff.,,M,19,1  weeks10/,7/15/2015,Oxycontin
9, 1, blood clots in my legs,Hot flashes and extremely exhausted,,F,35,1  weeks40mg,6/5/2015,Oxycontin
10, 2, Cervical spondylosis & lumber arthr,None what so ever,,M,47,3  years60mgX2 day,4/21/2015,Oxycontin
11, 5, Cosmetic Procedure,It is not intended as a maintenance medication for long term use. It is fine for a short stint of pain management_ i.e._ after a surgical intervention. Certainly if used conservatively it is a great help. Yes_ there are side effects_ for example pruritis (itching)_ dehydration_ constipation but if you stay well hydrated all will be well.,It is not perfect but it does work and is helpful in the immediate post operative period. It seems that there are more issues associated with long term use. I used it briefly to make the transition after the surgical intervention and then wean to ibuprofen.,F,60,1  days 1X D,3/25/2015,Oxycontin
12, 4, Painful Skeletal muscle disorder,Constipation_ memory issues,Helped with my pain tremendously. I would not be able to move and function without it.,F,34,2  years20mg 2x,3/25/2015,Oxycontin
13, 2, TMJ,Dry mouth,,F,45,2  days,3/10/2015Email,Oxycontin
14, 4, Scoliosis{Spine} pain,They dont last as long as they are supposed to.After about 5 or 6 hours_the pain comes back.In force....,"If you have had a gastric Bypass_they wont work well on you_but your doctor wont believe it.He will think you might just want more pills_{which might be true_but beside the point}But you want them caus G.B. patients have a 4  to 6 hour 'system'_and its outta there.Even w/alcohol.You can be dead drunk one minute_and in 5 minutes?_be stone sober and reading a book_in the den..Its weird.But I guess doctors dont know about it yet.Too busy trying to figure out how to best 'mess withe the head"" of a new patient_to see if they are taking or selling it...If you are taking  it_you have the refill day down to the SECOND.If you are selling_you try early/..",M,46,4  months30mg 3X D,1/28/2015,Oxycontin
15, 1, cervical spondlythesis_ DDD_ Lumbar,I was on 20mg twice a day and it felt like I had no pain control_ only felt sick_ so doc upped it_ and these abdominal cramps are horrible! It doesn't help pain at all! I feel sick and have to take breakthrough med to get any relief! I am angry that the docs are prescribing this new toxic plastic untested crap to us with real pain!! Especially when they are able to use the old one! Its rediculous that we all have to be punished and grouped together be ause of the abuse problem! And big pharma of course is right there to profit_ with another mess!,,F,52,10  days40,1/19/2015,Oxycontin
16, 1, cancer pain,The old oxycontin was a fantastic painkiller.since the change to op I have never been so sick in my life.my stomach is in constant severe pain.i am always nauseous with shocking dizziness.i feel as if I am being poisoned.i am about to change to the new sandoz oxycodone and hope i will be able to return to a normal pain free life once again. So sad that the genuine people in need of pain relief will have to go through the hell of these toxic tablets.,,F,44,8  years60mg,12/23/2014Email,Oxycontin
17, 1, Botched pelvic surgery and penile e,Had surgery and it went we'll for a while_ now years later I have been in severe pain so in unbearable that I can not function. _ eat_ sleep_work_talk _ pee or anything. Had penile reconstruction and now having major problem.  Dr put me one oxycodone first then oxycotin20 mg. and I'm dying in pain. It doesn't work and think aspirin would be stronger. Need to know if others are having. This issue,Would like to know if I should tell my dr to put me back on oxycodone,M,44,3  days20mg,11/4/2014,Oxycontin
18, 3, LOWER BACK AND PELVIC PAIN,AVOID THIS DRUG UNLESS YOU REALLY CANNOT TOLERATE YOUR PAIN. IT WILL GET YOU ADDICTED. IT KILLS 15000 PEOPLE IN USA EVERY YEAR.IF YOU HAVE TO TAKE IT_ DONT TAKE A HIGHER DOSE THAN PERSCRIBED NEVER EVER.,,M,35,7  months30 mg,10/5/2014,Oxycontin
19, 4, pain,I have Ms_ quite a few obstructions in my lower and mid back__arthritis in both knees and wrists. So basically this has been the only medication that helps me to feel like a human.  Really shouldn't give ppl such a hard time to fill their prescriptions.,,F,42,4  years20mg 4xday,9/13/2014Email,Oxycontin
20, 5, back pain (arthritis in spine),slight constipation,Haven't felt this good in YEARS. Twice a day_ extended release_ and I have no worries about it wearing off or withdrawal effects. Pain coverage 24/7. I wish I had this prescribed to me years ago. I can play with my children and do housework and walk the dog again. I can't imagine any kind of normal life without it.,F,44,1  weeks30 mg 2X D,6/30/2014Email,Oxycontin
21, 5, failed back surgery,Constipation which I have under control,,F,64,6  years80mg,5/20/2014,Oxycontin
22, 5, Knee pain_ ms pain,Dry mouth_ itch_ constipation_,40 mg 3x per day for years. I'd like to stop the narcotic and have been researching using weed to get through it. Anyone have experience with that?  It works well. I regret when I miss a dose. My pain can roar up like a vengeance and that gives me panic attacks of not getting pain under control. Horrible circle.,F,45,10  years40 3X D,5/10/2014Email,Oxycontin
23, 5, chronic neck and lower back pain,Constipation_ and only works like 8 to 10 hrs._ and I'm suppose to take 1 tablet every 12hrs.,,F,47,5  months60 mg,5/4/2014Email,Oxycontin
24, 2, Severe back pain and post operatIve,ItchyMakes my ibs unbearable DizzinessInsomnia Nausea and vomiting Can't put a sentence together,,F,40,1  years20,4/27/2014,Oxycontin
25, 1, Lumbar Microdiscectomy,The side effects were worse than the pain... Constipation_ diarrhea_ flu like symptoms_ headaches so bad my eyes hurt_ itchy skin_ numb arms... I hope to never go on it again and I don't see how anyone could get addicted to it! It is awful! I took 80 mg for 2 days_ then 60 for 1_ 40 for 1_ 20mg for 1_ and 10mg for 1... I cannot believe I had withdrawls just from that... Its brutal stuff_ don't take it lightly!!!!,,F,25,6  days80,4/23/2014,Oxycontin
26, 1, Back surgery,I had minor constipation.  The reason I am giving such a low score is the withdrawals a person will go through when quitting. You think you hurt now? The pain will be 100xs as bad. You will want to die. Seriously_ don't ever take this medication unless you have a terminal illness.,,F,45,6  months80mg,2/15/2014Email,Oxycontin
27, 1, Back_ knee hand arthritis severe,Take one every 8 hours  :Max 3 a day nothing work does not help my pain go away! I also have oxycodoene generic  actavis 30mg take every 4-6 hours_ 4 a days. Oxycodone 30mg IR work great while oxycotin CR 30mg OP works nothing!,,F,63,2  months30mg,1/19/2014Email,Oxycontin
28, 2, Shoulder pain after surgery,Major constipation immediately.  But I also felt extremely dizzy and not the good kind of dizzy--the wide awake kind of dizzy.  My heart was pounding.,This unfortunately doesn't have the sleepy side effects others have noted.  I was just wide awake dizzy. I kept taking it b/c I heard it killed pain better than advil but I think I'll go back to advil.,F,48,21  days325 1X D,9/5/2013Email,Oxycontin
29, 3, chronic arthritis,Good pain relief but side effects over time are a real drawback. After several years still working for pain but become disengaged from life and lethargic. Now the choice is pain or the side effects I never thought would happen to me as I've been careful not to abuse.  I'm at the point I'd like to find another way to treat pain. For non cancer pain it's a tough choice honestly.,,M,49,4  years40mg 3X D,6/8/2013Email,Oxycontin
30, 5, for back pain,no real side effects for me,it has worked really well and my doctor monitors my usage pretty closely,M,61,3  years60MG 1X D,6/2/2013,Oxycontin
31, 2, intactable chronic back pain,Horrible upset stomach right after taking it_ sweating_ wake up sick in the mornings_ my pain comes and goes_ I have peaks and valleys_ been in bed 2 weeks sick feeling!,,M,39,2  weeks80 mg,6/2/2013,Oxycontin
32, 5, Severe chronic back pain,mild to moderate drowsiness_ mild constipation_ very mild upset stomach.,My starting dose was 60mg three times a day_ I'm now on 80mg four times a day along with 1-2 Dilaudid 4mg every 4-5 hrs for break thru pain.  All the side effects went away within a little over a month except for drowsiness during an increase in dose.,M,35,4  months80mg 4X D,4/11/2013,Oxycontin
33, 5, chronic back pain,severe euphoria and feelings of chronic detachment,Oxycontin is a great medication as long as you have enough of it. You do not want to run out of Oxycontin on a rainy day. When you have it the world is a great place. I have written about it more at http://www_popsnuff.com,M,46, 160 mg 1X D,12/21/2012Email,Oxycontin
34, 5, Bad car accident,None really_ slight constipation,This has been the only drug_ besides Percocet that helps me with my chronic pain.,M,45,3  years60 mgs 2X D,8/31/2012Email,Oxycontin
35, 5, Chronic Osteoarthris,Helps the pain - but not 12 hours maybe more like 6 hours. But I still only take 2 a day never more !!!,,F,56,6  months30mg x 2,8/10/2012,Oxycontin
36, 1, Chronic pain,,This drug will destroy your colon....will cause bowel issues.End of the story....you notice it now or you notice it too late. Save your stomach,M,30,2  months10 2X D,8/7/2012Email,Oxycontin
37, 5, spinal damage/neck damage,I was bedridden. I'm out of bed_ doing simple daily things. Changed my life. Mild tiredness beginning.. 2 weeks after I was getting up. Later side effects of new formula were feeling it didn't work for a day out of 7. Like it had went straight through my system. I highly recommend for a individual needing help to move on with life with pain.,,F,40,6  months20mg x3 da,7/29/2012,Oxycontin
38, 4, pain from inoperable spine issues,Brief period of drowsiness each time I increased dosage. Was able to stay on low doses for years and had only 2 increases. Mild constipation easily treated. This is NOT the same experience I had with oxycodone_ the short acting version.,"Unlike the short acting version_ I feel no ""high""_ am completely lucid and able to function. This drug has allowed me to live a more normal life; without it I would be in daily agony and likely wheelchair bound. Many people confuse short acting oxycodone (fine for short term but has more side effects_ including a feeling of need to increase dosage) with oxycontin. I have no need to increase the dose for years on end. (Initial increases were adjustments to get my level right). It is terribly expensive and almost impossible for disabled Medicare patients to afford once the hit the ""donut hole"". Misuse of this drug is a horrible disservice to those of us for whom it means a functional life.",F,59,5  years30mg 3X D,6/25/2012,Oxycontin
