,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, had full hysterectomy at 28,None at all it is my doctor who wants me to stop taking them ive managed to just take 2 aweek now,,F,60,10  days0.625,8/2/2016,Premarin
1, 5, Hot flashes and night sweats,No side effects at all!,Actually have been on Premarin for over 20 years but link didn't allow that number. This is ridiculous that I can no longer purchase Premarin where I live.,F,65,10  years.625 mg,7/15/2016,Premarin
2, 5, Hysterectomy,No Side effects at all,Love this Medication! Has worked wonders for me! I was on .625 for 18 years and felt great. I am 60 years old now_ and still have STRONG Bones and feel young! Premarin prevents osteoporosis. I have been on 0.45 for about a year now but may go back to .625 due to Vaginal dryness and slight pain during intercourse. Did not have this issue with higher dose.,F,60,19  years0.45 1X D,6/15/2016,Premarin
3, 4, Hormonal imbalance,Heart palpitations_ anxiety_ poor sleep_ weight gain_ mood swings_ joint pain_ sinus problems_ and more,Use premarin cream for UTI_after stopping it I had so many side effects it was terrible. We to primary Dr_ just wanted me to take anxiety med. Saw my obgyn_ and she wanted me to try the cream one more time_ which I did against my better judgement_ and after just 2 wks all the same syptoms. Weaned myself off & now suffering awful withdrawals. Neither Dr did blood work to check my hormone levels!! Trying to fix this a more natural way. Taking Maca_ 300mg a day. Only been taking it 2 wks_ but does seem to be helping. Just want my life back.  ,F,64,2  months,6/11/2016,Premarin
4, 5, Surgical induced menopause,It heled hot flashes_ my crYing all the time...tried to lower the dose a few times_ didn't tolerate it. Having mood swings bad_ don't know whats up....,,F,43,6  years1.25 mg,5/30/2016,Premarin
5, 5, To supply estrogen,Weight gain_hot flashes and Irritability!,Why can't I take it?,F,66,10  years.25,4/25/2016,Premarin
6, 5, Complete hysterectomy,None,I have been taking premarin for 14yrs didn't realize how wonderful it was until a week ago! My Dr went to another practice her replacement just up and decided she didn't like the medicine and took me off! It has been a week of HELL!!! Hot flashes_ night sweats_ headache_ light headed almost feels like vertigo it's the craziest feeling ever!I live in a small town it's absolutely nerve wrecking trying to find a new Dr that can help me! I love the way Premarin helps you! Oh did I tell everyone how much weight I have gained!! Sorry too embarrassed to say!,F,48,10  years,4/15/2016Email,Premarin
7, 4, full hysterectomy,Mild heartburn_and 20lb weight gain,Very greatful for premarin It stopped night sweats_ depression and non stop crying.,F,49,1  years0.625,4/8/2016Email,Premarin
8, 5, Hot flashes,Have leg pains_ after taking off Premarin.,Have loved it  for 37 years,F,77,3  years.03,3/29/2016Email,Premarin
9, 3, Total hysterectomy,I get pounding headaches and I'm not sure why im just scared of using it. I'm new to all this.,I'd love to learn more about it by someone who uses it.,F,36,6  months,3/15/2016,Premarin
10, 5, Vaginal dryness,No negative side effects this medicine saved my life I_ I was suffering every day of my life and felt like I was terminally ill_ now I feel so relaxed again and happy,I hope I never have to give this drug up because of money _ I don't think I could survive_ I would go back into a depression again.,F,48,2  yearsCream,2/29/2016Email,Premarin
11, 1, Hot flushes severe,Angiodema. Swelling of lymph nodes size of golf balls. Pressure in throat and neck. Fluid filled neck tissues. Total discomfort._ choking feeling due to full feeling.,,F,50,6  months1.625,2/28/2016Email,Premarin
