,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, I am psychosis_ bipolar_ severe depression,When I was taking the pills I lost my emotions_ hormornal feeling (don't get horny no more)_ memory loss on top of my original memory loss_ weight gain_ suicidal thoughts_ lost my period_ got bored easily_ extra friendly.,The only reason I took it was because I needed my brain cells to be prepared because I had no thought process_ natural thought_ forgot about my past_ short term and long term memory loss,F,28,3  years2 mg,8/10/2016Email,Risperdal
1, 1, Depression_ ADHD,Extreme weight gain_ memory problems_ lack of judgement,This medication essentially created a 3 year hole in my life.  It turned me into a zombie.  I didn't properly take care of myself and had no ambition to do anything.  I was very angry all the time and still cannot believe the way I treated the people around me.  I stopped it abruptly and now have my emotion_ feelings and memory back.  My memory is great for everything before the drug and for the 2 years since but for 2012 and 2013 especially_ I really have virtually no memories.  It's like I didn't even live it.  I really wish I knew was I was in for sooner and ironically_ was so zoned out because of it that I didn't have the ability to see what was happening and stop it.  Luckily_ the university expunged those years from my record_ but it's still time and money I'll never get back not to mention my 6 year relationship.,M,29,3  years1 mg 1X D,8/6/2016Email,Risperdal
2, 1, bipolar depression,I felt disconnected_ I felt confused_ my body felt like it wanted to crawl out of its skin_I got headache. I am now withdrawing and the symptoms are not going away_ I am worried that it has caused more damage to my brain.,I am upset bc I voiced my concerns to my doctor and they ignored my worries.,F,34,1  months1mg and a,7/25/2016Email,Risperdal
3, 2, Bipolar,Erection problems.. Tiredness. Loss of appetite_ weight gain mainly of stomach.. Depression. Shaking hands.. Low cognitive skills.. Laziness.. No mental or physical energy.,Try to avoid where possible rather forced upon or taken on own orrcord..,M,30,4  months25,7/20/2016Email,Risperdal
4, 1, Bipolar I,I was on a much higher dose at first.  That was pure hell.  No emotions_ severe akathisia (restlessness)_ not able to carry on a conversation.  Now that I am on a lower I used to be an enthusiastic_ happy_ joyful person full of energy_ fun_ silly_ a goofy_ fun side to me.  I used to have people drawn to me because of my fun side.  I used to have somewhat of a euphoric high on life.  THIS IS ALL GONE.  I am on a civil commitment due to some hospitalizations when I was manic and had psychosis so I am forced to take this medication.  I feel unhappy all the time.  I only now have the depressed and suicidal side of me left without the happy ups I used to have.,I can't wait to get off this medication!  Has anyone else experienced having a zest for life_ passion_ happiness_ an overall joy that is gone now?  I also have nothing interesting to say anymore.  Has anyone experienced that?  If so_ did you come off the medication?  Did the happiness_ joy_ enthusiasium for life come back and are you interesting again?  This guy tried to date me after I got diagnosed and was put on this drug.  He said I need some spice in my life and a spark.  I use this example because this is what has happened to me.  I am no longer interesting_ no spark or spice.  No more euphoric joy.  I used to be_ at times_ high on life.  Has anyone experienced this?  Did it come back after coming off Risperdal?  This drug is not good.  I don't like it.,F,34,6  months25 2X M,6/23/2016Email,Risperdal
5, 1, F u risperdal,,,,,9  days,6/3/2016,Risperdal
6, 1, DSM-IV-TR misdiagnosis,"Within two weeks I experienced a first ever terrifying ""psychosis_"" likely because it was given to ""cure"" ADRs of an antidepressant_ and combining those drug classes is known to create ""psychosis"" via anticholinergic toxidrome poisoning.  Also_ slept way too much_ weight gain_ memory problems_ and it made me feel like my head had been bashed in.","Forced treatment with it is""torture_"" according to the UN.",F,36,2  months.5 mg,5/30/2016,Risperdal
7, 5, Bipolar,Weight gain_ craving of sugar and carbs. Sleepy.,This med gave me my life back. I started out on .25mg about 15 years ago and I helped me sleep well. It helps my mood far more than my prozac 20mg. Keeps me stable. I have tried most of the usual bipolar meds but always came back to this one.,F,50,15  years6mg 1X D,5/8/2016Email,Risperdal
8, 1, Misdiagnosed psychosis/forced,No menstrual periods at all_ anhedonia_ emotional flatness/loss of emotions_ a little constipation_ lack of motivation_ lost my ability to cry and most of my ability to laugh_ loss of interest in many things_ little to no sex drive_ loss of appetite_ increased anxiety_ worsened depression_ sedated & drugged up feelings_ headaches_ weight gain_ unable to feel passion_ (emotional) pain_ or excitement; unable to fall in love again or acquire a new love for new things; head feeling heavy; stuffy nose; slower speech; short-term memory loss; constant need to use the bathroom; a feeling of having a dark cloud over my head; strange dreams (after quitting); and drowsiness.,Last year_ this drug changed my life forever. I already have depression & anxiety. I was being abused. I ran away from the abuse to a crisis center. There_ I was falsely accused of being psychotic_ then hospitalized_ and then put on Risperdal. I truly believe Risperdal's the devil in a pill. It's killed me inside. I still have my whole life ahead of me but I've lost all quality of life. It makes me want to die at times. There's no point in living now. I still have side effects even though I've been off this drug from hell for a few months. Even if you do have psychosis_ I recommend Abilify instead! I just can't believe my life is over before it began all because some misguided doctors thought I was a crazy person. :( The mental health field's corrupt!,F,21,10  months3 mg,4/22/2016Email,Risperdal
9, 1, Fear and anxiety (hidden bipolar),My mom was given Risperdol back in 2002 to help her transition off Thorozaine.  She was taking 1mg and 2mg prescriptions and actually had a third prescription given which she didn't really take much from due to her reaction to the drug.  This drug affects the 5-HT nerve receptors_ about 8 of them that can control vascular flow of blood and also temperature regulation among other functions.  I feel in our case_ risperdol screwed up my mother's nerves or receptors.  Her symptoms are feet that burn in response to many different triggers_ salty food_ spicey food_ warm food_ warm environments_ normal skin temps on my moms feet cause pain flares and extreme pain.  Bad enough to cause her to want to die.Mom developed a burning foot syndrome condition while on this drug and stopped using it after 6 weeks.  The pain caused us to go to ER as her feet swelled up and that terrible pain and flares never went away.  She had to chill her feet and is using cold air_ fans elevated feet and limits w,Comments on statistics are regarding my mom_ not me.Onset of burning foot syndrome started in 2002 and continue to this day.,F,77,6  weeks2mg 2X D,3/28/2016Email,Risperdal
