,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, Hay fever,Headache,Sev headache,F,42,1  days60 mg,8/4/2016,Sudafed 12 hour
1, 1, for sinus infection and congestion,Worked good for sinus congestion but nearly felt I was dying by fourth day taking it had full blown panic attack thought I was losing my mind it has been two weeks since stopped taking and still have anxiety everyday er doc told me to give it a month but will never take again and I have anxiety to begin with.,wouldn't recommend for someone with anxiety it will make you worse and will take a long time just to for it to come out of your system,F,29,4  days120 mg,7/7/2016Email,Sudafed 12 hour
2, 1, Hayfever & sinus congestion,Insomnia. Erectile dysfunction (couldn't maintain an erection). Also made me pee a lot after taking it.,It worked and cleared my sinus after only one pill but the side effects are not worth taking this. Took it once_ never again in my lifetime. Considering my medical history my doctor should have never prescribed me a medication that is very likely to cause insomnia (1 in 10 according to the notice). In my case the risk/benefit ratio is strongly against this medication. If you're prone to sleep problems_ anxiety etc. don't take this and look for a safer alternative.,M,43,1  days120 MG 1X D,7/2/2016Email,Sudafed 12 hour
3, 2, Blocked sinus/ due to allergies,Tingly skin. Cold skin_ anxiety.,I agree should come with a warning_ I never felt so awful in my life. I am usually fit and healthy and that sent me over the edge!! Should have more warning wen dished out.,F,26,1  days,6/18/2016,Sudafed 12 hour
4, 1, allergies-blocked ear,I was taking 24 hr sudafed_ Resulted in emergency room visit for ischemic colitis  Before that I had extreme anxiety.,I would NEVER take this medicine again.  I am a very healthy person normally- exercise_ eat right_ etc.  This is the first time my allergy systems have been this bad- usually just sinus pressure.  But this year (everyone is saying because of mild winter and dry spring this is a very bad allergy year) my one ear was very congested and I was having loss of hearing. So based on coworkers advise I took Sudafed; the pharmacy suggested 24 hr version.  This medicine should be labeled with more warnings!!!!!!!,F,60,8  days240 1X D,6/12/2016,Sudafed 12 hour
5, 1, Nasal congestion w/ bad cold,Dizziness_ nausea_ stomache_ burning of my throat_ heart racing_ sleeplessness_ headache,I took this 2 hours before bed and I was okay until I woke up at 3am with a stomach pains and feeling super dizzy and nauseas along with having the feel that I should be worried about something. Never again taking it! It's 5am now and I feel horrible and like I am going to pass out. There more damage done than good. Hopefully it passes soon and I can get some sleep.,F,21,3  days,6/9/2016Email,Sudafed 12 hour
6, 1, Sinus congestion,Couldn't sleep_ very irritable_ heart raced. Coming from a drug addict who's drug of choice was crystal meth_ 7 years clean..it reminded me way too much of the drug. So it's a definite never agian.,,M,33,1  days1,4/8/2016Email,Sudafed 12 hour
7, 3, congestion,slightly spacey,,,,2  days 1X D,4/2/2016,Sudafed 12 hour
8, 1, sinus congestion,Took it at 8pm and couldn't sleep at all...it's 2:21pm the following day and I still haven't slept.,,M,30,1  days120mg 1X D,3/30/2016,Sudafed 12 hour
9, 3, Ear Congestion/Hearing Loss,It cleared up the congestion in my ears_ and I was able to hear properly again_ but I also couldn't sleep for 3 days. Overall_ it was sort of worth it.,,M,23,4  days120 2X D,3/6/2016,Sudafed 12 hour
