,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 5, Unprovoked DVTs and PEs,No side effects. I was on Coumadin for 5 years prior to going on Xarelto and actually had 4 blood clots while on Coumadin. I have had NO clots since starting Xarelto. It has been great. No monthly blood checks. No dietary restrictions. I'm so glad some drug manufacturer made a different blood thinner other than Coumadin which is literally rat poison.,I am very cold a lot. Like freezing. But I had this when I was taking Coumadin_ as well. I don't bruise or bleed as much as I did when I was on Coumadin. My eyesight has gotten worse_ but I think it is just genetics and aging and not related to Xarelto. Please contact me if you have any questions. Dosing if this drug is very important because it can affect your organs that filter it. It made my creatinine levels higher at first_ but then I went from 20-15 mgs_ and it is fine now.,F,44,5  years15 mg,8/7/2016Email,Xarelto
1, 2, PE,Diagnosed with PE on July 7_ 2016. Started out in 15mg twice a day for the first 20 days & now on 20mg once a day. It makes me feel awful...dizziness_  nausea_ & headaches. I'm fatigued & have no energy around the clock. It's difficult to work. I've gone to the ER twice since being discharged from the hospital because of my dizziness. My potassium has dropped & my doctor can't figure out why. I had to be given potassium by IV & a prescription to get my potassium up. It's been a nightmare. I have vivid dreams ... All of this & I'm not even scheduled hematologists until August 15th because I'm a new patient. I'm so outdone!,,F,44,1  months20mg daily,8/7/2016Email,Xarelto
2, 4, ,Bruise very easily although I bruised anyway.  I seem to be too heavy for what I eat. Wondering if it's related to xarelto.   Menstrual cycle is very heavy because of being on it.  Stopped taking it and 2 days later noticed weight loss.,,F,46,3  years,7/18/2016,Xarelto
3, 4, ,Bruise very easily although I bruised anyway.  I seem to be too heavy for what I eat. Wondering if it's related to xarelto.   Menstrual cycle is very heavy because of being on it.  Stopped taking it and 2 days later noticed weight loss.,,F,46,3  years,7/18/2016,Xarelto
4, 4, Saddle Embolus_  clotting disorder_,Fatigue and hair loss,,F,58,1  years2pmg,7/11/2016Email,Xarelto
5, 2, AFib,Leg pains_ surface of lower legs_ behind knees.  Interferes with walking.,Hope this will go away in time_ because I need to be on blood thinner.,F,80,50  days20 mg 1X D,6/28/2016,Xarelto
6, 2, 2 pulmonary embolism,I have random joint aches and weakness in the legs. I also experienced excessive weight gain - almost 20lbs since I started taking xarelto. I'm not on any other meds. Taking scans this week and will speak to my dr about switching medication.  My periods are extremely heavy_ however I  believe that all blood thinning meds would increase the blood flow,,F,39,4  months20mg,6/19/2016Email,Xarelto
7, 2, ,Joint pain_ itching_ hoarseness,I was prescribed Xarelto after an ankle fusion to prevent clots (run in the family_ no movement in leg for 3 months).  I'm really disappointed with the extra joint pain_ when I just had surgery to correct the pain I am having from severe osteo-arthritis. Overall_ I guess the medicine is effective_ does its job_ but the side effects suck. Period.,F,36,2  months15 MG,5/18/2016Email,Xarelto
8, 3, Dvt and PE,I was put on Xarelto for provoked blood clots in my leg that went to my lungs. I just had my 1 month checkup and Dr. said the clots look good. So the drug worked on that. But let me tell you the hell I went through. 3 weeks of the worst joint pain I have ever had. I could only walk if I had to. And my knees would not bend. My knees bend about 90 degrees now but being unable to walk for three weeks left me with a lot of muscle lose. I can walk with a cane and the muscles are getting stronger but please don't put yourself through this. If you feel joint pain talk to your doctor and try something else. You should know in a day or two.,,M,46,1  months20,5/12/2016,Xarelto
9, 1, DVT,Just began the drug while in hospital being treated for DVT in left leg.  Since taking it_ absolutely no relief in leg with the clot_ in fact_  same or worse constriction pain since before diagnosis. Extremely painful. Considering going back to ER,,F,35,2  days15 Mg,4/16/2016Email,Xarelto
10, 3, Blood Clot,Random and at times intense muscle and joint pain.,Seems to be getting more and more severe_ however I'm hoping this just means the medicine is doing it's job.,M,21,6  days15mg,3/29/2016,Xarelto
11, 3, Dvt pe,Sick feeling heart palpitations leg pain stomach upset dizziness it does have lactose in it and I'm lactose intolerant considering changing,,F,40,2  months20 mg,3/3/2016,Xarelto
12, 2, PE,Muscle and joint pain are the worst_ occasional headaches_ tiredness,I find that if I don't eat with xarelto I feel worse.  Taking medication with food doesn't make the side effects go away though.   Muscle and joint pain are absolutely horrible,F,45,6  months20 mg 1X D,2/22/2016Email,Xarelto
13, 3, Dvt,At first bleeding gums then after 5 weeks my first ever nosebleed_ now got calf pain in both legs which I can only assume is this drug since not done anything to cause it,,F,48,3  months20,2/19/2016Email,Xarelto
14, 1, prevent clotting,Uncontrollable jerking_ drop in BP_ general feeling of illness.,Research shows it can cause internal bleeding for which they have no antidote as other blood thinners have.US families successful prosecution for killing family members.Stopped it for several days and felt much better.GP insists it's okay. He is wrong.,M,90,5  weeks25mg 1X D,2/17/2016,Xarelto
15, 2, a-fib,hives/rash around torso_ under arms_ crook of elbow_ lower back_ thighs with intense itching_ seems to make my skin extremely sensitive_ can't even have bedsheet on me. stomach feels sore_ headaches_ and tired feeling,am taking less and less of this drug to wean myself off w/o any bad effects_ now taking every other day and soon bye-bye Xarelto,F,67,3  months20MG 1X D,12/28/2015Email,Xarelto
16, 3, Pulmonary embolism,Very very tired_constipated_ got the runs_ nose bleeds because of dry air_ gassy.,I'm too young for this. I don't feel 19. I been on this for 6 days so far. Feel old.,F,19,6  days,12/2/2015,Xarelto
17, 5, Multiple idiopathic DVT and 2 PEs,At first_ the 20 mg elevated my creatinine in my blood when I had routine blood work done. I dropped down to 15 mg and levels went down to normal range.,A Godsend.... Was on Coumadin for 5 years and was never therapeutic and actually had 4 more blood clots in my calves while in Coumadin in 5 years while on that rat poison...... Xarelto has been great..... Never had a blood on Xarelto (knock on wood) No side effects at all other than always being cold_ which I had on Coumadin_ as well. So thankful for this drug. No monthly (or more) testing and always therapeutic and no diet restrictions! It's about time they made something better and less antiquated than Coumadin!,F,43,3  years15 msg,10/10/2015Email,Xarelto
18, 1, DVT and PE,I have terrible muscle and joint aches_ gained weight yet have no appetite_ extreme fatigue and brain fog. Until I started taking this medication_ I was an active and healthy 40 y/o however I found out I suffer from MTHFR_ which is a genetic condition which causes my blood to clot_ and ever since I have felt as though my body is at least 20 years older than it is.  My doctor doesn't seem to listen or care about my side effects. I've never been sick in my life and now I feel like I have the flu every single day.,I wish I never would've started this medication and have requested my doctor put me on something different however he is reluctant to do so.,F,41,5  months20,9/21/2015,Xarelto
19, 5, clotting_ factor v leiden_ lupus,Bruises take a long time to heal_ but what do you expect! And I don't really cut or injure myself_ so that's not a problem.,"I LOVE XARELTO. I didn't want to go on a blood thinner at all and this option was perfect for me to get started. Coumadin_ that rat poison_ was off the table. Now_ I did have a couple of ""episodes"" called TIAs while on Xarelto because I hate taking medicine and would forget to take my pill....for instance_ one weekend_ took it Thursday night_ didn't take it Friday night or Saturday night_ then took it at 10pm Sunday night_ got up Monday morning for work and at 8am had an incapacitating TIA. You definitely have to take it right.  ER doctors hate this drug for some reason. My husband would tell them I take Xarelto and they'd trash the drug bc there I was proof it didn't work. Of course when I came around I didn't own up to not taking it properly. I'm sorry Xarelto. I did fess up with my regular doctors though. My doctors warned me about riding roller coasters_ etc. but I did anyways_ never had any problems. It is a great drug and like taking a placebo. No issues at all.",F,36,3  years10 1X D,8/18/2015Email,Xarelto
