,Rating,Reason,Side Effects,Comments,Sex,Age,Duration/Dosage,Date Added,Drug Name
0, 1, Birth control,,I decided to research the side effects on YAZ_ and instead i found a bunch of news articles about how there have been over 8_000 lawsuits from people getting blood clots and having strokes and all kinds of other health problems. 8_000 lawsuits!!! And those are the people who were lucky and lived_ there have been over 200 women who died after taking it. There has never been this many lawsuits against any other birth control. The progestin they use in YAZ is the newest kind not used in any other birth control_ and clearly its really dangerous. I would stay so far away from this pill its not even funny.,F,21,  1X D,10/9/2015Email,Yaz
1, 5, PMDD,None,YAZ was the first and only thing that worked against my severe PMDD symptoms. My life used to feel unlivable due to these symptoms so I am extremely grateful for YAZ_ and will be using it until I try for pregnancy (which will be a long time away).,F,20,2.5  years 1X D,7/8/2014,Yaz
2, 5, von Willebrands disease,Weight gain which killed my confidence. Sorted it out by working out 3times a week which makes me quite happy. Worked wonders for my periods and my blood clotting as I have an increased bleeding tendency. I used to pass out from the blood loss_ and now my periods are like everybody else's! Reduced nose bleeds_ and less bruising.,,F,24,1  years0_02/3MG,9/5/2013,Yaz
3, 1, birth control,Frequent leg cramps_ severely low libido_ vaginal dryness_ tender breasts_ PCOS_ Hypothyroidism_ Hormonal imbalance_ pituitary problems_ lactation_ chronic yeast infections_ painful intercourse.,Yaz ruined my life because it caused all the problems I have. I was only on it for three years and I had to stop. I gained 50 pounds and my body is a hormonal mess because it upped the testosterone production_ among other things. It made me hyperthyroid_ which no one has in my family. I had SEVERE LEG CRAMPS while on YAZ and felt so depressed. Then I started to get chronic yeast infections_ which to this day doctors can't explain and said it was all in my head when I mentioned that sex was severely painful. I felt like someone was literally stabbing the inside of my vagina,F,25,3  years 1X D,9/2/2013,Yaz
4, 2, ,Anxiety and depression,,,,1  days,1/8/2013,Yaz
5, 1, birth control,Fainting_ Constantly Getting Sick_ Stomach Problems_ Losing my Hair_ Depression_ Anxiety_ Panic Attacks_ Heart Palpitations.... just to name a few.,I truly believe this pill almost killed me.  Took me 2 years to figure out it had slowly begun to cause ALL of my health problems.  This pill has already been linked to the death of 200 women in the US.  I would NEVER recommend this pill to any women.  Please don't put yourself through what I went through.  It is a very_ very dangerous drug.  Sadly_ I am still recovering almost 3 years later.,F,28,  1X D,12/19/2012,Yaz
6, 2, Cysts_ prevent pregnancy,no sex drive_ extreme fatigue_ nausea_ massive cramping_ anxiety_ uncontrollable emotions,"I've been taking Yaz for 5 years. For the first 2 years I didn't have too many side effects but for the past 3 years I can't say the same. I'm 23 and have no sex drive. That's not right at all. I'm ALWAYS tired and have extreme cramping which feels like knives stabbing into my stomach. My flow has increased so drastically_ that I have 2 change ""super"" tampon every 2 hours. Needless to say_ I am switching to a different birth control at the end of this pack.",F,23,5  years 1X D,12/18/2012Email,Yaz
7, 3, Sexually active and skin,*Nauseas*Mood swing* Cramps* emotional*Irritated*Blood Clots,,F,20,6  months 1X D,11/5/2012Email,Yaz
8, 1, PMDD,Breasts swelled an entire cup size in a WEEK and were extremely tender. Ravenous hunger_ spotty period,The hunger began when I started Yaz. I discontinued 10 days later because of the hunger_ and I am STILL feeling the effects! It has now been three weeks since I have been off of it_ and the side effects are still here. My breast size is still a full cup size larger. I hate this med!!!! Never going on oral contraceptives again.,F,22,10  daysone pill 1X D,10/19/2012Email,Yaz
9, 1, baby stopper,No libido_ mood swings_ weight gain,I was taking Yasmin for about 5 years but decided to switch to Yaz so I would get shorter periods.  Worst. Idea. Ever.  I'm extremely moody_ I feel like I'm bipolar_ & I have no libido.  I stopped drinking alcohol for 2 months & started going to the gym but the weight that I've gained in my stomach from this pill won't go away.,F,26,4  months 1X D,7/30/2012Email,Yaz
10, 1, prevent pregnancy,severe mood swings_ slight weight gain,The slight weight gain doesn't bother me. You're going to get that with any birth control. But this pill made me crazy. I'm not a very emotional person and it made me want to cry all the time_ yell at someone_ etc. It got to the point that I couldn't take it anymore and just threw them away. I'd rather be on nothing at all then be on yaz.,F,23,7  months 1X D,7/25/2012,Yaz
11, 1, irregular periods,Anxiety_ panic_ dizzy_ short of breath_ head pains,"Moms do not let your daughter take this pill. We spent lots of money trying to find out what was ""wrong"" with my daughter she was so anxious all the time. She is a new person after being off BEYAZ for a month.",F,16,1.5  years 1X D,7/25/2012Email,Yaz
12, 1, Birth Control,WHILE ON YAZ...no sex drive_ vaginal dryness_ irregular periodsWITHDRAWALS AFTER STOPPING...shortness of breath_ chest pressure_ heartburn_ burning/numbing sensation in ears/chest/back of neck_ fatigue_ sometimes dizzy_ emotional_ anxiety & panic attacks,I was on yaz for 2-3 years. My sex drive was been greatly reduced while being on this pill_ although I never associated that with Yaz until reading these reviews. My period was never regular on Yaz either. Then in May 2012 my gyno took me off of Yaz (she is taking all her patients off_ if that tells you anything.) I have since had severe withdrawal symptoms starting with persistent shortness of breath_ despite my o2 levels being 100%. I also have severe anxiety and have had to go on anti-depressants. I am very emotional. My body is so fatigued. My body would shake and I had pressure in my chest. I developed acid reflux_ which I had never had before. I experienced a strange numb/cold sensation in my ears/chest/back of neck. I have been to the ER 2x_ a cardiologist_ a family Dr_ a homeopathic Dr_ had a EKG_ stress test_ echo_ blood work_ and CT. All of which came back fine. I used to be athletic and love running- now I do good to make it around the block. After almost a month all symptoms have went away_ except for bizarre chest discomfort & the persistent shortness of breath. DO NOT TAKE YAZ- I would take acne anyday over this torture. After this_ I will never put another synthetic hormone in my body.,F,24,3  years 1X D,6/27/2012Email,Yaz
13, 2, Birth Control,STOMACH PROBLEMS: Diarrhea_ Nausea_ Vomiting; Decreased Sex Drive; Anxiety; Weight Loss; Resolved Acne Problems,The first month 2 months I was on Yaz I loved it_ these last 2 months_ however_ have been a nightmare. My doctors and I have been scratching our heads wondering why I've had consistent diarrhea for almost a month now (which has lead to 12 pounds lost in about 2 weeks time_ and it's been a struggle to keep my weight where it is now). Suddenly_ it struck me the other day_ I only started having all the side effects (stomach problems_ anxiety_ etc.) since I changed my birth control. I read up on the association of Yaz! and stomach problems and apparently it's relatively common. I've stopped taking Yaz!_ hopefully that means these problems will stop within the next several days. Fingers Crossed.,F,24,4  months3 MG 1X D,6/15/2012Email,Yaz
14, 1, Contraception,Depression_ Anxiety_ Vaginal Dryness_ Headaches_ Hives_ Exhaustion_ Muscle Pain_ Loss of interest in life_ Made me less social and less happy_ Diarrhea,For those rating Yaz highly_ I noticed that they were only taking it for a month or so... I was on it for a year and a half and my first few months were okay too.. that's when it all started... I was constantly getting allergies_ having diarrhea_ stomach pain_ headaches_ hives_ excessive thirst_ and anxiety.  Then_ I thought I was just developing depression_ as I became sad all of the time.  I had so many problems sexually_ which I never had before_ including vaginal dryness and an inability to orgasm.  Finally_ I became more and more exhausted - first_ I couldn't go to the gym_ then_ anything other than going to work and straight back home was hard.  My muscles were in constant pain on this pill.,F,24,  1X D,4/19/2012,Yaz
15, 2, acne,acne got better (still didn't completely go away)_ but PMS became terrible. Did not have PMS problems before this pill. Would get so depressed for about 3 days before my period that I could not have normal social interactions & would have to completely avoid people.,,F,19,6  months 1X D,4/14/2012,Yaz
16, 1, Birth Control,Heart Palpitations_ Fatigue_ Muscle Pain_ Zero Sex Drive_ Headaches_ Severe Depression_ Panic Attacks,I  began seeing major problems after my first year on this pill.  At that point_ I had to quit my job because I was so sick.  I spent over $10_000 in medical tests that year.  It was a nightmare.  I thought I might be dying.  I came off_ only to find that I started feeling better again.  This pill was absolutely horrifying for me.  It put me through the worst physical_ mental_ and financial pain of my life.,F,26,2  years 1X D,4/4/2012,Yaz
17, 1, Periods,Passing out every 2 hours!,I have used contraceptives for years and was taken off of Ortho Evra due to the blood clot warning and put on Yaz.  Everything seemed fine the first week then this horrible side effect appeared! I am completely healthy and don't smoke etc and was experiencing episodes of dizziness to completely losing consiousness and even landed in the hospital!  I googled Yaz side effects as I had not changed anything in my lifestyle and it came up with causing blood sugar levels to drop. (That's what it says I swear!! But it was more than a simple drop!!!)  I had to drink Coke every time I started to feel sluggish or I would pass out-after discontinuing it took 10 days for the symptoms to fully disappear and I am fine now. The thing is when I talk to every female around me they are all taking Yaz! Beware!,F,28,8  days 1X D,3/23/2012,Yaz
18, 5, I'm taking yaz for pmdd,I don't have any side effects! Yaz has saved my life! I was literally incapacitated every month_ and for over 6 years_ I haven't had anything.  At 1st_ when you start it_ don't get upset. It takes up to a month to work. What seems like a side effect_ is just you're body adjusting. I'm allergic to over 50 meds_ so I know difference between side effects and adjusting. Try it before you listen to the bad stuff!,,F,37,6  years1 a day,3/22/2012,Yaz
19, 1, Contraception,Fatigue_ Depression_ Panic Attacks_ Numbness_ Headaches_ STOMACH PROBLEMS_ Dizziness_ Started Getting Sick all of the time_ Allergies_ Libido Problems_ Palpitations_ Hair Coming Out_ Hives_ Muscle Pain,This pill put me through hell for 2 years.  I finally put the pieces together after having doctors deny that it could be causing any of these problems.  I was completely healthy before this pill and became VERY ILL with numerous problems while taking it.  My personality and mood changed dramatically and I became very depressed and unlike myself.  Once coming off many of the symptoms went away_ but I have been off for 2 years now and I am still not 100% back to myself.  I am getting there slowly though.  This pill is horrible_ PLEASE do not risk your health by taking it.,F,22,2  years 1X D,3/13/2012,Yaz
20, 1, acne,Eye vision problems_ headaches_ breast tenderness_ nose bleeds_ coughing blood.,,F,21,3  weeks,3/11/2012,Yaz
21, 2, doc switched me from yasmin,acne(never had it b4)_ always hungry_ already gained 3 pounds in a month and a half_ breasts got bigger_ sex drive increased drastically_ and always queasy! And to top it all off haven't got a period yet since being put on it and I've been getting headaches EVERY night! I hate this pill and ill be switching back to yasmin!!!,,F,21,2  months,3/10/2012,Yaz
22, 3, ovarian cyst & pregnancy prevention,THE GOOD: clear skin_ prevention of ovarian and breast cyst recurrence_ No weight gainTHE BAD: mood swing_ low libido_ depression_ inceased appetite_ Migraines during inactive pill week,Was on Yaz for 6 months. First 2-3months were ROUGH!. experienced mood swings_ depression and a huge drop in libido. I decided to stick it out through those symptoms because I thought my body just needed to get used to medication. Should have quit from the beginning but I suffered from mood swings and low libido even before Yaz so wasnt certain if it was the pills or just me. Mood swings and depression got better after about 3 months. Increased appetite and low libido remained. Didn't gain weight on this pill_ but i work out and weight lift regularly. Months 3-6 started getting migraines during the inactive pill week_ headaches disappeared 1-2 days after I start a new pack of pills. Doctor thinks I have estrogen-withdrawal headaches from Yaz. switched me to Mircette which I will start tomorrow. So thats goodbye Yaz for me_ hoping mircette is better.,F,31,6  months 1X D,3/6/2012Email,Yaz
23, 5, period regulation,None.,Now that docs are not allowed to perscribe it_ i have had to switch to another drug_ which I am not as happy with.,F,44,2  years 1X D,1/20/2012Email,Yaz
24, 1, Contraception,Anxiety_ Depression_ OCD,I posted back on 9/15/10. I stopped Yaz on 9/18/10. When I got off_ I noticed is that my depression peaked and I lost a ton of hair. I switched to Levora the week after and stayed on that until the end of February 2011. My anxiety and depression lessened_ but not enough_ so I switched to Zovia. I stayed on that from the beginning of March to the first week of April. I was still having panic attacks and was emotionally numb (even though it was a lot less severe than when I was on Yaz)_ so I stopped taking the pill altogether on 4/7/11. I'm almost 8 months off hormonal birth contrrol and I have to say that getting off was the greatest decision that I've ever made. The first few months were tough as my body went into withdrawal and my hormones were out of whack - I lost a lot of hair_ I had breakouts_ and I still had some depression and panic issues. As time went on though_ things got better. My depression is now completely gone and I had my last panic attack in August - took my last Xanex then and haven't needed it since. I also see a naturopathic doctor who figured out that the pill had depleted some vitamins and that I had a hormonal imbalance as well. I'm on an all natural regiment to rebalance my system. I still suffer from mild anxiety_ but I'm hoping that with time_ I can ease out of it as it's gotten significantly better.If you have problems on Yaz_ contact your doctor and stop taking it - don't wait! Think about the damage that these drugs can do to your body...,F,26,2.5  years 1X D,11/30/2011Email,Yaz
25, 3, hormonal contraception_ PMDD_ acne,PMS worse (in terms of being weepy and easily upset); amenorrhea after 1.5 years use; leg cramps; slightly worsened depression and anxiety; extremely light period (when I get it); breakthrough bleeding occurs for me if I am lazy in dose scheduling (and say take a pill 3-4 hours later than yesterday_ repeat for 2 days = breakthrough bleeding).  So you need to be very consistent with dosing at the same time (within 2 hours of previous dose) to prevent breakthrough bleeding.  It sucks having 2 mini periods/month.,Read that it caused migraines_ but I had them way before Yaz_ and I didn't take it continuously through 2010_ and stopping the drug didn't decrease migraines.I like Yaz because I do not get the water retention evident from other pills I've tried (Ortho-Tri-Cyclen Lo_ Alesse_ Yasmine).  Of all of those pills_ Yasmine drove me the most crazy - mood swings_ irritability_ extreme anxiety_ constant panic attacks_ depression_ crying (all sudden onset and all during the 12 days I took Yasmine).  Yaz has been the best_ as I hate weight gainer drugs_ and it seems to keep water weight off well in me (perhaps the increased potassium levels? dunno).  I'm planning on taking it until I try to have kids in several years,F,28,3  years1 pill 1X D,11/15/2011Email,Yaz
26, 3, Avoid pregnancy,I got on it at age 14. Super young but I was sexually active & didn't want to risk getting pregnant. YAZ was great! No weight gain. No mood changes. No hair loss. No anything!!! I am now 19 & gained a few pounds. I'm 5'8 & 138 pounds. I'd like to be 10 pounds lighter. IT IS IMPOSSIBLE TO LOSE WEIGHT. My calorie intake is 700 & I exercise. The YAZ doesn't allow my body to lose weight & worst of all I recently got severe cellulite. I feel that being on a birth control for so long has changed my body. I never had cellulite & now it's all over my butt & thighs. I am getting off in a week to see how things go. I would recommend it but only for a short period of time. Do not exceed a few years like I did.,,F,19,5  years 1X D,10/14/2011Email,Yaz
27, 1, PMDD,Severe depression_ suicidal thoughts_ increase in PMDD,I was prescribed YAZ last year due to the fact that I suffer severe PMDD and no SSRI's seem to have worked for me. When I first started taking it I thought I had found the miracle drug. I had light periods_ no cramping_ and best of all.. no pmdd or pms symptoms at all. I loved it. After about two to three months things slowly began to change. I noticed I was severly depressed ALL THE TIME. About absolutely nothing. I was like a walking empty shell. I couldn't feel happiness_ sadness_ joy_ fear_ excitement_ NOTHING. I was a zombie. On top of that I was extremely tired all the time_ and all I wanted to do was sleep. When I did sleep I had strange dreams that woke me in cold sweats. Finally_ I called my doctor and I told him what I was feeling and he told me to discontinue the YAZ right away_ which I did. It took approx. 3 weeks for my body to become back to normal after stopping the YAZ. When it did become back to normal I noticed the PMDD seemed to have disappeared as well. Months went by and I was a normal female with normal PMS symptoms. Then PMDD came creeping back slowly_ and hit me like a brick wall. Its by far worse than I ever knew it could be. It intensified greatly_ and to this day I am battling major depression and suicidal thoughts every month_ and I have yet to find something that can help. YAZ ruined my life_ and I dont suggest it to anyone!!!!!!!,F,27,4  months 1X D,10/7/2011Email,Yaz
28, 5, birth control,lighter periods_ increased breast size_ controls PMS symptoms_ slight decrease in sex drive.,I have been on Yaz for a little over a month and I LOVE it.  It's easily the best birth control pill I have taken.  I have been other pills over the years and they all have made me extremely irratable with major mood swings.  This pill seems to help control my moods.  I was actually taking welbutrin before to help with mild depression and mood swings and have since stopped since taking Yaz.  I have not gained any weight and my breast seem to have increased in size a bit.  The only negative side effect I can report is a slight decrease in my sex drive.  I would highly recommend this pill for any women who have struggled with mood swings and weight gain while on other birth control pills.,F,31,35  days3MG/0.02MG 1X D,9/26/2011,Yaz
29, 1, Heavy Painful Periods,Massive HAIR LOSS_ 2 Breast Lumps_ Gall Bladder Issues_  Psychotic Mood Swings_ Cleared up acne_ Short light periods_ Increased cup size_ Decreased libido,The first few months I was extremely irritable_ violently angry_ and depressed.  After awhile I got used to it and felt fine_ maybe even a little bit too emotionless with no libido. My acne prone skin became flawless and my periods short_ light with minimal cramping.  After the first year I did develop what the doctors think is endometriosis_ intense debilitating abdominal pain along with gas.  Not sure if this is related or not since doctors usually prescribe BC to treat endo...  After 3 years I developed breast pain and 2 lumps which had to be biopsied and I still have the ugly scars 1.5years later.  I started having an intolerance to fatty foods_ which indicates a gall bladder issue.  I could not eat icecream anymore without getting really ill.  I started noticing hair loss.  I don't know if it was gradual or all of a sudden_ but I do know I loss over half my hair. It's been a year and a half after I've stopped taking yaz and it still has not gotten better.  I am so depressed about this.  It took a year+ for my hormones to go back to normal.  My face is breaking out bad again and I'm having heavier and heavier periods.  I also have a slight melasma on/along my upper lip. The doctors don't tell you about the negative effects of these pills even though some are very common and even permanent.  I've been on alot of different types_ most of which gave me chest pain_ and one even stinky feet.  STAY AWAY FROM ALL BC PILLS!,F,24,3.5  years 1X D,9/22/2011,Yaz
30, 1, Birth Control,Debilitating Fatigue_ Stomach Pain_ Nausea_ Hives_ Shortness of Breath_ Muscle Pain_ Depression_ Anxiety_ Panic Attacks_ Dizziness_ Allergies_ Weight Gain (10lbs),This pill almost destroyed my life.  I became incredibly ill while taking this pill and doctors could not figure out why.  I was constantly getting sick while on Yaz_ although I had been healthy before.  I was always tired_ had severe stomach problems_ anxiety attacks_ and depression.  I could barely work out and if I did my muscles would hurt.  It took me a YEAR to recover from the horrible side-effects of this pill once I came off.  I did however_ notice vast improvements within 2 DAYS of stopping the pill!  DO NOT TAKE!  This pill is poison.,F,25,2  years 1X D,9/22/2011Email,Yaz
31, 1, Heavy painful periods,major hair loss_ month long bleeding,Yaz destroyed my hair and confidence. I was not on a BC before. While I was on yaz (not after I stopped taking it) my hair started POURING off of my head. I stopped when it didn't slow down. 13 months later_ my hair is still falling out (100-300 per day_ no lie) and I am looking into getting a wig. The hair loss is diffuse and depressing. I am only 23 and was 22 when this terrible experience began.,F,23,1.5  months 1X D,9/8/2011Email,Yaz
32, 2, Ammenoreah,Itchy red bumps on arms_ itchy scalp_ increased anxiety_ breast soreness and enlargement. My left breast grew faster and bigger than my right and I developed small lumps.  Irritable mood.,Side effects came on slowly.  First felt fine and thought this may be the one.  However strange things started happening to me.  My neck started itching like crazy but I was traveling and figured it was an allergic reaction.  However my itchy skin continued for months and eventually headed down my arms where I broke out in small red legions.  My hair line was very itchy too.  It didn't occur to me Yaz was causing this because the itchying was off and on.  It started getting worse and worse after a few months and after taking 1 pill both arms broke out in red bumps and my face turned extremely red and was very itchy_ almost like taking niacin.  That is when I realized something was wrong and Yaz must be causing this.    I also noticed I was very irritable all the time and couldn't stand talking to people. I wanted to bite their heads off.  I wouldn't mind putting up with Yaz's mood side effects if I didn't have the rash.,F,27,2.5  months 1X D,8/31/2011Email,Yaz
33, 1, acne_ birth control,clear skin_ light period_ extremely bad anxiety_ sinus headaches_ loss of appetite_ breast tenderness.,I have no idea why I took this pill for such a long time but I just put up with it. My skin was clear and my periods were light. However_ I had sinus headaches so bad that I would miss work and school at least once a week. I kept visiting the doctor for sinus infections and they never mentioned it could be the pill until finally I stopped it and a month later those headaches stopped_ I mentioned to the doctor and she was surprised but did not deny the possibility. I also got such bad anxiety I thought I was going absolutely insane_ I did not want to go out and I had crying spells (which I never had before that ever) My family did not even know what to do anymore and I had never been in that kind of situation it was actually really scary. The anxiety is the main reason I stopped YAZ in January of 2011 and by March I was back to myself again.,F,24,4  years 1X D,7/30/2011Email,Yaz
34, 5, moderate acne,weight gain-then-loss-then-gain_ breast size increase_ moodiness_ alternating hunger and nausea,I went on about 2 1/2 months ago for the second time after about a year off it. The first time I took it_ I wasn't a responsible med-taker_ and always took it at different times when I even remembered to take it at all. Then it was to treat irregular periods. This time_ it's for the moderate acne that's been wreaking havoc on my skin lately. I was put on it in conjunction with doxycycline and retin-a micro_ but I began the Yaz about a month before the latter two. It's helped to dramatically clear my skin_ but with a couple pleasant and unpleasant side effects. My weight has been fluctuating from week to week_ due to an increase and then decrease in appetite. I've been having mood swings_ that range from absolute fury to mild irritation to deep sadness to mild contentment_ but I rarely ever am very happy any longer. I hope that will improve soon_ because it's doing such a bang-up job on my skin_ has been useful as a form of birth control_ and has increased my breast size. Unfortunately_ it now puts me smack dab between bra sizes_ which means I either wear a half-size too big_ which gaps_ or a half-size too small which gives such an unattractive muffin top effect. Still_ it's an entertaining improvement_ and my boyfriend is not unhappy (save about the mood swings). Overall_ worth it.,F,20,10  weeks 1X D,7/26/2011,Yaz
35, 1, Birth Control,Weight gain (15-20 lbs)_ Vaginal dryness_ Chronic constipation_ Recurrent yeast/BV infections_ Low libido,Horrible side effects! Was not worth taking. It DOES prevent pregnancy but that's only because you constantly have yeast/BV infections so you don't WANT to have sex. Ladies_ beware!!,F,30,3  months 1X D,7/17/2011Email,Yaz
36, 4, contraception,Possible increased moodiness_ growth in breast size_ reduced period pain_ lighter period. Little spotting.,I haven't been taking yaz very long_ but the only sizable side effects have been lighter periods and breast growth. I was susceptible to mood swings for a while_ but I was also suffering from a virus which could have contributed. I've noticed no change in my sex drive.,F,17,3  months 1X D,7/13/2011,Yaz
37, 1, birth control and migraine control,While on yaz: anger_ irritability_ emotional lability. migraine_ skewed pap results.Once stopping yaz:  Sever anxiety_ depression_ agoraphobia_ emotional distress_ loss of apetite_ weight loss_ ovarian cyst_ migraine_ estrogen dominance_ flat lined cortisol levels_ high cholesterol_ skewed pap results.,The withdrawal effects of Yaz were so severe that I was nearly incapable of taking care of myself.  The withdrawal period has lasted for 9 months so far and I am still experiencing anxiety_ sadness and irrational fears.  For more details and other stories of birth control survivers:  http://www.aphroditewomenshealth.com/forums/ubbthreads.php?ubb=showflat&Number=376099&page=11    orhttp://www.createforum.com/yasminsideeffec/viewtopic.php?t=1063&start=0&mforum=yasminsideeffec,F,29,2.5  years 1X D,7/7/2011Email,Yaz
38, 3, PMS,Increased heart rate for first couple of weeks_ leveled out mood changes associated with cycle_ all over flu-like body aches,Discontinued because of worsening  daily body aches which resolved after stopping.  A year later was diagnosed with lupus (which most likely started prior) and realized that birth control can have this effect with lupus.,F,28,6  months 1X D,6/29/2011Email,Yaz
39, 2, to prevent being pregnant,vaginal dryness_ loss of sex drive (no libido)_ UTI_ soreness of the breasts_ cold sores frequently_ no emotion,"The first week or two my breasts were sore and got larger but the soreness did go away. My acne cleared up totally. I had only maybe 1 or 2 pimples that were tiny a month. My period was shorter and lighter with NO cramps. At first I thought it was working great_ but then I would notice every month when it got around to having my period_ I would get a cold sore on my lip and i've had one or two every single month when normally I'd get maybe 1 a year. I experienced a UTI but luckily I caught it in the beginning. I lost my sex drive completely to the point where I didn't think about sex or even really kissing my husband!!!! and whenever I would try to have sex with him I was so dry that even lube wouldn't work for more than 5 minutes. I used to have different emotions and be expressive but I turned out that I was just ""going with the flow_ whatever"" type of mood all the time and didn't have any input on anything. I have only been off this pill for 5 days now and I cannot wait until it gets all out of my system. And guess what.. I have cold sores on my lips and it was the end of the pack. Ugh!",F,22,8  months 1X D,6/29/2011Email,Yaz
40, 3, birth control_ acne,Acne got MUCH worse_ I had a panic attack_ I felt emotionally unbalanced_ lots of mood swings.,The good thing - I didn't get pregnant. But honestly_ who even thinks about sex when they're covered in acne and want to cry half of the time? After having a panic attack (something I have never experienced) over the most minor issues_ I realized I wasn't a mess - that pill was making me a mess. No thanks - I stopped taking it and won't go on it again.,F,28,2  months 1X D,5/31/2011,Yaz
41, 1, birth control,severe constipation_  irregular periods lasting 2 weeks_ breakthrough bleeding.,I was so constipated that I had a colonoscopy for fear I had a blockage.  I ate very healthy foods and exercised regularly.  Still no explanation for the constipation.  For about the last 6 months I was on Yaz_ I was bleeding over 50 percent of each month.  I finally went off of BCP about 5 months ago. Now I have regular_ light periods_ usually lasting 4-5 days.  I always thought BCP caused lighter regular periods.  That sure wsn't the case for me.,F,41,2  years 1X D,4/14/2011,Yaz
42, 5, PMDD_ Acne_ Dysmenorrhea,Nausea at some point during the day_ however it is starting to disappear. Also breast enlargement.,It's taken away almost all my PMDD symptoms completely. No bloating_ no insomnia_ very little mood swings_ no cramps_ little back pain_ no break outs.,F,18,30  days 1X D,4/11/2011,Yaz
